task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-05T20:29:17,Qwen__Qwen2.5-14B-Instruct,f5e09ae6-ccb8-4dd6-8d4a-a4f4a6710cb2,47.80644339998253,0.0014684109367978648,3.071470862287617e-05,42.5,221.8429107874003,70.0,0.0005644000495832491,0.0029460765235302944,0.0009295930233337761,0.00444006959644732,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-05T20:29:23,Qwen__Qwen2.5-14B-Instruct,f5e09ae6-ccb8-4dd6-8d4a-a4f4a6710cb2,5.778771499870345,0.0001799235348961144,3.112996847266104e-05,42.5,226.21176351674592,70.0,6.826409618095367e-05,0.0003633458462335426,0.00011242919333292068,0.0005440391357474173,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-05T20:30:01,Qwen__Qwen2.5-14B-Instruct,f5e09ae6-ccb8-4dd6-8d4a-a4f4a6710cb2,38.219004000071436,0.0012078761922126285,3.160410152365923e-05,42.5,231.5250119520736,70.0,0.0004511946684042213,0.002457951133024494,0.0007431385986118887,0.0036522844000406044,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-05T20:30:07,Qwen__Qwen2.5-14B-Instruct,f5e09ae6-ccb8-4dd6-8d4a-a4f4a6710cb2,5.72839429997839,0.00018819316053987753,3.2852325548453236e-05,42.5,244.90235717393023,70.0,6.766761104372559e-05,0.0003899294786098295,0.00011144711277835694,0.0005690442024319127,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-05T20:30:43,Qwen__Qwen2.5-14B-Instruct,f5e09ae6-ccb8-4dd6-8d4a-a4f4a6710cb2,36.378458000021055,0.0011505754346544123,3.162793306560015e-05,42.5,231.78251575233122,70.0,0.00042946902021018707,0.0023421996515402554,0.000707354044444057,0.0034790227161944996,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-05T20:30:49,Qwen__Qwen2.5-14B-Instruct,f5e09ae6-ccb8-4dd6-8d4a-a4f4a6710cb2,5.889163700165227,0.00018281835568929958,3.104327792941844e-05,42.5,225.3680353061962,70.0,6.953569500070035e-05,0.00036873335053932976,0.00011452322971955376,0.0005527922752595841,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-05T20:31:31,Qwen__Qwen2.5-14B-Instruct,f5e09ae6-ccb8-4dd6-8d4a-a4f4a6710cb2,42.272944499971345,0.0013371523541893448,3.163129024856174e-05,42.5,231.8675103962266,70.0,0.0004989880882635286,0.002722334122310599,0.0008218576411102227,0.004043179851684351,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-05T20:31:37,Qwen__Qwen2.5-14B-Instruct,f5e09ae6-ccb8-4dd6-8d4a-a4f4a6710cb2,5.788941100006923,0.0001919549709263049,3.315477674387015e-05,42.5,248.55293876349478,70.0,6.83222668730497e-05,0.0003995705974340069,0.0001125260149988914,0.0005804188793059502,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-05T20:32:26,Qwen__Qwen2.5-14B-Instruct,f5e09ae6-ccb8-4dd6-8d4a-a4f4a6710cb2,49.45406430005096,0.0015616434769159023,3.157672983207171e-05,42.5,231.21583011639808,70.0,0.0005838668215992385,0.0031764547633859053,0.0009616574936132465,0.004721979078598389,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-05T20:32:32,Qwen__Qwen2.5-14B-Instruct,f5e09ae6-ccb8-4dd6-8d4a-a4f4a6710cb2,5.89807610004209,0.00018447532970905338,3.127718284362848e-05,42.5,228.10152775647762,70.0,6.960263014075792e-05,0.0003735650210714425,0.00011463485638960307,0.0005578025076018039,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
