task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-09T06:02:28,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,50.10416919994168,0.001573630246198403,3.140705262624477e-05,42.5,229.37862945925417,70.0,0.0005915101915960097,0.0031924683873068016,0.0009742451833308831,0.004758223762233694,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-09T06:02:34,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.684867599979043,0.00018719731412522784,3.29288637732831e-05,42.5,245.77866297999995,70.0,6.714489527835719e-05,0.00038830225508523775,0.00011058588722500837,0.0005660330375886037,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-09T06:03:04,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,30.858270399970934,0.0009999787224364855,3.240752744483606e-05,42.5,240.2733966742942,70.0,0.00036427273458345245,0.002059416647532286,0.0005999704200011263,0.0030236598021168657,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-09T06:03:10,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.750976900104433,0.00017669843001044856,3.0715237875371995e-05,42.5,221.98102829221844,70.0,6.788840208302844e-05,0.00035458778366947996,0.0001118111224993805,0.0005342873082518889,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-09T06:03:58,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,47.583212699973956,0.001513117303473728,3.179813299656458e-05,42.5,233.65879399405952,70.0,0.0005617313081262788,0.00308831858176406,0.0009251994266685668,0.004575249316558906,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-09T06:04:03,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.586421999847516,0.00017991010824392004,3.220518037538028e-05,42.5,238.18605741612507,70.0,6.592820999923982e-05,0.00036948807336845135,0.00010858225388736976,0.000543998537255062,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-09T06:04:48,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,44.3646006998606,0.0014206907303739216,3.2023129419498964e-05,42.5,236.08668180015897,70.0,0.000523745443264488,0.002909397605294073,0.0008626338077780222,0.004295776856336583,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-09T06:04:54,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.820080999983475,0.00018332155758191224,3.14974957076317e-05,42.5,230.3156109168623,70.0,6.87207090973971e-05,0.00037241168681823034,0.00011318142305374044,0.0005543138189693687,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-09T06:05:48,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,54.763244699919596,0.0017594561903183292,3.212841597722369e-05,42.5,237.23859886703795,70.0,0.0006464967329165021,0.003608801498149905,0.0010648119241665377,0.005320110155232944,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-09T06:05:54,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.818998399889097,0.00019864607782412412,3.413750812135032e-05,42.5,259.297475652106,70.0,6.866063534899814e-05,0.0004189078351259923,0.00011308247027854053,0.0006006509407535283,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-09T06:06:39,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,44.479160899994895,0.0014323118642622593,3.220492468161694e-05,42.5,238.04456868963035,70.0,0.000525080618541526,0.00294100818613785,0.0008648271547248843,0.004330915959404262,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-09T06:06:44,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.599376400001347,0.00017986700042432573,3.2123416345702764e-05,42.5,237.02444306544555,70.0,6.613147687587308e-05,0.00036881946172173663,0.00010891725250274011,0.0005438681911003503,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-09T06:07:51,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,66.10606720019132,0.0021576011127704617,3.2638445555943447e-05,42.5,242.75948216829312,70.0,0.0007804711085419211,0.004458043566432313,0.0012854758933361155,0.0065239905683103505,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-09T06:07:56,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.797860200051218,0.00021351118999358293,3.6826487891288306e-05,42.5,288.2116664638282,70.0,6.847344055438756e-05,0.000464350649258094,0.00011277484944568865,0.0006455989392581685,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-09T06:08:33,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,36.72224129992537,0.001177623264460418,3.20684085937849e-05,42.5,236.57021809487355,70.0,0.00043353607541616376,0.0024132185972403075,0.0007140532194462148,0.0035608078921026895,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-09T06:08:39,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.722815499873832,0.00018245899130855774,3.188163591642447e-05,42.5,234.58659864836088,70.0,6.755565541696155e-05,0.00037288696497617124,0.000111263036113491,0.0005517056565066264,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-09T06:09:48,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,68.90445080003701,0.00256511837182153,3.7227251282721235e-05,42.5,292.73446478968896,70.0,0.0008134527199998654,0.005602959204585423,0.001339798417221108,0.007756210341806395,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-09T06:09:54,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.711659299908206,0.00019660347337169953,3.442159563969642e-05,42.5,262.230376739637,70.0,6.742280277798659e-05,0.0004160083883617549,0.00011104347722333194,0.0005944746683630778,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-09T06:10:52,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,58.51394959981553,0.002170936508592434,3.710124408193241e-05,42.5,291.3750657601817,70.0,0.000690766815416282,0.004735819621986437,0.0011377266891656398,0.006564313126568362,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_2.sol,2026-04-09T06:10:58,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.89839190011844,0.00020070408587241628,3.402723389257437e-05,42.5,257.9110685661499,70.0,6.963150770881998e-05,0.0004225597824918381,0.00011468249916797568,0.0006068737893686338,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_phishable.sol,2026-04-09T06:11:40,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,41.49384930008091,0.0013295535354152545,3.204217343269534e-05,42.5,236.26750477643677,70.0,0.0004898930906242138,0.002723432734300202,0.0008068772950002717,0.004020203119924688,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_phishable.sol,2026-04-09T06:11:45,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.687101300107315,0.0001901518019196899,3.343603222208563e-05,42.5,251.50546718139276,70.0,6.713155027844326e-05,0.0003972705955941347,0.00011056444778029424,0.0005749665936528731,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_proxy.sol,2026-04-09T06:12:20,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,34.419301100075245,0.0010883432891482872,3.162015898499296e-05,42.5,231.65501069741907,70.0,0.00040639033375029776,0.0022151159387586716,0.0006693436030595981,0.0032908498755685675,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_proxy.sol,2026-04-09T06:12:26,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.741760799894109,0.00018948423070891743,3.300042061312297e-05,42.5,246.06395738460242,70.0,6.791097902896556e-05,0.00039318809232780083,0.00011184897111120827,0.0005729480424679634,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_rubixi.sol,2026-04-09T06:13:51,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,85.80455439980142,0.0031086133171019624,3.623081777614805e-05,42.5,281.8769547428468,70.0,0.0010129462690964116,0.006718273152391818,0.0016683697061128135,0.00939958912760104,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_rubixi.sol,2026-04-09T06:13:57,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.927404900081456,0.00020727244182423485,3.493464588503644e-05,42.5,267.72566471617756,70.0,7.005415722087516e-05,0.00044130229748584604,0.00011537823111090577,0.0006267346858176287,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_simple_suicide.sol,2026-04-09T06:14:47,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,49.47702640015632,0.0015792258661413358,3.1918375422369836e-05,42.5,234.9434777858658,70.0,0.0005841058309731632,0.003228986749853613,0.0009620507925043875,0.004775143373331167,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_simple_suicide.sol,2026-04-09T06:14:53,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.958206300158054,0.0001956151409672202,3.283181872699322e-05,42.5,244.69600467557822,70.0,7.037693409769896e-05,0.00040520004638233686,0.00011590924333367003,0.0005914862238137059,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_unprotected0.sol,2026-04-09T06:15:34,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,41.432212700136006,0.001319134909861925,3.183843307075947e-05,42.5,234.08955506413642,70.0,0.0004891083434702733,0.0026940054885358222,0.0008055862383315494,0.003988700070337636,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_unprotected0.sol,2026-04-09T06:15:40,Qwen__Qwen2.5-14B-Instruct,2707c95b-331f-45dd-b829-3fc90544fcf8,5.970476199872792,0.0001927864429705252,3.229009933913681e-05,42.5,238.9992793541342,70.0,7.048213930587084e-05,0.0003963678170941787,0.00011608306499741317,0.000582933021397461,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
