task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-09T03:57:47,Qwen__Qwen2.5-14B-Instruct,751b0027-3ec4-490e-9cc1-1c6f1fe3f465,51.597892000107095,0.0016303084027320372,3.159669736666966e-05,42.5,231.45426725457867,70.0,0.0006091167563184476,0.0033172434871258094,0.0010032426288881754,0.004929602872332432,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-09T03:57:52,Qwen__Qwen2.5-14B-Instruct,751b0027-3ec4-490e-9cc1-1c6f1fe3f465,5.694804199971259,0.00019715904422726,3.46131878896716e-05,42.5,264.57023295058434,70.0,6.719360617959557e-05,0.00041829394574599554,0.00011066700944470029,0.0005961545613702912,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-09T03:58:32,Qwen__Qwen2.5-14B-Instruct,751b0027-3ec4-490e-9cc1-1c6f1fe3f465,39.10506169986911,0.0012723381191285432,3.253582560369084e-05,42.5,241.7071720423028,70.0,0.00046161165569549986,0.0026252923780096804,0.0007602954508361614,0.003847199484541341,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-09T03:58:37,Qwen__Qwen2.5-14B-Instruct,751b0027-3ec4-490e-9cc1-1c6f1fe3f465,5.589265399845317,0.00017673338963860143,3.162027641426072e-05,42.5,231.5029857742989,70.0,6.602229909686793e-05,0.000359633065484255,0.00010873765194232372,0.0005343930165234469,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-09T03:59:13,Qwen__Qwen2.5-14B-Instruct,751b0027-3ec4-490e-9cc1-1c6f1fe3f465,35.709085599984974,0.0011671377535845844,3.268479759056965e-05,42.5,243.29605508777553,70.0,0.00042155342472283857,0.002413231930583848,0.0006943172444447152,0.0035291025997514023,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-09T03:59:19,Qwen__Qwen2.5-14B-Instruct,751b0027-3ec4-490e-9cc1-1c6f1fe3f465,5.71244139992632,0.00018007778347688304,3.1523705998908555e-05,42.5,230.45375722306358,70.0,6.747746485974253e-05,0.0003658936260482193,0.00011113444999662344,0.0005445055409045857,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-09T04:00:03,Qwen__Qwen2.5-14B-Instruct,751b0027-3ec4-490e-9cc1-1c6f1fe3f465,44.34508130000904,0.0014412804825606014,3.2501692229785624e-05,42.5,241.2963096984195,70.0,0.0005235120922910735,0.002972273766705724,0.0008622487280550155,0.004358034587051814,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-09T04:00:09,Qwen__Qwen2.5-14B-Instruct,751b0027-3ec4-490e-9cc1-1c6f1fe3f465,5.515021299943328,0.00020043593488191028,3.634533316081133e-05,42.5,283.0871756153197,70.0,6.51129277783589e-05,0.0004337109025243091,0.00010723914444291365,0.0006060629747455838,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-09T04:00:49,Qwen__Qwen2.5-14B-Instruct,751b0027-3ec4-490e-9cc1-1c6f1fe3f465,40.1031692000106,0.0013241162469330861,3.301443137658443e-05,42.5,246.87319608937196,70.0,0.0004734912344429177,0.002750408866992071,0.0007798621580522099,0.004003762259487197,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-09T04:00:54,Qwen__Qwen2.5-14B-Instruct,751b0027-3ec4-490e-9cc1-1c6f1fe3f465,5.418435999890789,0.00017586394320462297,3.2456515815082456e-05,42.5,240.94141715404882,70.0,6.394322506772998e-05,0.00036250862333986333,0.0001053122019453439,0.0005317640503529376,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
