task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-08T23:25:19,Qwen__Qwen2.5-14B-Instruct,c8c62b5a-b90e-41b2-8f94-c57f9a8b7658,63.01058899983764,0.001916363433629586,3.0413336760202056e-05,42.5,218.5396948382293,70.0,0.0007439251436796944,0.0038253480602763457,0.0012252811705551318,0.0057945543745111724,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-08T23:25:25,Qwen__Qwen2.5-14B-Instruct,c8c62b5a-b90e-41b2-8f94-c57f9a8b7658,6.016708199866116,0.0001960037341000333,3.257428454846101e-05,42.5,242.09706905892344,70.0,7.103225104041887e-05,0.0004046400459338795,0.00011698892527557399,0.0005926612222498726,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-08T23:26:03,Qwen__Qwen2.5-14B-Instruct,c8c62b5a-b90e-41b2-8f94-c57f9a8b7658,38.19302799995057,0.0012145698705495886,3.180084808850073e-05,42.5,233.66673338439625,70.0,0.0004508881383329734,0.002479003094312038,0.0007426330041657722,0.0036725242368107827,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-08T23:26:09,Qwen__Qwen2.5-14B-Instruct,c8c62b5a-b90e-41b2-8f94-c57f9a8b7658,5.871211800025776,0.00019153636530838247,3.2623428778449144e-05,42.5,242.25213903407732,70.0,6.938416360968008e-05,0.00039549448306197554,0.00011427448472240949,0.0005791531313940647,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-08T23:27:13,Qwen__Qwen2.5-14B-Instruct,c8c62b5a-b90e-41b2-8f94-c57f9a8b7658,64.28160890005529,0.00206146811598487,3.206938128673035e-05,42.5,236.59032877907438,70.0,0.0007588747323607095,0.004224529768509955,0.0012499064044470694,0.006233310905317733,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-08T23:27:19,Qwen__Qwen2.5-14B-Instruct,c8c62b5a-b90e-41b2-8f94-c57f9a8b7658,5.888144799973816,0.00020729848537078422,3.520608223018781e-05,42.5,270.3652854586986,70.0,6.957985604191591e-05,0.00044263618744211364,0.00011459739083398337,0.0006268134343180125,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-08T23:28:25,Qwen__Qwen2.5-14B-Instruct,c8c62b5a-b90e-41b2-8f94-c57f9a8b7658,66.45314250001684,0.002128462615113489,3.2029549395376456e-05,42.5,236.18717438543473,70.0,0.000784443052292368,0.004359423209758129,0.0012920175275028065,0.006435883789553301,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-08T23:28:31,Qwen__Qwen2.5-14B-Instruct,c8c62b5a-b90e-41b2-8f94-c57f9a8b7658,5.977269999915734,0.0002008208406264391,3.359640716123287e-05,42.5,253.3068676644068,70.0,7.054896465205152e-05,0.0004204845030539861,0.00011619335583074823,0.0006072268235367863,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-08T23:29:14,Qwen__Qwen2.5-14B-Instruct,c8c62b5a-b90e-41b2-8f94-c57f9a8b7658,42.22234839992598,0.0013440779343046154,3.183341489995546e-05,42.5,234.03942102339198,70.0,0.000498429047986671,0.002744755806914023,0.0008209360405589299,0.004064120895459624,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-08T23:29:19,Qwen__Qwen2.5-14B-Instruct,c8c62b5a-b90e-41b2-8f94-c57f9a8b7658,5.812754499958828,0.000184194004952511,3.1688222633608596e-05,42.5,232.62252884497386,70.0,6.858629576308875e-05,0.00037540613365805164,0.00011295942972323631,0.0005569518591443771,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
