task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-05T01:05:35,Qwen__Qwen2.5-14B-Instruct,702ebac8-b298-4657-ac4a-69f98b3ef37c,40.07998379995115,0.0011758990833386016,2.9338791432487115e-05,42.5,206.89087517905295,70.0,0.0004731285075697492,0.002303201564785695,0.0007792643716681699,0.0035555944440236143,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-05T01:05:41,Qwen__Qwen2.5-14B-Instruct,702ebac8-b298-4657-ac4a-69f98b3ef37c,5.908616000087932,0.00018083811268851066,3.060613208227984e-05,42.5,220.3948499047937,70.0,6.980995458337328e-05,0.00036201917850142706,0.00011497543361102644,0.0005468045666958271,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-05T01:06:09,Qwen__Qwen2.5-14B-Instruct,702ebac8-b298-4657-ac4a-69f98b3ef37c,28.08482960006222,0.0008447736145987647,3.0079472948310497e-05,42.5,214.92725641903527,70.0,0.0003315563290260293,0.0016767188413773226,0.0005460872005554849,0.0025543623709588367,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-05T01:06:15,Qwen__Qwen2.5-14B-Instruct,702ebac8-b298-4657-ac4a-69f98b3ef37c,6.01292539993301,0.000180770651060389,3.0064109659543916e-05,42.5,214.7684447134276,70.0,7.09835365988612e-05,0.0003587075091857628,0.00011690953555775602,0.00054660058134238,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-05T01:06:44,Qwen__Qwen2.5-14B-Instruct,702ebac8-b298-4657-ac4a-69f98b3ef37c,28.795468600001186,0.0008630140342645938,2.997055693383098e-05,42.5,213.7097551636023,70.0,0.0003399794394451115,0.0017095760898833134,0.0005599608388904018,0.002609516368218826,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-05T01:06:50,Qwen__Qwen2.5-14B-Instruct,702ebac8-b298-4657-ac4a-69f98b3ef37c,5.9931162998545915,0.00019464166644347653,3.247783456769319e-05,42.5,241.04975473919208,70.0,7.074877132011654e-05,0.00040127115435240057,0.00011652277972445729,0.0005885427053969744,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-05T01:07:20,Qwen__Qwen2.5-14B-Instruct,702ebac8-b298-4657-ac4a-69f98b3ef37c,30.48804710013792,0.0009198581565375745,3.017122915469385e-05,42.5,215.8996598764444,70.0,0.00035995634840332467,0.001828577018416766,0.0005928639461098809,0.0027813973129299716,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-05T01:07:26,Qwen__Qwen2.5-14B-Instruct,702ebac8-b298-4657-ac4a-69f98b3ef37c,5.939066699938849,0.00018207188965498403,3.0655718398304634e-05,42.5,221.6024299776902,70.0,7.003219770882027e-05,0.000365161125460034,0.00011534184472337906,0.0005505351678922344,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-05T01:07:58,Qwen__Qwen2.5-14B-Instruct,702ebac8-b298-4657-ac4a-69f98b3ef37c,31.756519300164655,0.0009632588163170867,3.033272865507821e-05,42.5,217.65841449389595,70.0,0.0003749318077778704,0.001920167647245563,0.0006175294805563884,0.0029126289355798207,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-05T01:08:04,Qwen__Qwen2.5-14B-Instruct,702ebac8-b298-4657-ac4a-69f98b3ef37c,5.992220100015402,0.00018351756522519327,3.062668145516773e-05,42.5,220.6652427389258,70.0,7.078677104032554e-05,0.00036753473847106477,0.00011658498250051528,0.0005549064920119043,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-05T01:08:31,Qwen__Qwen2.5-14B-Instruct,702ebac8-b298-4657-ac4a-69f98b3ef37c,27.00729069998488,0.000816363724995833,3.022763147305532e-05,42.5,216.54254754713835,70.0,0.00031883312763966373,0.0016244940773759708,0.0005251314969474657,0.002468458701963102,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
