task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-04T19:52:59,Qwen__Qwen2.5-14B-Instruct,b61ac1e4-8272-494e-8640-78eff74e0b9a,41.86637230007909,0.0011162233390831983,2.6660235807437706e-05,42.5,177.6899468491524,70.0,0.0004943110305552385,0.0020666866533503025,0.0008141537716644558,0.003375151455569997,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-04T19:53:05,Qwen__Qwen2.5-14B-Instruct,b61ac1e4-8272-494e-8640-78eff74e0b9a,5.67643059999682,0.0001734660718545704,3.0551431366094624e-05,42.5,220.28362096710296,70.0,6.698647888713622e-05,0.0003472019444252794,0.00011032512555571479,0.0005245135488681305,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-04T19:53:35,Qwen__Qwen2.5-14B-Instruct,b61ac1e4-8272-494e-8640-78eff74e0b9a,30.61712420010008,0.0008746884540877633,2.856440532988442e-05,42.5,198.41548259469073,70.0,0.0003615287232639579,0.0016878341280452958,0.0005954537419447057,0.0026448165932539598,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-04T19:53:41,Qwen__Qwen2.5-14B-Instruct,b61ac1e4-8272-494e-8640-78eff74e0b9a,5.6527517000213265,0.00017313593626292487,3.061021649971676e-05,42.5,220.7101164027657,70.0,6.67733980557791e-05,0.00034676722185622566,0.00010997468999832767,0.0005235153099103322,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-04T19:54:08,Qwen__Qwen2.5-14B-Instruct,b61ac1e4-8272-494e-8640-78eff74e0b9a,26.574980000033975,0.0007557907622200519,2.8439974011458127e-05,42.5,197.08385627945412,70.0,0.00031372940888848254,0.0014548483860998829,0.000516724977222556,0.0022853027722109223,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-04T19:54:14,Qwen__Qwen2.5-14B-Instruct,b61ac1e4-8272-494e-8640-78eff74e0b9a,5.787394999992102,0.00017248066255218329,2.9802891735472922e-05,42.5,211.94612642180127,70.0,6.831758597173688e-05,0.00034069860589092116,0.0001125177511104589,0.0005215339429731174,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-04T19:54:45,Qwen__Qwen2.5-14B-Instruct,b61ac1e4-8272-494e-8640-78eff74e0b9a,31.536494600120932,0.0009084259276585099,2.8805577208848897e-05,42.5,201.06612766765403,70.0,0.00037229917715158093,0.0017613366868474145,0.0006131935424999232,0.002746829406498919,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-04T19:54:51,Qwen__Qwen2.5-14B-Instruct,b61ac1e4-8272-494e-8640-78eff74e0b9a,5.795120799914002,0.00017180280439957774,2.9620533778209303e-05,42.5,209.95130360908982,70.0,6.847002520727176e-05,0.0003382449928182041,0.00011276926888838506,0.0005194842869138613,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-04T19:55:22,Qwen__Qwen2.5-14B-Instruct,b61ac1e4-8272-494e-8640-78eff74e0b9a,31.135412900010124,0.0009094859501127478,2.9209529493439336e-05,42.5,205.46574616319612,70.0,0.00036757610257110254,0.0017770441994091613,0.0006054143200020512,0.0027500346219823148,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-04T19:55:28,Qwen__Qwen2.5-14B-Instruct,b61ac1e4-8272-494e-8640-78eff74e0b9a,5.777107199886814,0.00017640282635632363,3.0523559486121764e-05,42.5,219.66391295242227,70.0,6.824761326246903e-05,0.0003527430599756798,0.00011240281110901085,0.0005333934843471597,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
