task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-09T17:48:04,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,57.83871589996852,0.0015579636477232037,2.6934886811824837e-05,42.5,180.68921919178624,70.0,0.0006828744993066519,0.0029032506559318882,0.0011247271350002849,0.004710852290238825,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-09T17:48:10,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,5.948917799862102,0.00018245797067160388,3.067123269639881e-05,42.5,221.42101820489108,70.0,7.021896159874609e-05,0.0003658355704465599,0.00011564803833672256,0.0005517025703820292,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-09T17:49:15,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,64.50313349999487,0.0018523613655076216,2.871746444319192e-05,42.5,200.09753600954195,70.0,0.0007615030787498756,0.003585293423787661,0.0012542332736089725,0.0056010297761465095,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-09T17:49:21,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,6.132079300004989,0.00019587988468373896,3.1943509055199844e-05,42.5,235.00167188321848,70.0,7.243819590092046e-05,0.00040054448710202806,0.00011930405277720034,0.0005922867357801478,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-09T17:50:11,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,49.558820199919865,0.001471698755343448,2.9696143830236266e-05,42.5,210.74689733999713,70.0,0.0005850811717354294,0.0029012731543502923,0.0009636567266645014,0.004450011052750223,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-09T17:50:17,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,6.005095499800518,0.0001934270458592742,3.221132729617371e-05,42.5,238.23826141795868,70.0,7.087079472160732e-05,0.00039727504004227754,0.00011672419305218179,0.0005848700278160666,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-09T17:51:03,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,46.2269157001283,0.0013697547352318684,2.962942153058829e-05,42.5,210.01642028174933,70.0,0.000545786247844808,0.002697038546517927,0.0008989356638883089,0.0041417604582510426,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-09T17:51:09,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,6.061316899955273,0.00019057822995426424,3.1440640755161885e-05,42.5,229.58046306793162,70.0,7.159439499810098e-05,0.0003867464205082882,0.00011791517888842546,0.0005762559943948142,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-09T17:52:00,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,51.336381200002506,0.0015454922427632191,3.0105332000014737e-05,42.5,215.2144722669943,70.0,0.0006060418907627334,0.0030689191217998513,0.0009981811894440194,0.004673142202006604,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-09T17:52:06,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,6.0522514001931995,0.0001955306691247584,3.230711503458718e-05,42.5,239.5288765738065,70.0,7.137911243173438e-05,0.0004022919884993925,0.00011755970333340686,0.0005912308042645316,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-09T17:52:42,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,35.42670889990404,0.001065261409997532,3.0069567602159836e-05,42.5,214.86092473615986,70.0,0.00041817782326268333,0.002114120857962476,0.0006887579591679646,0.003221056640393124,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-09T17:52:48,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,5.940665900008753,0.00018501204970897307,3.11433315196614e-05,42.5,226.49157270018938,70.0,7.013685041553502e-05,0.00037377529901938544,0.00011551325138684128,0.0005594254008217635,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-09T17:54:11,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,83.1479656000156,0.0025248949288117113,3.0366301823003195e-05,42.5,218.03944775558256,70.0,0.0009816379145128956,0.00503613902890887,0.0016168088027780567,0.00763458574619982,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-09T17:54:17,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,6.425339800072834,0.0002124805377806075,3.306965472567204e-05,42.5,247.49260865012923,70.0,7.585079125128728e-05,0.0004417072978091241,0.00012492444222184963,0.000642482531282261,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-09T17:55:05,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,47.57226809998974,0.0014438428351663292,3.0350586489454345e-05,42.5,217.85209153208675,70.0,0.0005616610709733016,0.0028790378587846277,0.0009250835047219883,0.004365782434479916,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-09T17:55:11,Qwen__Qwen2.5-14B-Instruct,3cff6acf-19c2-46b0-8020-90341ad5a77b,6.269510300131515,0.00019368205342368272,3.089220167030836e-05,42.5,223.8224605659332,70.0,7.400624993105214e-05,0.00038974836735405916,0.00012188648305923831,0.0005856411003443487,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
