task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-09T22:15:26,Qwen__Qwen2.5-14B-Instruct,462a6738-0b8d-4432-85a3-12b588d4bbef,33.05478159990162,0.0010024728773437974,3.03274643191071e-05,42.5,217.62723125869283,70.0,0.0003902319482619836,0.0019982399319240507,0.0006427295583319696,0.003031201438518004,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-09T22:15:31,Qwen__Qwen2.5-14B-Instruct,462a6738-0b8d-4432-85a3-12b588d4bbef,5.501566299935803,0.0001840547562525067,3.345543592990554e-05,42.5,251.65407501162218,70.0,6.495256347213094e-05,0.0003846033632379786,0.00010697488277865987,0.0005565308094887694,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-09T22:16:12,Qwen__Qwen2.5-14B-Instruct,462a6738-0b8d-4432-85a3-12b588d4bbef,40.833011200185865,0.0012761817559867627,3.1253686809402415e-05,42.5,227.6948119257538,70.0,0.0004820769581258194,0.002582740955080265,0.0007940036688873079,0.0038588215820933923,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-09T22:16:18,Qwen__Qwen2.5-14B-Instruct,462a6738-0b8d-4432-85a3-12b588d4bbef,5.806349999969825,0.00019365479700794806,3.3352936476764464e-05,42.5,250.35208222468785,70.0,6.858556736163632e-05,0.0004040139343213234,0.00011295918277917541,0.0005855586844621345,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-09T22:17:11,Qwen__Qwen2.5-14B-Instruct,462a6738-0b8d-4432-85a3-12b588d4bbef,52.992141500115395,0.0016558642154480543,3.1247406034612976e-05,42.5,227.64230692580455,70.0,0.0006255981819426072,0.0033508868473743902,0.0010303915708319334,0.005006876600148931,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-09T22:17:17,Qwen__Qwen2.5-14B-Instruct,462a6738-0b8d-4432-85a3-12b588d4bbef,5.8433107999153435,0.00020557461538139431,3.515726565283754e-05,42.5,269.87822954625886,70.0,6.90891793744717e-05,0.0004387228509772356,0.00011378889666585667,0.0006216009270175633,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-09T22:17:55,Qwen__Qwen2.5-14B-Instruct,462a6738-0b8d-4432-85a3-12b588d4bbef,37.70305330003612,0.001193984508328018,3.1668140894189045e-05,42.5,232.2369934686509,70.0,0.0004450844611094606,0.002432121112362129,0.0007330742066674347,0.003610279780139024,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-09T22:18:00,Qwen__Qwen2.5-14B-Instruct,462a6738-0b8d-4432-85a3-12b588d4bbef,5.74616610002704,0.00018829909612030904,3.276890827127818e-05,42.5,244.23341030487248,70.0,6.783263027609811e-05,0.00038981281184957695,0.00011171908027802916,0.0005693645224037064,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-09T22:18:31,Qwen__Qwen2.5-14B-Instruct,462a6738-0b8d-4432-85a3-12b588d4bbef,30.748458500020206,0.0009668432850523561,3.1443677578777764e-05,42.5,229.78520560913236,70.0,0.00036299410319431133,0.0019626057367507777,0.0005978675402772047,0.0029234673802222937,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-09T22:18:37,Qwen__Qwen2.5-14B-Instruct,462a6738-0b8d-4432-85a3-12b588d4bbef,5.698770200135186,0.00019389998536356937,3.402570925352581e-05,42.5,258.18518119704294,70.0,6.722119694329903e-05,0.00040836643780428616,0.00011071243166419029,0.0005863000664117733,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
