task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-10T02:32:12,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,49.442124400055036,0.0013217650784128163,2.6731726205021924e-05,42.5,178.47658551362872,70.0,0.0005837514022208376,0.0024514364055909788,0.000961465166664372,0.003996652974476189,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-10T02:32:18,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,6.017646600026637,0.00019181042770978094,3.187534825864653e-05,42.5,234.46286331680926,70.0,7.104349111161559e-05,0.00039193225799083464,0.00011700607139048067,0.0005799818204929308,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-10T02:32:54,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,35.99920940003358,0.0010807478205198415,3.0021455363414757e-05,42.5,214.302719169632,70.0,0.0004249819315984497,0.0021429375476818002,0.0006999637944449207,0.003267883273725172,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-10T02:33:00,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,6.097138700075448,0.0001944137395168107,3.1886684359246247e-05,42.5,234.6198066092305,70.0,7.197505215363986e-05,0.0003973369845362562,0.00011854148055685473,0.0005878535172467499,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-10T02:33:46,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,45.48306140000932,0.0013741017673085092,3.0211343993239007e-05,42.5,216.3637949282936,70.0,0.0005369507658316353,0.002733571353521924,0.0008843825647232332,0.004154904684076793,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-10T02:33:52,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,5.981462599942461,0.0001874419617265517,3.133773822445169e-05,42.5,228.63274813210055,70.0,7.061190833224421e-05,0.0003798644705574894,0.00011629640555668947,0.0005667727844464229,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-10T02:34:27,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,35.456252799835056,0.0010836581439500944,3.056379176941438e-05,42.5,220.20734488961625,70.0,0.00041856371617937454,0.00216872673497992,0.0006893928377759745,0.0032766832889352705,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-10T02:34:33,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,6.100933999987319,0.00019395399975658933,3.1759439229927927e-05,42.5,233.42172591775008,70.0,7.205351777827456e-05,0.0003957389277018386,0.0001186709455557218,0.0005864633910358345,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-10T02:35:16,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,42.89875699998811,0.0012857887402938596,2.9972682364816588e-05,42.5,213.73390630038932,70.0,0.000506491374722585,0.002547163426617871,0.0008342156511110567,0.003887870452451512,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-10T02:35:23,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,6.186517900088802,0.00019450039376366166,3.144006145728133e-05,42.5,229.78286291572354,70.0,7.302471243084358e-05,0.0003948205936343818,0.0001202702297195277,0.0005881155357847535,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-10T02:36:02,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,39.44823589990847,0.0012325438661449136,3.124472020767806e-05,42.5,227.5785808592581,70.0,0.0004657519820833438,0.0024940058840909884,0.0007671147750030896,0.0037268726411774193,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-10T02:36:07,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,5.463263200130314,0.000194323906613756,3.556919183609406e-05,42.5,274.539530503599,70.0,6.452162055599429e-05,0.00041679505565950237,0.00010626521111375443,0.000587581887329252,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-10T02:37:04,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,56.78956190007739,0.0018317957513219636,3.225595036095903e-05,42.5,238.61415517962848,70.0,0.0006704402188199717,0.0037641555113210323,0.0011042493019466446,0.005538845032087649,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-10T02:37:10,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,5.905417200177908,0.00020794522736261242,3.52128527994289e-05,42.5,270.7370866774326,70.0,6.972934388807788e-05,0.00044419702202436184,0.00011484263777836352,0.0006287690036907989,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-10T02:37:58,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,47.567519600037485,0.0015141969450124335,3.1832653117965495e-05,42.5,234.01240652465648,70.0,0.0005615586813882047,0.003092041640297527,0.0009249135330558706,0.004578513854741603,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-10T02:38:04,Qwen__Qwen2.5-14B-Instruct,b935b726-97c8-40ef-85a0-d660a5685378,5.776345399906859,0.00020261731451262817,3.507606632236707e-05,42.5,269.41497008673997,70.0,6.817787784804945e-05,0.00043219284575490846,0.00011228814138966158,0.0006126588649926143,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
