task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-05T07:41:13,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,27.941413399996236,0.0007603325702329797,2.7211196523416922e-05,42.5,183.70741134425992,70.0,0.00032986767771087924,0.0014258639184685507,0.0005433043505576078,0.0022990359467370378,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-05T07:41:19,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,5.762136599980295,0.0001743131733265127,3.0247758894480074e-05,42.5,216.96332186284246,70.0,6.79918093037688e-05,0.00034710083323474805,0.00011198230749901589,0.0005270749500375328,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-05T07:41:52,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,33.475567900110036,0.0009968550216910637,2.9774980706462813e-05,42.5,211.60455217152395,70.0,0.00039525614951514096,0.001967954352142698,0.0006510040911102098,0.003014214592768049,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-05T07:41:58,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,5.80978240002878,0.00018970062262386664,3.265167676017011e-05,42.5,242.64892057250864,70.0,6.864249256775823e-05,0.00039190753574835924,0.00011305232360868519,0.0005736023519248021,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-05T07:42:26,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,27.355248000007123,0.0008272093995888036,3.0239524640324456e-05,42.5,216.67170015164206,70.0,0.0003229422354150707,0.0016464118726808863,0.0005318989219441493,0.002501253030040106,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-05T07:42:31,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,5.8054010001942515,0.00018891405674940518,3.2541364074851354e-05,42.5,242.01312706806084,70.0,6.848088395749476e-05,0.00038996086752440817,0.000112782242220904,0.0005712239937028067,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-05T07:42:59,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,28.09974900004454,0.000788556398746627,2.806291025833091e-05,42.5,193.02456312324128,70.0,0.00033167945152898833,0.0015064078717941243,0.0005462896950025526,0.0023843770183256657,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-05T07:43:05,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,5.8052360999863595,0.00018917174821299777,3.258444769841988e-05,42.5,242.2954781847364,70.0,6.851926381948748e-05,0.00039063420139484606,0.00011284971638750784,0.000572003181601841,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-05T07:43:39,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,33.410167400026694,0.001009547866277812,3.021647722894081e-05,42.5,216.41845749211248,70.0,0.00039443030958387294,0.002008519106816209,0.000649644836945097,0.0030525942533451804,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-05T07:43:45,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,5.977597399847582,0.00019157698095547196,3.204898666546027e-05,42.5,236.3874216039485,70.0,7.056549125005005e-05,0.00039249031399002376,0.00011622013666654114,0.0005792759419066158,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-05T07:44:10,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,25.70966020016931,0.0007844897771501309,3.0513045611155546e-05,42.5,219.7143904938011,70.0,0.00030345945388835383,0.0015688109772700187,0.0004998102452793518,0.002372080676437724,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-05T07:44:16,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,5.7925178001169115,0.00018942896290554106,3.269123960521105e-05,42.5,243.17331341667048,70.0,6.844316874921779e-05,0.0003916180910721323,0.00011271966805539296,0.0005727809278767426,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-05T07:44:48,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,31.457003599964082,0.0009578932000418395,3.0450900484375754e-05,42.5,218.95439563637197,70.0,0.0003713856325690155,0.001913331252888284,0.0006116879066672279,0.0028964047921245274,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-05T07:44:54,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,5.817434800090268,0.00018399912146030428,3.162815641670974e-05,42.5,231.81889752548557,70.0,6.867356833325979e-05,0.00037458529966727383,0.00011310371722405167,0.0005563625852245853,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-05T07:45:23,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,29.78282990003936,0.0009060845828939602,3.042291206039795e-05,42.5,218.62378789755905,70.0,0.0003516495770128029,0.0018089181138023491,0.0005791821350000746,0.0027397498258152284,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-05T07:45:29,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,5.826229800004512,0.0001825568570616009,3.132961962650591e-05,42.5,228.78505618756674,70.0,6.874089895831693e-05,0.00037004557381159486,0.00011321510277662646,0.0005520015755465374,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-05T07:46:11,Qwen__Qwen2.5-14B-Instruct,8d329d21-7494-4b00-ada8-bc5c54242946,42.181532999966294,0.0015622755303238683,3.7035127588295195e-05,42.5,290.63557399576536,70.0,0.0004980098681249528,0.003405634668951052,0.0008202456966695743,0.004723890233745576,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
