task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-05T10:53:09,Qwen__Qwen2.5-14B-Instruct,e70f8944-6ae6-4d37-b121-b9aa431938c0,41.50712830014527,0.0010930564234276337,2.6333646656035356e-05,42.5,174.15192314483906,70.0,0.0004900262820838381,0.0020079788286011535,0.0008070959827772135,0.0033051010934622054,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-05T10:53:15,Qwen__Qwen2.5-14B-Instruct,e70f8944-6ae6-4d37-b121-b9aa431938c0,5.937905499944463,0.00017946173691390458,3.022273921635676e-05,42.5,216.53754325931007,70.0,7.00907886818944e-05,0.00035711389680059824,0.00011543810055849864,0.0005426427860409913,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-05T10:53:44,Qwen__Qwen2.5-14B-Instruct,e70f8944-6ae6-4d37-b121-b9aa431938c0,29.037298300070688,0.0008661016454252002,2.9827121472367044e-05,42.5,212.14709958499895,70.0,0.00034283820076428436,0.0017113455357407048,0.000564668716113859,0.0026188524526188483,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-05T10:53:50,Qwen__Qwen2.5-14B-Instruct,e70f8944-6ae6-4d37-b121-b9aa431938c0,5.725125500001013,0.00017867822308041898,3.1203157026797583e-05,42.5,227.13288534501604,70.0,6.760778284725449e-05,0.0003613175112793243,0.00011134836222239145,0.0005402736563489708,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-05T10:54:15,Qwen__Qwen2.5-14B-Instruct,e70f8944-6ae6-4d37-b121-b9aa431938c0,25.478556100046262,0.0007722872295462362,3.0310626400714582e-05,42.5,217.48499701399152,70.0,0.0003007575010424868,0.0015390665090269096,0.0004953595286138199,0.002335183538683217,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-05T10:54:21,Qwen__Qwen2.5-14B-Instruct,e70f8944-6ae6-4d37-b121-b9aa431938c0,5.788452900014818,0.0001796044190523773,3.1023420542989325e-05,42.5,225.2716653848589,70.0,6.833258493020881e-05,0.00036219862309572193,0.00011254300944144946,0.0005430742174673802,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-05T10:54:50,Qwen__Qwen2.5-14B-Instruct,e70f8944-6ae6-4d37-b121-b9aa431938c0,28.37911679991521,0.0008619097159608437,3.03709730415721e-05,42.5,218.11240832494298,70.0,0.0003350228899305673,0.0017193577643723756,0.0005517965600030342,0.002606177214305977,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-05T10:54:55,Qwen__Qwen2.5-14B-Instruct,e70f8944-6ae6-4d37-b121-b9aa431938c0,5.7210654001683,0.00018674750738066279,3.263656595092553e-05,42.5,242.82076907355264,70.0,6.754122430591256e-05,0.000385893086493283,0.000111238635277712,0.0005646729460769082,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-05T10:55:21,Qwen__Qwen2.5-14B-Instruct,e70f8944-6ae6-4d37-b121-b9aa431938c0,25.249889199854806,0.0007714051012444947,3.055106659564936e-05,42.5,220.107665960652,70.0,0.0002980452714578456,0.001543579012638574,0.0004908919419465948,0.0023325162260430157,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-05T10:55:26,Qwen__Qwen2.5-14B-Instruct,e70f8944-6ae6-4d37-b121-b9aa431938c0,5.737691800110042,0.00018701945559508083,3.259190096765019e-05,42.5,242.21086511326087,70.0,6.775592604002078e-05,0.0003861475311399687,0.00011159178527757633,0.0005654952424575654,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
