task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-08T15:45:38,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,48.7803432000801,0.0012525040685556679,2.5675733892493225e-05,42.5,166.98772414247804,70.0,0.0005759014562511262,0.0022627895880081295,0.0009485357427788485,0.0037872267870381043,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-08T15:45:43,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,5.684754499932751,0.00019541974631874688,3.437684357836712e-05,42.5,261.3848198338623,70.0,6.716833992961456e-05,0.0004131025527039922,0.0001106245116647591,0.0005908954042983658,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-08T15:46:14,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,30.74988260003738,0.0009477261000691412,3.082058198391533e-05,42.5,222.9977189687832,70.0,0.0003630155338216962,0.0019047459682399182,0.0005979007844457455,0.00286566228650736,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-08T15:46:20,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,5.538493899861351,0.000180348736772602,3.256344459183054e-05,42.5,242.34351169858647,70.0,6.531487125175772e-05,0.0003724397423960357,0.00010757021527776195,0.0005453248289255556,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-08T15:46:55,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,35.04110450018197,0.0010393386177580503,2.966061751319172e-05,42.5,210.35546750099587,70.0,0.0004136954332621017,0.002047603860303948,0.000681373974166733,0.0031426732677327833,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-08T15:47:01,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,6.1235002998728305,0.0001968968925327324,3.21548452412346e-05,42.5,237.53027729075373,70.0,7.228837041604701e-05,0.0004040172676579856,0.00011905624888927874,0.0005953618869633109,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-08T15:47:35,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,33.86852929997258,0.0010506590628040105,3.102273584784943e-05,42.5,225.2297481677581,70.0,0.00039978268993048297,0.0021186597504820326,0.0006584607302767432,0.0031769031706892596,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-08T15:47:40,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,5.386662099976093,0.00019639998709895887,3.645780392137913e-05,42.5,283.73740961672337,70.0,6.369732124908781e-05,0.000425255895760035,0.0001049061649989907,0.000593859382008113,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-08T15:48:14,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,34.06886329990812,0.0010795610760025894,3.168770777766106e-05,42.5,232.42983534518214,70.0,0.00040220572236058724,0.0021996395374879185,0.0006624496258323133,0.0032642948856808195,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-08T15:48:20,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,5.666302100056782,0.00020389950286676603,3.5986674214489594e-05,42.5,279.22075414696315,70.0,6.689204978966787e-05,0.00043947590713605544,0.0001101678919448101,0.0006165358488705343,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-08T15:49:01,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,41.44641280011274,0.001269501444950632,3.063055838776048e-05,42.5,220.9938940816608,70.0,0.0004891894015981555,0.0025437198127519767,0.0008057129500032819,0.0038386221643534127,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-08T15:49:08,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,6.463135299971327,0.0002045896841991416,3.165550651138119e-05,42.5,231.99261225736274,70.0,7.632008687505744e-05,0.0004166058888400159,0.00012569679111087105,0.0006186227668259422,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-08T15:49:39,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,31.49493300006725,0.0009478506191761792,3.009539786165429e-05,42.5,215.09003228486912,70.0,0.0003718272347213417,0.0018817976165479422,0.0006124139466678674,0.0028660387979371517,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-08T15:49:45,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,5.458382300101221,0.00019268310318469942,3.530040645475462e-05,42.5,271.71331829958774,70.0,6.444758437654761e-05,0.00041203116295801534,0.00010614180305791587,0.0005826205503924771,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-08T15:50:21,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,36.497651000041515,0.0011356468667611617,3.111567852788835e-05,42.5,226.20664740910752,70.0,0.0004308750606950426,0.0022933382235579836,0.0007096695608330063,0.0034338828450860316,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-08T15:50:28,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,6.7826449000276625,0.0002035856330339144,3.001488215714964e-05,42.5,214.2908245505481,70.0,8.00594765290345e-05,0.0004036719896040042,0.00013185532694721253,0.0006155867930802521,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-08T15:51:35,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,66.85912499995902,0.002481892957475147,3.7121275205952705e-05,42.5,291.58905305741865,70.0,0.000789291128820817,0.0054152651655420825,0.0013000033530561877,0.007504559647419088,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-08T15:51:40,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,5.492272000061348,0.00020642641200911693,3.758575009518719e-05,42.5,296.6955409261657,70.0,6.482867715078278e-05,0.0004525750842820919,0.00010677276360996323,0.0006241765250428397,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-08T15:52:40,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,59.268682199995965,0.00226488639402213,3.821392823793722e-05,42.5,303.4582667559105,70.0,0.0006997260255551538,0.004996182608053956,0.0011524830294456067,0.006848391663054718,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_2.sol,2026-04-08T15:52:46,Qwen__Qwen2.5-14B-Instruct,47a435c9-9161-46cc-86f3-872b484a8773,5.69302470004186,0.00019884085460671053,3.492788059721282e-05,42.5,267.5309228382619,70.0,6.723899145937278e-05,0.00042326033860784484,0.0001107405619456478,0.0006012398920128628,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
