task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-08T11:56:45,Qwen__Qwen2.5-14B-Instruct,87287b6e-cce1-4dac-89be-05531474e265,66.27475980017334,0.0018718774789087522,2.8243619037484278e-05,42.5,194.9606698144229,70.0,0.0007823827514576908,0.003589034815669998,0.001288623552220977,0.005660041119348666,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-08T11:56:51,Qwen__Qwen2.5-14B-Instruct,87287b6e-cce1-4dac-89be-05531474e265,5.981384300161153,0.00019160197860950724,3.2033485850781e-05,42.5,235.73703678066593,70.0,7.070646138761531e-05,0.00039219281375400036,0.00011645225277493918,0.0005793515279165547,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-08T11:57:28,Qwen__Qwen2.5-14B-Instruct,87287b6e-cce1-4dac-89be-05531474e265,36.72730750008486,0.0010674188977667569,2.9063444726775943e-05,42.5,203.93341821581387,70.0,0.00043349512194270365,0.0020800988862999994,0.0007139862799991131,0.0032275802882418166,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-08T11:57:34,Qwen__Qwen2.5-14B-Instruct,87287b6e-cce1-4dac-89be-05531474e265,5.678036200115457,0.0001832455463407802,3.227334632484545e-05,42.5,239.15191670783486,70.0,6.696604937298824e-05,0.00037682613479400086,0.0001102917977776896,0.0005540839819446787,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-08T11:58:06,Qwen__Qwen2.5-14B-Instruct,87287b6e-cce1-4dac-89be-05531474e265,31.912036699941382,0.0009397538849432213,2.944837623508792e-05,42.5,208.00179459771988,70.0,0.00037680388909615845,0.001844139808643998,0.0006206128094448809,0.0028415565071850373,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-08T11:58:11,Qwen__Qwen2.5-14B-Instruct,87287b6e-cce1-4dac-89be-05531474e265,5.698190800147131,0.00017634657579818688,3.0947993041610985e-05,42.5,224.60515002824448,70.0,6.72257172905828e-05,0.0003552775064439989,0.00011072017444207138,0.0005332233981766542,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-08T11:58:47,Qwen__Qwen2.5-14B-Instruct,87287b6e-cce1-4dac-89be-05531474e265,35.132168099982664,0.0010473930336344335,2.9813041289463812e-05,42.5,211.98840322037222,70.0,0.0004148032736786668,0.0020690247107739996,0.0006831996149959095,0.003167027599448575,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-08T11:58:52,Qwen__Qwen2.5-14B-Instruct,87287b6e-cce1-4dac-89be-05531474e265,5.803331700153649,0.000185811221672676,3.2017141003577e-05,42.5,236.13819385567942,70.0,6.849053027755065e-05,0.0003805478044380025,0.00011280354166455162,0.0005618418763801043,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-08T11:59:26,Qwen__Qwen2.5-14B-Instruct,87287b6e-cce1-4dac-89be-05531474e265,33.20867469999939,0.0009904316041538276,2.982489943382603e-05,42.5,212.1651486982536,70.0,0.00039203108305777695,0.0019570685100980013,0.0006456923569462059,0.0029947919501019833,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-08T11:59:31,Qwen__Qwen2.5-14B-Instruct,87287b6e-cce1-4dac-89be-05531474e265,5.524546200176701,0.00018228972423831383,3.2995673220772666e-05,42.5,246.67108599517874,70.0,6.522214923687783e-05,0.00037855224728600145,0.0001074194430574103,0.0005511938395802891,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.79,40.7667,511.00018310546875,machine,N
