task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-08T14:01:02,Qwen__Qwen2.5-14B-Instruct,f7305859-04b1-4284-80aa-e49ae301291c,31.529564199969172,0.0009058137467490827,2.8728715458680165e-05,42.5,200.2619753674451,70.0,0.0003721830943069007,0.0017537461252179476,0.0006130016725012361,0.0027389308920260846,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-08T14:01:07,Qwen__Qwen2.5-14B-Instruct,f7305859-04b1-4284-80aa-e49ae301291c,5.406986000016332,0.00019077503859584453,3.528359815739306e-05,42.5,271.58236563259726,70.0,6.383089756725692e-05,0.0004078922707579924,0.00010512792110999318,0.0005768510894352428,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-08T14:01:33,Qwen__Qwen2.5-14B-Instruct,f7305859-04b1-4284-80aa-e49ae301291c,25.91212629992515,0.0008047894873475657,3.105396649657234e-05,42.5,225.53086776181536,70.0,0.0003059551046522554,0.0016235854655339554,0.0005039208300023652,0.0024334614001885763,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-08T14:01:38,Qwen__Qwen2.5-14B-Instruct,f7305859-04b1-4284-80aa-e49ae301291c,5.426568399881944,0.00017614306371086723,3.243560784987456e-05,42.5,240.3110900883007,70.0,6.415898104185336e-05,0.00036278029022410174,0.00010566876249956995,0.0005326080337655255,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-08T14:02:17,Qwen__Qwen2.5-14B-Instruct,f7305859-04b1-4284-80aa-e49ae301291c,39.129577100044116,0.0012258275624386378,3.132745411257841e-05,42.5,228.51257620841682,70.0,0.00046194525590286103,0.0024837733759058844,0.0007608457597231288,0.0037065643915318736,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-08T14:02:23,Qwen__Qwen2.5-14B-Instruct,f7305859-04b1-4284-80aa-e49ae301291c,5.4167828999925405,0.00019649130988108783,3.627439235480639e-05,42.5,282.3661993049492,70.0,6.39480322935722e-05,0.0004248664510040079,0.00010532103361135048,0.0005941355169089297,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-08T14:03:00,Qwen__Qwen2.5-14B-Instruct,f7305859-04b1-4284-80aa-e49ae301291c,36.900617599952966,0.0011773448866255732,3.1905920105325996e-05,42.5,234.8252758110015,70.0,0.0004356108840972107,0.002406882758838047,0.000717472511388284,0.003559966154323543,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-08T14:03:05,Qwen__Qwen2.5-14B-Instruct,f7305859-04b1-4284-80aa-e49ae301291c,5.540207700105384,0.00019847119224906343,3.580789579769416e-05,42.5,277.13105749386546,70.0,6.546029798612128e-05,0.00042685034147998957,0.00010781149555243435,0.0006001221350185465,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-08T14:03:34,Qwen__Qwen2.5-14B-Instruct,f7305859-04b1-4284-80aa-e49ae301291c,28.210077499970794,0.0008978277751459417,3.1826612756295374e-05,42.5,234.00560261299452,70.0,0.0003329771382633935,0.0018333784111460028,0.0005484279675021147,0.0027147835169115102,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-08T14:03:39,Qwen__Qwen2.5-14B-Instruct,f7305859-04b1-4284-80aa-e49ae301291c,5.377080699894577,0.00019676902360309893,3.6594297540797836e-05,42.5,286.14974661651524,70.0,6.343061604258951e-05,0.00042707561943802763,0.00010446901111346154,0.0005949752465940761,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
