task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-22T03:21:19,Qwen__Qwen2.5-7B-Instruct,5f3ffcb9-abba-46cf-970a-c648e1d4355a,33.769863699912094,0.0009869088245416343,2.922410423261805e-05,42.5,205.54947299750225,70.0,0.0003987624243058639,0.0019285998762104128,0.0006567777358338289,0.002984140036350106,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-22T03:21:22,Qwen__Qwen2.5-7B-Instruct,5f3ffcb9-abba-46cf-970a-c648e1d4355a,3.7987951000686735,0.00010510142720061367,2.7686315825613135e-05,42.5,189.07980347056343,70.0,4.4786713680837736e-05,0.00019925765940875806,7.375334944323799e-05,0.0003177977225328338,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-22T03:21:38,Qwen__Qwen2.5-7B-Instruct,5f3ffcb9-abba-46cf-970a-c648e1d4355a,15.694816799950786,0.0004478488870065156,2.8533236008565944e-05,42.5,198.0978818429483,70.0,0.00018529598847186814,0.0008636895798410649,0.00030518592222134543,0.0013541714905342785,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-22T03:21:42,Qwen__Qwen2.5-7B-Instruct,5f3ffcb9-abba-46cf-970a-c648e1d4355a,3.350841199979186,9.603359709662164e-05,2.8660314369677436e-05,42.5,198.92894570708168,70.0,3.962813569499603e-05,0.00018548764839110277,6.526332166750868e-05,0.0002903791057536076,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-22T03:22:03,Qwen__Qwen2.5-7B-Instruct,5f3ffcb9-abba-46cf-970a-c648e1d4355a,21.50915130006615,0.0006480803541435724,3.0130545983981253e-05,42.5,215.48689996664353,70.0,0.00025392450208342376,0.0012874696410847264,0.0004182220680558305,0.00195961621122398,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-22T03:22:06,Qwen__Qwen2.5-7B-Instruct,5f3ffcb9-abba-46cf-970a-c648e1d4355a,3.2784701000200585,9.758623155207502e-05,2.9766280243197672e-05,42.5,211.5395664126053,70.0,3.870163215300034e-05,0.00019263459854990117,6.373761333363487e-05,0.0002950738440365367,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-22T03:22:22,Qwen__Qwen2.5-7B-Instruct,5f3ffcb9-abba-46cf-970a-c648e1d4355a,15.699825200019404,0.0004911929593106618,3.128674967486836e-05,42.5,228.07281365010525,70.0,0.00018534242562503404,0.0009946263512556897,0.0003052632313881381,0.0014852320082688625,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-22T03:22:26,Qwen__Qwen2.5-7B-Instruct,5f3ffcb9-abba-46cf-970a-c648e1d4355a,3.420403000083752,9.979180995080663e-05,2.9174324566124328e-05,42.5,205.24648748727475,70.0,4.035994791661826e-05,0.00019491237815394413,6.647057861199675e-05,0.0003017429046825587,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-22T03:22:44,Qwen__Qwen2.5-7B-Instruct,5f3ffcb9-abba-46cf-970a-c648e1d4355a,18.312753100064583,0.0005662379872313941,3.092066099716154e-05,42.5,224.15353587296156,70.0,0.00021614641736078847,0.0011400009119988397,0.0003560001413900559,0.0017121474707496847,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-22T03:22:48,Qwen__Qwen2.5-7B-Instruct,5f3ffcb9-abba-46cf-970a-c648e1d4355a,3.6449512999970466,9.748564936186725e-05,2.6763888525152913e-05,42.5,178.90127443286812,70.0,4.2992297568546136e-05,0.00018097625589419408,7.080115777724928e-05,0.0002947697112399908,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
