task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-22T23:30:49,Qwen__Qwen2.5-7B-Instruct,4566a6fe-27fe-4218-954d-e50e9982c5c6,39.75938750000205,0.001169526298208528,2.9415033064085583e-05,42.5,207.71365350716985,70.0,0.0004693552371536498,0.002293919612911921,0.0007730500497237599,0.0035363248997893307,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-22T23:30:53,Qwen__Qwen2.5-7B-Instruct,4566a6fe-27fe-4218-954d-e50e9982c5c6,3.699762100004591,0.00010177337099738829,2.750828518659707e-05,42.5,187.02558497785577,70.0,4.366533937540633e-05,0.00019215487594337333,7.19143833344181e-05,0.0003077345986531978,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-22T23:31:08,Qwen__Qwen2.5-7B-Instruct,4566a6fe-27fe-4218-954d-e50e9982c5c6,15.07781440007966,0.00044148572138551765,2.9280603077266908e-05,42.5,206.1934504516441,70.0,0.00017802291152733637,0.0008636990242933962,0.0002932090972210669,0.001334931033041799,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-22T23:31:12,Qwen__Qwen2.5-7B-Instruct,4566a6fe-27fe-4218-954d-e50e9982c5c6,3.873607699992135,0.00010126777975518137,2.6143219697640617e-05,42.5,172.68551277362744,70.0,4.563321215302692e-05,0.00018541709277819507,7.515552527814491e-05,0.0003062058302093669,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-22T23:31:30,Qwen__Qwen2.5-7B-Instruct,4566a6fe-27fe-4218-954d-e50e9982c5c6,18.393883800017647,0.0005261067379905629,2.860242698512294e-05,42.5,198.8714004530523,70.0,0.00021713371833312627,0.0010160408128339071,0.00035762711250087397,0.0015908016436679074,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-22T23:31:34,Qwen__Qwen2.5-7B-Instruct,4566a6fe-27fe-4218-954d-e50e9982c5c6,3.7968918998958543,9.323499170035658e-05,2.45558938916975e-05,42.5,154.80701753459206,70.0,4.4823526944674135e-05,0.00016327124172654806,7.382212638848504e-05,0.000281916895059707,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-22T23:31:51,Qwen__Qwen2.5-7B-Instruct,4566a6fe-27fe-4218-954d-e50e9982c5c6,16.735409699962474,0.0004561419758094911,2.725627491900322e-05,42.5,184.23768100434714,70.0,0.00019754215215264897,0.0008563470739666457,0.00032535827722038227,0.0013792475033396773,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-22T23:31:55,Qwen__Qwen2.5-7B-Instruct,4566a6fe-27fe-4218-954d-e50e9982c5c6,3.9516684000846,9.108839965262135e-05,2.3049758455754513e-05,42.5,138.76126441207737,70.0,4.658814701381038e-05,0.00015210956613032067,7.672847972296738e-05,0.0002754261928670995,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-22T23:32:14,Qwen__Qwen2.5-7B-Instruct,4566a6fe-27fe-4218-954d-e50e9982c5c6,18.897209299961105,0.0005671574960157012,3.001297131755446e-05,42.5,214.04971948320778,70.0,0.0002231960529164806,0.0011241200659632966,0.0003676116927775891,0.001714927811657366,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-22T23:32:18,Qwen__Qwen2.5-7B-Instruct,4566a6fe-27fe-4218-954d-e50e9982c5c6,3.649435400031507,0.0001003381681150997,2.749459294643846e-05,42.5,187.19995171563696,70.0,4.302455861123042e-05,0.00018951126271993246,7.085911972163662e-05,0.00030339494105280015,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
