task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-22T19:24:53,Qwen__Qwen2.5-7B-Instruct,e55c379c-4886-4af5-81fe-f59cbb1239d6,37.108637299970724,0.0010809102270338319,2.9128190591246896e-05,42.5,204.57409604779664,70.0,0.0004380871300687432,0.002108738075875749,0.000721549140277461,0.003268374346221953,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-22T19:24:58,Qwen__Qwen2.5-7B-Instruct,e55c379c-4886-4af5-81fe-f59cbb1239d6,4.593003600020893,0.00011880655947448622,2.5867428621253966e-05,42.5,169.30317885214424,70.0,5.417893388787187e-05,0.0002158285059952192,8.923082194265189e-05,0.00035923826182574295,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-22T19:25:25,Qwen__Qwen2.5-7B-Instruct,e55c379c-4886-4af5-81fe-f59cbb1239d6,27.732157699996606,0.0007752500192635993,2.7955021356682843e-05,42.5,191.82019977400543,70.0,0.00032737289819399144,0.0014775714598354028,0.0005391978394427699,0.002344142197472165,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-22T19:25:29,Qwen__Qwen2.5-7B-Instruct,e55c379c-4886-4af5-81fe-f59cbb1239d6,3.6355816000141203,0.00010167120263667893,2.796615346997233e-05,42.5,191.94513661663532,70.0,4.291658381925015e-05,0.00019382737728435018,7.068170861101769e-05,0.000307425669714618,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-22T19:25:46,Qwen__Qwen2.5-7B-Instruct,e55c379c-4886-4af5-81fe-f59cbb1239d6,16.706318699987605,0.0004896021185237945,2.9306612003569686e-05,42.5,206.6050980858552,70.0,0.00019717034916660252,0.000958504655690362,0.0003247467397223874,0.0014804217445793522,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-22T19:25:50,Qwen__Qwen2.5-7B-Instruct,e55c379c-4886-4af5-81fe-f59cbb1239d6,3.820238000014797,0.00010158802610333749,2.659235620525278e-05,42.5,176.71688621346405,70.0,4.513932083306522e-05,0.0001876920946006777,7.43427513891625e-05,0.0003071741668229048,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-22T19:26:17,Qwen__Qwen2.5-7B-Instruct,e55c379c-4886-4af5-81fe-f59cbb1239d6,27.717859599972144,0.0008186444683789297,2.9535045020057497e-05,42.5,208.98848755137496,70.0,0.00032723638347265994,0.0016091457317592983,0.0005389729255548443,0.002475355040786803,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-22T19:26:21,Qwen__Qwen2.5-7B-Instruct,e55c379c-4886-4af5-81fe-f59cbb1239d6,3.512608600081876,0.0001011394046806116,2.879177420444908e-05,42.5,200.87470892625285,70.0,4.1475604791937903e-05,0.00019603376793853045,6.83082866669996e-05,0.0003058176593974671,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-22T19:26:41,Qwen__Qwen2.5-7B-Instruct,e55c379c-4886-4af5-81fe-f59cbb1239d6,20.048819400020875,0.0005657171714161507,2.821713447002119e-05,42.5,194.6645298382222,70.0,0.00023667934319479772,0.0010840733672576874,0.00038981995694436274,0.0017105726673968483,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-22T19:26:45,Qwen__Qwen2.5-7B-Instruct,e55c379c-4886-4af5-81fe-f59cbb1239d6,3.527337300009094,9.91859325048727e-05,2.8119429184008807e-05,42.5,193.61537943820795,70.0,4.163912000019793e-05,0.0001896943184220845,6.857746000136491e-05,0.00029991089842364843,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
