task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-21T13:13:50,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,26.608093800023198,0.000523731946900803,1.9682541175516515e-05,42.5,101.76070710277597,70.0,0.0003141235338198991,0.0007521292128149781,0.0005173681838884174,0.0015836209305232947,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-21T13:13:55,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,4.8417399999452755,9.773657701999425e-05,2.015992388130352e-05,42.5,107.0974689460328,70.0,5.7197605000045655e-05,0.0001441356708671293,9.419517138998753e-05,0.0002955284472571625,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-21T13:14:13,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,17.654643299989402,0.0003772067156475788,2.136364793359281e-05,42.5,120.00705999416988,70.0,0.0002084857746533494,0.0005887010265137604,0.0003433822505554418,0.0011405690517225513,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-21T13:14:16,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,3.470505899982527,7.81552228789474e-05,2.2553706230720625e-05,42.5,133.08472813860962,70.0,4.089789993118353e-05,0.0001280703802351013,6.735155388855167e-05,0.0002363198340548365,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-21T13:14:35,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,18.521036399994045,0.00040297575521205313,2.1751833856627053e-05,42.5,124.2688245739909,70.0,0.00021871959874907693,0.0006395307894031532,0.0003602371305557123,0.001218487518707942,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-21T13:14:38,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,3.601066300063394,8.089358430347828e-05,2.2463327944823934e-05,42.5,131.90901412640883,70.0,4.2533965763868814e-05,0.0001320151056116714,7.005081222159781e-05,0.000244599883597138,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-21T13:15:00,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,21.95799059991259,0.0004834736716958939,2.201832193997468e-05,42.5,127.18208182888077,70.0,0.00025922073638964013,0.0007757239539110117,0.00042694632166692626,0.0014618910119675787,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-21T13:15:04,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,3.651317299925722,8.289546047095296e-05,2.2702045914231622e-05,42.5,134.68599676453016,70.0,4.3097055348253945e-05,0.00013657872037420304,7.09772291667631e-05,0.0002506530048892201,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-21T13:15:22,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,18.175379700027406,0.0003868660520661583,2.1279901886437278e-05,42.5,119.06955333839652,70.0,0.0002146902339581478,0.0006014846478539226,0.00035360133861185106,0.0011697762204239213,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-21T13:15:26,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,4.057073100004345,8.711812116997137e-05,2.149546821710255e-05,42.5,121.55731840806175,70.0,4.7832831527840547e-05,0.0001368106650048162,7.877766944552108e-05,0.0002634211659781789,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-21T13:15:45,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,19.106758499983698,0.00041141931665790183,2.1530646269266545e-05,42.5,121.92212378578904,70.0,0.00022553769194386813,0.0006470132953868557,0.00037146753194521997,0.0012440185192759447,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-21T13:15:49,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,3.5827191000571474,8.369531230475709e-05,2.3361144133737608e-05,42.5,141.68386390966685,70.0,4.2314695277956196e-05,0.00014106677951986057,6.969006138937825e-05,0.0002530715361871959,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-21T13:16:11,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,22.055085300002247,0.0004916517051880352,2.2292206700509335e-05,42.5,130.1626614968442,70.0,0.00026036777715231023,0.0007974164712667431,0.000428834880833165,0.001486619129252218,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-21T13:16:15,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,3.4671509000472724,8.880537984665192e-05,2.5613436319881643e-05,42.5,166.28480739041257,70.0,4.09363612493812e-05,0.00016016762813109153,6.74189813881336e-05,0.00026852297076860633,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-21T13:16:34,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,18.878455700003542,0.0004203168315632523,2.2261327689421265e-05,42.5,129.76433030447504,70.0,0.0002229565583332766,0.00068074915571259,0.00036721643583182903,0.001270922149877696,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-21T13:16:37,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,3.4859000000869855,8.644587879121611e-05,2.4797636843771995e-05,42.5,157.54752932944436,70.0,4.1138080415516285e-05,0.0001524995664432538,6.775084361110599e-05,0.00026138849046987607,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-21T13:17:32,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,54.640664700069465,0.0016077533402927306,2.942422367362284e-05,42.5,207.79983229403692,70.0,0.0006450511202090842,0.0031539197453547274,0.0010624317200007179,0.00486140258556453,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-21T13:17:35,Qwen__Qwen2.5-7B-Instruct,16725e52-96ff-4821-bfc9-dcbc7ceef503,3.4156539000105113,0.00010056148102047854,2.9442232216206872e-05,42.5,208.05007396329466,70.0,4.031564756878632e-05,0.0001973579356633337,6.639659444335807e-05,0.00030407017767547853,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
