task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-21T17:49:10,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,28.770216200035065,0.0006204805488614939,2.1566326140631293e-05,42.5,122.25813458900458,70.0,0.00033965626708328884,0.000977077448329311,0.0005594282983317196,0.0018761620137443195,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-21T17:49:14,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,3.6665106000145897,8.765263464784092e-05,2.3906379336017636e-05,42.5,147.84754595470795,70.0,4.326622659726935e-05,0.00015051400929877445,7.125715138811052e-05,0.00026503738728415427,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-21T17:49:43,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,29.193757600034587,0.0006649777051060029,2.2779968254425517e-05,42.5,135.47603134856467,70.0,0.00034461163958322794,0.0010985114343640134,0.0005675860652771211,0.002010709139224363,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-21T17:49:46,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,3.6630988999968395,9.274811674433634e-05,2.534758787011253e-05,42.5,163.49738793696406,70.0,4.3185405762859673e-05,0.00016613485512984028,7.112445860952394e-05,0.0002804447195022238,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-21T17:50:06,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,19.219817199977115,0.0004368627671932986,2.2729709189252685e-05,42.5,134.9463600197291,70.0,0.0002268800627082076,0.0007203922429788179,0.00037368018916749865,0.001320952494854524,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-21T17:50:09,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,3.604544200003147,8.491233713347947e-05,2.355762084657781e-05,42.5,144.27563827063605,70.0,4.2496624791803954e-05,0.00014426483763685383,6.999002111163764e-05,0.000256751483540295,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-21T17:50:47,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,37.56464490003418,0.0008612018578530493,2.2924534717442216e-05,42.5,137.0871394914707,70.0,0.0004434190454870178,0.0014302844775588852,0.0007303333236121235,0.0026040368466580272,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-21T17:50:51,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,3.6997684999369085,9.21778587963315e-05,2.4914750893179723e-05,42.5,158.8316974641083,70.0,4.3658042360928155e-05,0.000163160408307661,7.190196611045387e-05,0.00027872041677904323,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-21T17:51:12,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,20.941656499984674,0.0004785952054880962,2.285384992715649e-05,42.5,136.28393407539858,70.0,0.0002472169809019963,0.0007927467453079373,0.0004071761497209084,0.0014471398759308418,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-21T17:51:15,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,3.6963359999936074,8.930793259054413e-05,2.4160826742868862e-05,42.5,150.9413767292756,70.0,4.356558007024831e-05,0.00015472651267245396,7.175045888903287e-05,0.00027004255163173493,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-21T17:51:41,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,25.47634419996757,0.0005615335206363343,2.2041748718651637e-05,42.5,127.39412565651098,70.0,0.000300807688818976,0.0009016748880021908,0.0004954398847210949,0.001697922461542262,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-21T17:51:45,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,4.564017100026831,0.000100627455248508,2.203555933436024e-05,42.5,127.43870673368535,70.0,5.389621680539384e-05,0.0001616117959581942,8.876165277777338e-05,0.0003042696655413627,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-21T17:52:09,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,23.67967199999839,0.0005124942390552526,2.1641045867012074e-05,42.5,123.03846402134263,70.0,0.00027961427166632753,0.0008094903698143696,0.000460536560556243,0.0015496412020369402,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-21T17:52:13,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,3.958420099923387,9.168834675323846e-05,2.3146874083808627e-05,42.5,139.41620765953422,70.0,4.677302909759538e-05,0.00015343401163470105,7.703322666541973e-05,0.0002772402673977166,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-21T17:52:30,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,16.414703199989162,0.00037300485516666027,2.272392943351873e-05,42.5,134.93187852680742,70.0,0.0001937275929855078,0.0006150602142707129,0.0003190759774989501,0.0011278637847551704,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-21T17:52:33,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,3.501130099990405,8.27664984732971e-05,2.362582645617482e-05,42.5,144.5215871823546,70.0,4.138305041722365e-05,0.00014072400146680764,6.815600749978355e-05,0.00025026305938381614,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-21T17:53:28,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,54.53130069992039,0.0016669378160087634,3.056859171670969e-05,42.5,220.2564787679425,70.0,0.0006437603397222926,0.0033362932245886157,0.0010603065491657212,0.005040360113476628,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-21T17:53:31,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,3.5303642000071704,0.00010552284941360048,2.9885361189164795e-05,42.5,212.7870109687191,70.0,4.16884825703164e-05,0.00020872488920176124,6.865861527912808e-05,0.0003190719870512053,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-21T17:54:32,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,60.815672200056724,0.0018912712791036793,3.109846729659904e-05,42.5,226.02012275413307,70.0,0.000717960706041534,0.0038182033323366227,0.0011825185827784787,0.005718682621156636,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_2.sol,2026-04-21T17:54:36,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,3.538668799912557,0.00010836664847594171,3.06206819323561e-05,42.5,220.97599092769082,70.0,4.176058500015602e-05,0.00021713239592457967,6.877786999943437e-05,0.00032767085092417353,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_phishable.sol,2026-04-21T17:54:53,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,17.567434999975376,0.00042114029310681353,2.3972881955986433e-05,42.5,148.43930136522883,70.0,0.00020740530423629232,0.0007244030795217071,0.00034160368666699605,0.0012734120704249972,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_phishable.sol,2026-04-21T17:54:57,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,3.452264500083402,8.524385763605119e-05,2.468877452576987e-05,42.5,156.4363045713112,70.0,4.073352763856158e-05,0.00014993484217029618,6.708554027783174e-05,0.0002577539100866895,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_proxy.sol,2026-04-21T17:55:18,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,21.366835199994966,0.0004964502577830057,2.3234796526582205e-05,42.5,140.39831837669735,70.0,0.0002522677682639269,0.0008333648333600507,0.0004154960269447958,0.0015011286285687708,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_proxy.sol,2026-04-21T17:55:22,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,3.58374020003248,8.991157062523611e-05,2.5066084297036867e-05,42.5,160.43114196271142,70.0,4.2335020902424005e-05,0.00015980901673628978,6.972374889010081e-05,0.00027186778652881285,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_rubixi.sol,2026-04-21T17:55:46,Qwen__Qwen2.5-7B-Instruct,842895be-f482-48d3-a7b0-448f360c3696,24.14973180007655,0.0007027870458219225,2.9101570095920048e-05,42.5,204.31329494436045,70.0,0.0002850704582644942,0.0013704408185741812,0.00046952287861074925,0.0021250341554494255,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
