task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-21T15:35:10,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,28.0363301000325,0.0006307299259400222,2.249620282475833e-05,42.5,132.35228775720861,70.0,0.000331033059582761,0.0010308949913842014,0.0005452252516655588,0.0019071533026325212,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-21T15:35:13,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,3.5767159999813884,8.646718444856299e-05,2.417235150082676e-05,42.5,150.32914878630848,70.0,4.227812048540928e-05,0.00014954511963694017,6.96296727779554e-05,0.00026145291290030474,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-21T15:35:29,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,15.73843729996588,0.0003620555365323429,2.3004750828168755e-05,42.5,137.9207351854731,70.0,0.00018579648027734953,0.0006029463156895787,0.0003060132697214916,0.0010947560656884197,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-21T15:35:32,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,3.5160628999583423,8.301050687003694e-05,2.3614157231089647e-05,42.5,144.70485921808992,70.0,4.147596604194004e-05,0.0001412201129760149,6.830479444534939e-05,0.0002510008734633042,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-21T15:35:52,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,19.813823000062257,0.0004564029274271922,2.3034672072976793e-05,42.5,138.2473646193632,70.0,0.0002339077706257134,0.0007608744975868831,0.0003852542808327902,0.0013800365490453863,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-21T15:35:56,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,3.8139765999512747,9.62606278832438e-05,2.523892934516559e-05,42.5,162.1861396024703,70.0,4.5035045902881775e-05,0.00017186097082166896,7.416956749899941e-05,0.0002910655842235498,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-21T15:36:15,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,18.49962450005114,0.00042496449515444794,2.2971575060551875e-05,42.5,137.53497563359252,70.0,0.00021841611451373978,0.0007068208432361445,0.0003597384447212486,0.0012849754024711326,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-21T15:36:18,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,3.5255195000208914,8.889595477637674e-05,2.5212264102778467e-05,42.5,162.0968306627436,70.0,4.160282854176727e-05,0.0001586756824956126,6.85183333326777e-05,0.00026879684437005735,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-21T15:36:35,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,17.200535299954936,0.00039745851154265746,2.3111607749967725e-05,42.5,139.09338240996865,70.0,0.00020301363402823978,0.0006644208093131709,0.00033437045249932735,0.0012018048958407392,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-21T15:36:39,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,3.4966962999897078,8.701401080462266e-05,2.4866738118740884e-05,42.5,158.1888447668448,70.0,4.131003777761689e-05,0.00015376040078685094,6.803592638882257e-05,0.0002631063649532906,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-21T15:36:58,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,19.294952699914575,0.0004496579114817794,2.3304586030271716e-05,42.5,141.2080807520986,70.0,0.00022776164611148283,0.0007567486609527663,0.00037513117444501,0.0013596414815092595,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-21T15:37:02,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,3.4790849999990314,8.768850962933596e-05,2.520485063151144e-05,42.5,161.85528815245203,70.0,4.1074014028062234e-05,0.00015642540291516127,6.764644638848627e-05,0.00026514586333170956,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-21T15:37:20,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,18.178834999911487,0.00043906569697223057,2.4152179185238592e-05,42.5,150.37808116576778,70.0,0.0002146383839591484,0.0007594575520109004,0.0003535176108348725,0.0013276135468049226,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-21T15:37:23,Qwen__Qwen2.5-7B-Instruct,c058c43c-b7d4-4ff2-9fb7-ed6f1f0d7b2f,3.4422168999444693,8.749682760687653e-05,2.541507447026379e-05,42.5,163.7581603745356,70.0,4.0701879306127235e-05,0.00015683040324354636,6.703398722359777e-05,0.0002645662697732705,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
