task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-21T16:42:02,Qwen__Qwen2.5-7B-Instruct,e4952d4d-14dc-49c9-9fcc-5e7c6122e42b,27.2593218999682,0.0006182709090957363,2.268052955594267e-05,42.5,134.39357664441377,70.0,0.00032181121242982853,0.001017633314104316,0.0005300361461106352,0.0018694806726447797,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-21T16:42:05,Qwen__Qwen2.5-7B-Instruct,e4952d4d-14dc-49c9-9fcc-5e7c6122e42b,3.459588700090535,8.884350146255054e-05,2.5680702265852273e-05,42.5,166.8045388340576,70.0,4.0877623889052e-05,0.00016043790613018416,6.732270999960347e-05,0.0002686382400188395,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-21T16:42:26,Qwen__Qwen2.5-7B-Instruct,e4952d4d-14dc-49c9-9fcc-5e7c6122e42b,20.787736399914138,0.0004776338979608015,2.297446608587974e-05,42.5,137.6115860194577,70.0,0.0002454109622920644,0.0007946217468060013,0.0004042004380569172,0.0014442331471549827,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-21T16:42:29,Qwen__Qwen2.5-7B-Instruct,e4952d4d-14dc-49c9-9fcc-5e7c6122e42b,3.5521802000002936,9.567073418684843e-05,2.6933447218709813e-05,42.5,180.3141539670292,70.0,4.198778173595196e-05,0.00017814180917952172,6.91523174984872e-05,0.000289281908413961,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-21T16:42:47,Qwen__Qwen2.5-7B-Instruct,e4952d4d-14dc-49c9-9fcc-5e7c6122e42b,17.599589899997227,0.00040316391306958457,2.2907503741407724e-05,42.5,136.8594154403616,70.0,0.0002077728111809443,0.0006690752574822767,0.00034220838750059356,0.0012190564561638147,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-21T16:42:51,Qwen__Qwen2.5-7B-Instruct,e4952d4d-14dc-49c9-9fcc-5e7c6122e42b,3.5105870000552386,8.637512069270548e-05,2.4604640145823838e-05,42.5,155.33907662034218,70.0,4.1443037985785256e-05,0.00015147651006941487,6.82549894441358e-05,0.00026117453749933614,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-21T16:43:09,Qwen__Qwen2.5-7B-Instruct,e4952d4d-14dc-49c9-9fcc-5e7c6122e42b,18.80584240006283,0.00043282716573537073,2.3013904440663742e-05,42.5,138.00953333121882,70.0,0.00022203574861010163,0.0007210136323667626,0.0003657005683315221,0.001308749949308386,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-21T16:43:13,Qwen__Qwen2.5-7B-Instruct,e4952d4d-14dc-49c9-9fcc-5e7c6122e42b,3.638150700018741,8.462763420844519e-05,2.3238676865356583e-05,42.5,140.53082819616765,70.0,4.298099256904819e-05,0.0001421223359194812,7.078729194472545e-05,0.00025589062043325506,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-21T16:43:31,Qwen__Qwen2.5-7B-Instruct,e4952d4d-14dc-49c9-9fcc-5e7c6122e42b,17.53064120002091,0.00040139485951981623,2.2896478437116875e-05,42.5,136.7389662820356,70.0,0.00020696079909636564,0.0006658738660334507,0.0003408726611113201,0.001213707326241137,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-21T16:43:34,Qwen__Qwen2.5-7B-Instruct,e4952d4d-14dc-49c9-9fcc-5e7c6122e42b,3.598171400022693,8.48489271507661e-05,2.3580775027445105e-05,42.5,144.37737700158124,70.0,4.244813111031862e-05,0.00014420178202456668,6.990983610998631e-05,0.0002565597492448727,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
