task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-22T08:29:46,Qwen__Qwen2.5-7B-Instruct,85738daa-5a78-415a-ae32-956d166cba66,44.7773065000074,0.0010900060205749616,2.4342784799987514e-05,42.5,152.48240622731046,70.0,0.0005286200480554221,0.0018965959617212036,0.0008706615069444525,0.0032958775167210783,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-22T08:29:49,Qwen__Qwen2.5-7B-Instruct,85738daa-5a78-415a-ae32-956d166cba66,3.6122903000796214,0.00010468391785169043,2.8957473926181743e-05,42.5,202.89534925402424,70.0,4.265410263833472e-05,0.0002036321073539682,7.024907944368252e-05,0.00031653528943598576,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-22T08:30:18,Qwen__Qwen2.5-7B-Instruct,85738daa-5a78-415a-ae32-956d166cba66,29.15976579999551,0.0006728282846651841,2.3074009561281765e-05,42.5,138.6725280356682,70.0,0.00034424228507018103,0.0011232231207998211,0.0005669817202773023,0.002034447126147304,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-22T08:30:22,Qwen__Qwen2.5-7B-Instruct,85738daa-5a78-415a-ae32-956d166cba66,3.6743643999798223,8.976292902591236e-05,2.4428431596856975e-05,42.5,153.60654992182126,70.0,4.334907916676866e-05,0.00015667595867085993,7.139329749916213e-05,0.0002714183353367903,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-22T08:30:47,Qwen__Qwen2.5-7B-Instruct,85738daa-5a78-415a-ae32-956d166cba66,25.252484099939466,0.0005760526543698418,2.2810783208492507e-05,42.5,135.80008786935062,70.0,0.00029813794625014353,0.0009526399287800302,0.000491046441668166,0.0017418243166983398,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-22T08:30:51,Qwen__Qwen2.5-7B-Instruct,85738daa-5a78-415a-ae32-956d166cba66,3.5028713000938296,8.46661546928416e-05,2.414732077364887e-05,42.5,150.32559131890113,70.0,4.139802694496926e-05,0.00014642845047418973,6.818061833263438e-05,0.0002560070957517936,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-22T08:31:50,Qwen__Qwen2.5-7B-Instruct,85738daa-5a78-415a-ae32-956d166cba66,59.49365710001439,0.0013681271481080465,2.2997349692686202e-05,42.5,137.84172092802962,70.0,0.0007023038418054867,0.0022778096000255488,0.0011567256419444069,0.004136839083775441,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-22T08:31:54,Qwen__Qwen2.5-7B-Instruct,85738daa-5a78-415a-ae32-956d166cba66,3.5933863000245765,0.0001110066129578393,3.0907094509273136e-05,42.5,224.42490318241803,70.0,4.234007250100442e-05,0.00022358128997623794,6.973201277853374e-05,0.0003356533752557761,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-22T08:32:44,Qwen__Qwen2.5-7B-Instruct,85738daa-5a78-415a-ae32-956d166cba66,50.33379609999247,0.0011870718413330324,2.3583881545789814e-05,42.5,144.2133603455315,70.0,0.0005942375842362202,0.0020164013353412003,0.0009787388624998535,0.003589377782077274,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-22T08:32:48,Qwen__Qwen2.5-7B-Instruct,85738daa-5a78-415a-ae32-956d166cba66,3.83826400001999,0.0001107293083548299,2.8845004311931003e-05,42.5,201.43245163438232,70.0,4.532744826404563e-05,0.0002148348940913536,7.465254027823331e-05,0.0003348148826336321,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
