task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-22T07:03:22,Qwen__Qwen2.5-7B-Instruct,bc4c51e9-93c5-4c61-8f8b-cce4ca99c725,47.86257100000512,0.0010778864447546232,2.2519797807785333e-05,42.5,132.65504365376557,70.0,0.0005650199793758576,0.0017635955775414658,0.0009306157058340937,0.003259231262751417,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-22T07:03:25,Qwen__Qwen2.5-7B-Instruct,bc4c51e9-93c5-4c61-8f8b-cce4ca99c725,3.4222355000674725,0.00010744208568071569,3.139446904099364e-05,42.5,230.02506897999757,70.0,4.0310446041257855e-05,0.00021817573009563773,6.638905194478054e-05,0.000324875228081676,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-22T07:03:48,Qwen__Qwen2.5-7B-Instruct,bc4c51e9-93c5-4c61-8f8b-cce4ca99c725,22.95316370006185,0.0005397643500332501,2.3516084447068465e-05,42.5,143.50408856003895,70.0,0.0002709500599308134,0.0009148818430144701,0.00044626659194537863,0.0016320984948906625,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-22T07:03:52,Qwen__Qwen2.5-7B-Instruct,bc4c51e9-93c5-4c61-8f8b-cce4ca99c725,3.4993798000505194,8.541945891532348e-05,2.4427106491716577e-05,42.5,152.80894596974605,70.0,4.13753567358072e-05,0.0001487659523444762,6.814357083349018e-05,0.0002582848799137739,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-22T07:04:07,Qwen__Qwen2.5-7B-Instruct,bc4c51e9-93c5-4c61-8f8b-cce4ca99c725,15.610849800053984,0.00035332003564965343,2.2631217598445156e-05,42.5,133.91266160148874,70.0,0.00018426297520887202,0.0005805924089212766,0.0003034869366677919,0.0010683423207979402,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-22T07:04:11,Qwen__Qwen2.5-7B-Instruct,bc4c51e9-93c5-4c61-8f8b-cce4ca99c725,3.6600193000631407,8.632063853837796e-05,2.359490239612917e-05,42.5,144.2405813747735,70.0,4.320798034766803e-05,0.00014664567286892805,7.115614527752369e-05,0.00026100979849411933,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-22T07:04:40,Qwen__Qwen2.5-7B-Instruct,bc4c51e9-93c5-4c61-8f8b-cce4ca99c725,28.964567000046372,0.0006626279858207478,2.2876873471421727e-05,42.5,136.49010808692637,70.0,0.000341994815417436,0.0010983281008822843,0.0005632813200005329,0.0020036042363002545,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-22T07:04:43,Qwen__Qwen2.5-7B-Instruct,bc4c51e9-93c5-4c61-8f8b-cce4ca99c725,3.538652200018987,8.627337188493213e-05,2.437985255725013e-05,42.5,152.0603599092748,70.0,4.190732333348335e-05,0.00014994039772986412,6.901915610974842e-05,0.00026086687717309653,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-22T07:05:05,Qwen__Qwen2.5-7B-Instruct,bc4c51e9-93c5-4c61-8f8b-cce4ca99c725,21.134682400035672,0.0004888512001993105,2.313033493696243e-05,42.5,139.2855996280323,70.0,0.0002495043486103695,0.0008177034319380994,0.0004109433941662751,0.0014781511747147431,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-22T07:05:08,Qwen__Qwen2.5-7B-Instruct,bc4c51e9-93c5-4c61-8f8b-cce4ca99c725,3.6391839999705553,9.39922885962543e-05,2.5826757918685508e-05,42.5,168.70148678162695,70.0,4.295490111132184e-05,0.0001705079141860466,7.074393666730953e-05,0.0002842067519646784,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
