task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-21T19:57:31,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,26.22776169993449,0.0005806324357514356,2.2138713097075628e-05,42.5,128.49497210948317,70.0,0.000309617458334267,0.000936102415547424,0.0005099524383342618,0.001755672312215953,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-21T19:57:34,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,3.4802815000293776,8.548184765464872e-05,2.454980954906132e-05,42.5,154.9217213731333,70.0,4.107880118018432e-05,0.00014974206423801206,6.765266083271447e-05,0.00025847352625091085,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-21T19:57:50,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,15.624366299947724,0.00035755128098158425,2.2884265749933703e-05,42.5,136.61036334555223,70.0,0.00018445039902750674,0.0005928910298660384,0.0003037950105551217,0.001081136439448667,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-21T19:57:54,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,3.837048500077799,8.798103933516641e-05,2.2929660107644622e-05,42.5,137.11108769645037,70.0,4.529636305540205e-05,0.0001461331724641468,7.460085694522905e-05,0.0002660303924647777,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-21T19:58:11,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,16.785820899996907,0.00037744106363728105,2.2485762972127635e-05,42.5,132.26988109851496,70.0,0.00019816377368050682,0.0006167324378267836,0.0003263814438887897,0.0011412776553960807,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-21T19:58:14,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,3.589771999977529,8.391793059151962e-05,2.337141752009059e-05,42.5,141.91732112458078,70.0,4.238824979119172e-05,0.0001415448354613602,6.981158722224384e-05,0.0002537446724747965,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-21T19:58:36,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,22.126890299958177,0.0005028911709269994,2.272534665342037e-05,42.5,134.9076427849772,70.0,0.0002612119995139236,0.0008291653855536651,0.00043022678805573387,0.001520604173123323,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-21T19:58:40,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,3.50322650000453,8.520985058369911e-05,2.4322494342898703e-05,42.5,152.86506836987118,70.0,4.1265253402444826e-05,0.00014842456318397979,6.796126555515605e-05,0.00025765108214158023,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-21T19:58:56,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,16.263867700006813,0.0003723833475533498,2.2896451403756113e-05,42.5,136.7388229944948,70.0,0.00019200270215264433,0.0006177471608630469,0.00031623465416616664,0.0011259845171818581,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-21T19:59:00,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,3.767594699980691,8.573514226791227e-05,2.277115847533251e-05,42.5,135.68284512995723,70.0,4.4394755068868875e-05,0.000141734002275129,7.311066194346915e-05,0.0002592394192874664,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-21T19:59:15,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,15.040217299945652,0.0003458668166451493,2.2996323968308992e-05,42.5,137.77076726031873,70.0,0.00017759536034702458,0.0005757054605624035,0.0002925050216668751,0.0010458058425763025,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-21T19:59:19,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,3.4512216000584885,8.331102675739836e-05,2.414126827761319e-05,42.5,150.11289173754412,70.0,4.0768498056261e-05,0.00014399789297847576,6.71431716664098e-05,0.00025190956270114764,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-21T19:59:35,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,16.79245249996893,0.0003870520058648812,2.304932640247194e-05,42.5,138.40485469954817,70.0,0.00019824073527828045,0.0006455885720253463,0.00032650918611034285,0.0011703384934139693,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-21T19:59:39,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,3.585930399945937,8.351925891908951e-05,2.326962175427399e-05,42.5,140.80071541665663,70.0,4.237294506925131e-05,0.0001403803900803524,6.978586416549236e-05,0.0002525391993150952,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-21T20:00:03,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,24.158968799980357,0.0005513729968975099,2.2826091620389675e-05,42.5,135.97255462532692,70.0,0.0002851669804850342,0.0009123510076580743,0.00046968185249910083,0.001667199840642208,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-21T20:00:07,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,3.5882027000188828,8.713331152235097e-05,2.4270482597333016e-05,42.5,151.90290441141005,70.0,4.2350205208155616e-05,0.00015136817665073465,6.974871555446736e-05,0.0002634670974133585,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-21T20:01:04,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,57.08616910001729,0.0017527938757630574,3.07046795482797e-05,42.5,221.7350452137099,70.0,0.00067392293798637,0.0035160567017342714,0.0011099855141659246,0.005299965153886567,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-21T20:01:08,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,4.459345299983397,0.00012180016849552226,2.7314201733933327e-05,42.5,184.65789866954512,70.0,5.267403604092497e-05,0.0002288637942022831,8.675227944396346e-05,0.0003682901096871728,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-21T20:02:04,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,55.76605420000851,0.001727306384290912,3.0974300846647594e-05,42.5,224.6754745266374,70.0,0.0006583317161804494,0.003480260284206338,0.0010843060102776183,0.005222898010664407,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_2.sol,2026-04-21T20:02:08,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,3.475514900055714,0.0001084337380616333,3.119647881221143e-05,42.5,227.42863159663676,70.0,4.0993190832523414e-05,0.00021936628660235158,6.75142338890716e-05,0.000327873711323947,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_phishable.sol,2026-04-21T20:02:32,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,24.015211199992336,0.000576503384158494,2.4005049689991737e-05,42.5,148.75100733558472,70.0,0.00028358029493093543,0.000992538571809476,0.00046706833250031565,0.0017431871992407283,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_phishable.sol,2026-04-21T20:02:35,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,3.524223499931395,8.951004350715198e-05,2.539847250231594e-05,42.5,164.30980389464202,70.0,4.1555445763272626e-05,0.00016065873963810873,6.843949388777356e-05,0.00027065367928915535,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_proxy.sol,2026-04-21T20:02:54,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,18.99749800004065,0.00043298206210759874,2.279165324071016e-05,42.5,135.59901973029233,70.0,0.00022427320715246975,0.0007155591835577013,0.00036938592249805696,0.0013092183132082276,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_proxy.sol,2026-04-21T20:02:58,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,3.538844000082463,8.471853064045444e-05,2.3936509352956906e-05,42.5,148.24643147068323,70.0,4.175407659729683e-05,0.00014564539429429146,6.876599527733725e-05,0.00025616546616892555,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_rubixi.sol,2026-04-21T20:03:15,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,16.62411059997976,0.00048507161524365995,2.91713073164499e-05,42.5,205.0300697366888,70.0,0.00019631491506871563,0.0009470707576575421,0.00032333707972041683,0.0014667227524466746,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_rubixi.sol,2026-04-21T20:03:18,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,3.606859300052747,9.742723019634525e-05,2.701125114401135e-05,42.5,181.544710920405,70.0,4.257985867952771e-05,0.00018188653439743518,7.012667472202673e-05,0.0002945930677989879,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_simple_suicide.sol,2026-04-21T20:03:34,Qwen__Qwen2.5-7B-Instruct,1c0d1b63-cc96-41ad-9c04-ad88b5c4a38a,16.16502810001839,0.0003745618965049855,2.316980178198532e-05,42.5,139.71606111675533,70.0,0.0001908462582648398,0.000627395779693174,0.000314329810278206,0.0011325718482362197,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
