task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-21T23:01:36,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,24.064601800055243,0.0005313681261309932,2.208045428079976e-05,42.5,127.8829728981507,70.0,0.00028406925034764254,0.0008547687393711811,0.0004678726402771039,0.0016067106299959275,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-21T23:01:40,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,3.8663031000178307,8.769484186609282e-05,2.2679691488916488e-05,42.5,134.05446078909105,70.0,4.570862131941897e-05,0.00014417594867310868,7.52804402763205e-05,0.000265165010268848,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-21T23:01:57,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,17.171306999982335,0.00038806527046197394,2.259861727198411e-05,42.5,133.54492034862218,70.0,0.00020268581263897226,0.0006368868983983589,0.0003338296149986693,0.0011734023260360003,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-21T23:02:01,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,3.878661399940029,8.826598845539774e-05,2.2757416253313586e-05,42.5,134.98298998604554,70.0,4.583374131834721e-05,0.0001455717831255754,7.548647555425606e-05,0.0002668919999981789,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-21T23:02:19,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,17.433571300003678,0.00039186283784831783,2.2476617990639175e-05,42.5,132.18029922485388,70.0,0.00020581071958392083,0.0006400977342959635,0.0003389766683339581,0.0011848851222138429,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-21T23:02:22,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,3.6658315000822768,8.492791420416641e-05,2.315372814715321e-05,42.5,139.37016571721344,70.0,4.333227868054466e-05,0.00014210011368120945,7.136619194320201e-05,0.0002567985843049559,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-21T23:02:39,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,16.280645000049844,0.0003712665031714475,2.2804342309721164e-05,42.5,135.72384049288755,70.0,0.00019220957208340727,0.0006138224355023425,0.0003165754802783745,0.0011226074878641244,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-21T23:02:42,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,3.5194835999282077,8.288309158086828e-05,2.3543634681006418e-05,42.5,143.7929966062058,70.0,4.155915034732773e-05,0.00014061039026458388,6.844606416578033e-05,0.0002506156047776915,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-21T23:03:01,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,18.913204099982977,0.0004251646941502061,2.247848285852412e-05,42.5,132.18475782362236,70.0,0.00022329678145825813,0.000694505000049972,0.0003677789674990993,0.001285580749007329,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-21T23:03:05,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,3.5800817999988794,8.549474570916172e-05,2.3877888322162735e-05,42.5,147.06220595699307,70.0,4.232870729134041e-05,0.00014647011717450198,6.971370194385406e-05,0.000258512526409696,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-21T23:03:20,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,15.50133429991547,0.00035403466379144285,2.2838993390855202e-05,42.5,136.11768592987556,70.0,0.0001829982472225512,0.0005861018577704158,0.0003014030541681374,0.0010705031591611057,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-21T23:03:24,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,3.508889300050214,8.388132246679248e-05,2.3899815214496432e-05,42.5,147.83866079969926,70.0,4.1406062985980705e-05,0.00014403400411744371,6.819391250092966e-05,0.00025363397960435387,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-21T23:03:42,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,18.044980700011365,0.0004187581675634735,2.3206187421127308e-05,42.5,140.041477678441,70.0,0.0002130900865282457,0.0007021525061645661,0.0003509665872232291,0.0012662091799160412,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-21T23:03:45,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,3.571857600007206,8.582273262408829e-05,2.4027174710363614e-05,42.5,149.41165847286683,70.0,4.210990076317111e-05,0.00014804095176579324,6.935341583286757e-05,0.0002595042683618317,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-21T23:04:06,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,20.194184300024062,0.0004645979671681357,2.300620773521414e-05,42.5,137.9446988712062,70.0,0.00023839532673688773,0.0007737742301312522,0.0003926465316669136,0.001404816088535054,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-21T23:04:09,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,3.473472399986349,8.867111671067608e-05,2.5523901697395782e-05,42.5,165.44670269934107,70.0,4.099764979182503e-05,0.00015959901656792397,6.752032972354854e-05,0.000268116996083298,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-21T23:04:42,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,32.86489149997942,0.0010056946889200925,3.060024478382027e-05,42.5,220.6390724267146,70.0,0.0003879469145132235,0.002014030777887754,0.0006389656155535097,0.0030409433079544874,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-21T23:04:46,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,3.507514200056903,9.927047592549719e-05,2.8302479992978508e-05,42.5,195.85932904494047,70.0,4.1371269652962835e-05,0.0001906584858630822,6.813677888939211e-05,0.0003001665344054376,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-21T23:05:31,Qwen__Qwen2.5-7B-Instruct,ed4a9659-a76d-4b84-acb7-02a812080ce3,45.47009979991708,0.00140538039480422,3.0907746836640234e-05,42.5,223.91312291966014,70.0,0.0005368493537498578,0.002828416151617219,0.0008842171197220323,0.0042494826250891096,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
