task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-22T16:53:55,Qwen__Qwen2.5-7B-Instruct,00e95cbb-61a7-48f8-a232-32ac89ca4ffb,34.18815750000067,0.0007820650809156704,2.287524436272382e-05,42.5,136.50780481603533,70.0,0.0004036099979165657,0.0012963757593205116,0.0006647633066653119,0.002364749063902389,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-22T16:53:58,Qwen__Qwen2.5-7B-Instruct,00e95cbb-61a7-48f8-a232-32ac89ca4ffb,3.641631399979815,8.950075130481389e-05,2.4566190466046267e-05,42.5,154.91604706254518,70.0,4.3010611527521773e-05,0.0001567781809814761,7.083678972364098e-05,0.00027062558223263887,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-22T16:54:15,Qwen__Qwen2.5-7B-Instruct,00e95cbb-61a7-48f8-a232-32ac89ca4ffb,17.20192829996813,0.00039094549570560674,2.2724517518620705e-05,42.5,134.7971643684645,70.0,0.0002031560999300888,0.0006443505154809515,0.0003346047172216157,0.0011821113326326558,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-22T16:54:19,Qwen__Qwen2.5-7B-Instruct,00e95cbb-61a7-48f8-a232-32ac89ca4ffb,3.5217648999532685,8.270932326315196e-05,2.3485685033027305e-05,42.5,143.17510355308832,70.0,4.157218250038571e-05,0.00014005011204254458,6.846788277778404e-05,0.0002500901773207142,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-22T16:54:36,Qwen__Qwen2.5-7B-Instruct,00e95cbb-61a7-48f8-a232-32ac89ca4ffb,16.753396300016902,0.0003816879699858563,2.2782646770163745e-05,42.5,135.54718568782874,70.0,0.00019774581687541089,0.0006306805045444008,0.00032569280722107366,0.0011541191286408856,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-22T16:54:39,Qwen__Qwen2.5-7B-Instruct,00e95cbb-61a7-48f8-a232-32ac89ca4ffb,3.485095200012438,8.436846427812227e-05,2.4195062000171383e-05,42.5,151.10854284993624,70.0,4.112990979152119e-05,0.00014623789476786442,6.773915749929272e-05,0.000255106962058679,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-22T16:54:57,Qwen__Qwen2.5-7B-Instruct,00e95cbb-61a7-48f8-a232-32ac89ca4ffb,17.722293599974364,0.00040197109449845885,2.2681827400483307e-05,42.5,134.38953973814606,70.0,0.00020923052340230135,0.0006616099737311032,0.00034460920472273665,0.0012154497018561404,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-22T16:55:01,Qwen__Qwen2.5-7B-Instruct,00e95cbb-61a7-48f8-a232-32ac89ca4ffb,3.7642928999848664,8.728103084396565e-05,2.318545436068524e-05,42.5,139.95521715380556,70.0,4.4429586179952144e-05,0.00014631011704580033,7.317405666625639e-05,0.00026391375989200886,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-22T16:55:42,Qwen__Qwen2.5-7B-Instruct,00e95cbb-61a7-48f8-a232-32ac89ca4ffb,41.40748809999786,0.0009530368893563906,2.301568779982397e-05,42.5,137.99639752960513,70.0,0.0004889222985414057,0.001587519047790309,0.0008052793019438264,0.0028817206482755417,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-22T16:55:46,Qwen__Qwen2.5-7B-Instruct,00e95cbb-61a7-48f8-a232-32ac89ca4ffb,3.378706500050612,0.00010389304931707286,3.074847606333894e-05,42.5,222.21597429429997,70.0,3.9888339583396635e-05,0.00020856155573945045,6.569402583376767e-05,0.0003141439211566139,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-22T16:56:20,Qwen__Qwen2.5-7B-Instruct,00e95cbb-61a7-48f8-a232-32ac89ca4ffb,34.471632400061935,0.0008101914229353834,2.3502917573104706e-05,42.5,143.2920418275095,70.0,0.0004070356903469168,0.0013723533201019933,0.0006704063527771119,0.0024497953632260216,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-22T16:56:23,Qwen__Qwen2.5-7B-Instruct,00e95cbb-61a7-48f8-a232-32ac89ca4ffb,3.358233700040728,9.330721512087244e-05,2.778330658550066e-05,42.5,190.16192037237965,70.0,3.961815055566467e-05,0.0001772681973708501,6.524893083325071e-05,0.00028213527875976634,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
