task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-22T18:07:02,Qwen__Qwen2.5-7B-Instruct,9f999c0d-9a13-4302-8e5f-62eee270212a,24.058586600003764,0.0005233114911401361,2.1750966073730087e-05,42.5,124.26729377421292,70.0,0.00028403437083341287,0.000830499553289954,0.00046781566416676575,0.0015823495882901326,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-22T18:07:07,Qwen__Qwen2.5-7B-Instruct,9f999c0d-9a13-4302-8e5f-62eee270212a,4.175958400010131,9.250998564984056e-05,2.213021275955537e-05,42.5,128.37648589383932,70.0,4.935493361133721e-05,0.0001490834525963436,8.12862905557268e-05,0.00027972467676340754,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-22T18:07:23,Qwen__Qwen2.5-7B-Instruct,9f999c0d-9a13-4302-8e5f-62eee270212a,16.6151833999902,0.0003645663395463666,2.1941789014188924e-05,42.5,126.34810978002842,70.0,0.00019614970458351307,0.0005831335220651823,0.00032306481472300626,0.0011023480413717018,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-22T18:07:27,Qwen__Qwen2.5-7B-Instruct,9f999c0d-9a13-4302-8e5f-62eee270212a,4.086556300055236,9.028691734518069e-05,2.2094151546275585e-05,42.5,128.2147073286355,70.0,4.8201311249431496e-05,0.00014541511632870652,7.93863038884916e-05,0.0002730027314666295,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-22T18:07:47,Qwen__Qwen2.5-7B-Instruct,9f999c0d-9a13-4302-8e5f-62eee270212a,19.73717959993519,0.0004318100294933955,2.1878101258116214e-05,42.5,125.60250957352514,70.0,0.0002330564850000277,0.0006887649954538944,0.0003838529294463419,0.0013056744099002636,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-22T18:07:51,Qwen__Qwen2.5-7B-Instruct,9f999c0d-9a13-4302-8e5f-62eee270212a,3.941111300024204,8.901365547542847e-05,2.2583303425616613e-05,42.5,133.89497434521462,70.0,4.642616652708966e-05,0.00014626483923230182,7.646173305563735e-05,0.0002691527388150282,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-22T18:08:09,Qwen__Qwen2.5-7B-Instruct,9f999c0d-9a13-4302-8e5f-62eee270212a,17.62323790008668,0.0003879415662962685,2.2010674191805547e-05,42.5,127.05322925687184,70.0,0.0002081118454870496,0.0006221485532762472,0.00034276788000069157,0.001173028278763988,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-22T18:08:13,Qwen__Qwen2.5-7B-Instruct,9f999c0d-9a13-4302-8e5f-62eee270212a,3.8566868000198156,8.759632842650052e-05,2.2711900719312514e-05,42.5,134.81770662640457,70.0,4.551646229212776e-05,0.0001443870599544539,7.496361055689491e-05,0.0002648671328034768,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-22T18:08:30,Qwen__Qwen2.5-7B-Instruct,9f999c0d-9a13-4302-8e5f-62eee270212a,17.274181100074202,0.0003822118908251462,2.2126276091184448e-05,42.5,128.41070025512576,70.0,0.0002038827920831359,0.0006160179928134113,0.00033580253583333827,0.0011557033207298855,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-22T18:08:34,Qwen__Qwen2.5-7B-Instruct,9f999c0d-9a13-4302-8e5f-62eee270212a,3.860682599944994,8.688632166882568e-05,2.250576277584262e-05,42.5,132.4381745161729,70.0,4.558610680582614e-05,0.0001420556692028896,7.50784922223021e-05,0.0002627202682310174,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
