task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-22T14:22:13,Qwen__Qwen2.5-7B-Instruct,a076f7c1-54b1-401b-bb86-7e688e435b77,28.543742100009695,0.0006116088278764097,2.142671746338307e-05,42.5,120.74006639119027,70.0,0.00033697904569441256,0.0009573393769795047,0.0005550179541680135,0.0018493363768419307,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-22T14:22:17,Qwen__Qwen2.5-7B-Instruct,a076f7c1-54b1-401b-bb86-7e688e435b77,4.180961800040677,9.170608711783681e-05,2.193440768238453e-05,42.5,126.19605049989275,70.0,4.9373064582808465e-05,0.00014660511728337156,8.131572750021913e-05,0.0002772939093663993,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-22T14:22:35,Qwen__Qwen2.5-7B-Instruct,a076f7c1-54b1-401b-bb86-7e688e435b77,18.257141900015995,0.0003992776178329602,2.1869701004941134e-05,42.5,125.4943608242167,70.0,0.00021559618520728286,0.0006366149537377908,0.00035509423249815064,0.0012073053714432244,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-22T14:22:39,Qwen__Qwen2.5-7B-Instruct,a076f7c1-54b1-401b-bb86-7e688e435b77,3.771327599999495,8.578918778874198e-05,2.2748085357016804e-05,42.5,135.30410759135324,70.0,4.449000111150477e-05,0.0001416401133091938,7.327272361273775e-05,0.0002594028380334362,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-22T14:22:59,Qwen__Qwen2.5-7B-Instruct,a076f7c1-54b1-401b-bb86-7e688e435b77,19.5143584999023,0.0004308744193845795,2.2079913225118597e-05,42.5,127.84567438301141,70.0,0.00023038117138971252,0.0006930180544166831,0.0003794461572225879,0.0013028453830289835,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-22T14:23:03,Qwen__Qwen2.5-7B-Instruct,a076f7c1-54b1-401b-bb86-7e688e435b77,3.9476383000146598,8.874668093723412e-05,2.2481276116892195e-05,42.5,132.01491577371448,70.0,4.664279611073046e-05,0.0001448840047935107,7.68186805549906e-05,0.00026834548145923155,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-22T14:23:19,Qwen__Qwen2.5-7B-Instruct,a076f7c1-54b1-401b-bb86-7e688e435b77,16.306018400005996,0.0003587625754432589,2.1996548636739925e-05,42.5,126.9457883285559,70.0,0.0001925450918749752,0.0005751251823209458,0.0003171287855566738,0.0010847990597525952,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-22T14:23:23,Qwen__Qwen2.5-7B-Instruct,a076f7c1-54b1-401b-bb86-7e688e435b77,3.892765700002201,8.733644863405908e-05,2.242954364662879e-05,42.5,131.4370538084862,70.0,4.601038666652234e-05,0.00014229400272292025,7.57769386122366e-05,0.000264081328001679,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-22T14:23:55,Qwen__Qwen2.5-7B-Instruct,a076f7c1-54b1-401b-bb86-7e688e435b77,31.670944800018333,0.0006933855834303383,2.189132702209609e-05,42.5,125.78973475071045,70.0,0.0003739395956941331,0.0011067717187529524,0.0006158954122213699,0.0020966067266684554,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-22T14:23:59,Qwen__Qwen2.5-7B-Instruct,a076f7c1-54b1-401b-bb86-7e688e435b77,4.011765499948524,9.655298749234589e-05,2.4067792022188467e-05,42.5,149.48081848229054,70.0,4.7362301041802175e-05,0.00016658318882178946,7.800410916744202e-05,0.0002919495990310345,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
