task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-22T15:38:46,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,50.86493290006183,0.001119139757527366,2.2001728599479538e-05,42.5,126.99030122668486,70.0,0.0006005206779863835,0.001794361435489833,0.000989087786944583,0.0033839699004207997,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-22T15:38:50,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,4.612231200095266,0.00011512495959752024,2.49580957698374e-05,42.5,158.99113577192895,70.0,5.4494674652232826e-05,0.00020386405197569957,8.97473927774829e-05,0.0003481061194054152,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-22T15:39:11,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,20.17444470000919,0.00043075286508083917,2.1350186375918893e-05,42.5,119.90534711775477,70.0,0.00023818518902820262,0.0006719930375957972,0.00039229960972249193,0.0013024778363464923,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-22T15:39:15,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,3.886100900010206,8.714927662921011e-05,2.2419963444236056e-05,42.5,131.58285778622158,70.0,4.588439895815096e-05,0.00014206178031272998,7.556919222147869e-05,0.0002635153714923592,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-22T15:39:34,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,19.43420330004301,0.0004419975042433365,2.274339408952505e-05,42.5,135.08305972782048,70.0,0.00022942009291776532,0.0007291953055830191,0.00037786312472243375,0.0013364785232232185,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-22T15:39:38,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,3.8182996000396088,8.913091879968454e-05,2.3337781194837002e-05,42.5,141.55508254778576,70.0,4.508560201413477e-05,0.00015016762013431162,7.425408861082457e-05,0.0002695073107592712,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-22T15:40:05,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,26.84217799990438,0.0005872770920011161,2.1879178278578747e-05,42.5,125.67001388944693,70.0,0.0003168751337491915,0.0009369821384694887,0.0005219066474987711,0.0017757639197174512,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-22T15:40:09,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,4.02215640002396,9.063313410806765e-05,2.2534908844447215e-05,42.5,133.3511822809578,70.0,4.737551263929679e-05,0.00014865011892162272,7.80239638891846e-05,0.0002740495954501043,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-22T15:40:40,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,31.210371599998325,0.000696185864621553,2.2305732473426887e-05,42.5,130.2936954711174,70.0,0.0003684849249298472,0.001129677570409271,0.0006069115091648807,0.002105074004503998,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-22T15:40:44,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,3.6391705999849364,9.02653446993697e-05,2.479377753642105e-05,42.5,157.05845464928174,70.0,4.303335256918201e-05,0.00015903012722340293,7.08740219441499e-05,0.00027293750173673463,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-22T15:41:03,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,19.061657099984586,0.00042900228896479084,2.250632278531463e-05,42.5,132.58190505951714,70.0,0.0002249473976390112,0.0007017408391707392,0.0003704963402764404,0.0012971845770861912,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-22T15:41:07,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,3.79945269995369,8.707145150432805e-05,2.2911228850452875e-05,42.5,136.90610080008224,70.0,4.486491722151785e-05,0.00014452483783955472,7.389029472251426e-05,0.0002632800497835864,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-22T15:41:31,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,24.553522899979725,0.0005649311721767089,2.300827021542994e-05,42.5,137.95659912860285,70.0,0.00028986418673585933,0.0009409132527320452,0.00047741858305493665,0.0017081960225228399,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-22T15:41:35,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,3.472459299955517,8.951961564095372e-05,2.5754373239672968e-05,42.5,167.8538729637102,70.0,4.1034497292033196e-05,0.0001620665185431136,6.758160694605737e-05,0.0002706826227812046,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-22T15:41:59,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,24.430896000005305,0.0005591340226561332,2.2886392143597485e-05,42.5,136.63692083998305,70.0,0.00028840961006919514,0.0009272337973396105,0.00047502363416780224,0.0016906670415766083,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-22T15:42:02,Qwen__Qwen2.5-7B-Instruct,c6ac5b0b-ccfb-47ce-9e4b-a9f85a18a0ae,3.366842799936421,8.392314013809347e-05,2.4925096868982056e-05,42.5,158.94695673735708,70.0,3.973145083307605e-05,0.00014859345220763487,6.543552166581815e-05,0.00025376042470652907,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
