model,prompt,macro_precision_mean,macro_recall_mean,macro_specificity_mean,macro_f1_mean,macro_f1_std,micro_precision_mean,micro_recall_mean,micro_specificity_mean,micro_f1_mean,micro_f1_std,weighted_precision_mean,weighted_recall_mean,weighted_specificity_mean,weighted_f1_mean,weighted_f1_std,vd_avg_input_tokens,vd_avg_output_tokens,vd_avg_total_tokens,vd_avg_latency_s,vd_total_energy_kwh,vd_total_emissions_kg,vd_energy_kwh_per_1k_total_tokens,vd_total_latency_s,sa_avg_input_tokens,sa_avg_output_tokens,sa_avg_total_tokens,sa_avg_latency_s,sa_total_energy_kwh,sa_total_emissions_kg,sa_energy_kwh_per_1k_input_tokens,sa_energy_kwh_per_1k_output_tokens,sa_energy_kwh_per_1k_total_tokens,sa_total_latency_s,total_energy_kwh,total_emissions_kg,combined_latency_s,energy_kwh_per_run,vd_energy_kwh_std,vd_energy_kwh_min,vd_energy_kwh_max,energy_kwh_per_run_std,energy_kwh_per_run_min,energy_kwh_per_run_max,macro_f1_per_kwh,num_contracts,num_runs
meta-llama__CodeLlama-13b-Instruct-hf,FS_ROLE_SA,0.1686,0.5049,0.692,0.218,0.0224,0.1729,0.5139,0.693,0.2588,0.0211,0.3155,0.5139,0.6835,0.3422,0.0296,2494.0219,480.6642,2974.6861,39.7279,3.060836637,1.012273781,0.001502133,27213.6108,989.6657,68.5971,1058.2628,5.2033,0.397253437,0.131378865,0.000585988,0.008454179,0.000548004,3564.2628,3.458090074,1.143652646,30777.8736,0.691618015,0.018113311,0.594388765,0.635119068,0.018552316,0.672778815,0.714316095,0.3152,137,5
meta-llama__CodeLlama-13b-Instruct-hf,FS_SA,0.1663,0.5308,0.6888,0.2201,0.0072,0.1744,0.5197,0.6918,0.2608,0.0091,0.2973,0.5197,0.6644,0.3348,0.0185,2469.0219,484.9883,2954.0102,40.431,3.10405246,1.026566025,0.001534004,27695.2031,993.9898,67.6482,1061.638,5.222,0.396763631,0.13121689,0.000582719,0.008562197,0.000545588,3577.0484,3.500816091,1.157782915,31272.2514,0.700163218,0.005723512,0.613809454,0.628563997,0.005805772,0.693867716,0.708317408,0.3144,137,5
meta-llama__CodeLlama-13b-Instruct-hf,ZS_COT_ROLE_SA,0.148,0.3764,0.7057,0.1781,0.0155,0.1525,0.4219,0.7069,0.224,0.0123,0.2938,0.4219,0.696,0.2952,0.0198,921.0219,523.6964,1444.7182,40.0291,3.042781814,1.006302704,0.00307466,27419.9201,1032.6978,67.4175,1100.1153,5.2038,0.395227648,0.130708887,0.000558706,0.008558231,0.000524467,3564.6117,3.438009462,1.137011591,30984.5317,0.687601892,0.014119487,0.58402191,0.61778729,0.013830549,0.663528283,0.697133134,0.259,137,5
meta-llama__CodeLlama-13b-Instruct-hf,ZS_COT_SA,0.1502,0.4245,0.6951,0.1851,0.0194,0.152,0.4336,0.6969,0.2249,0.0115,0.2893,0.4336,0.6804,0.2981,0.0127,896.0219,521.6905,1417.7124,39.5737,3.009520926,0.995302742,0.003098979,27107.9521,1030.692,67.6015,1098.2934,5.1876,0.394531176,0.130478563,0.000558807,0.008519904,0.000524412,3553.5201,3.404052102,1.125781305,30661.4722,0.68081042,0.013848535,0.591196355,0.622261935,0.014417637,0.66935729,0.702167288,0.2719,137,5
meta-llama__CodeLlama-13b-Instruct-hf,ZS_ROLE_SA,0.1372,0.5882,0.5349,0.193,0.0049,0.1403,0.6043,0.5367,0.2277,0.0025,0.2712,0.6043,0.5211,0.3384,0.0058,868.0219,569.0467,1437.0686,43.1884,3.280886856,1.08504833,0.003332907,29584.0436,1078.0482,67.073,1145.1212,5.1675,0.392544269,0.12982145,0.000531569,0.008543786,0.000500434,3539.7626,3.673431125,1.21486978,33123.8062,0.734686225,0.01669935,0.645860673,0.685870494,0.017521078,0.724054206,0.765855818,0.2627,137,5
meta-llama__CodeLlama-13b-Instruct-hf,ZS_SA,0.1331,0.5642,0.5281,0.1876,0.013,0.1336,0.581,0.5292,0.2172,0.0158,0.2594,0.581,0.5197,0.321,0.0335,843.0219,570.4613,1413.4832,43.5591,3.295735403,1.089959019,0.003403855,29837.9622,1079.4613,67.6394,1147.1007,5.2526,0.397513345,0.131464837,0.000537594,0.008579486,0.000505894,3598.0313,3.693248748,1.221423856,33435.9935,0.73864975,0.013968271,0.64523968,0.674825133,0.013796918,0.724541691,0.754291085,0.254,137,5
meta-llama__Llama-2-13b-chat-hf,FS_ROLE_SA,0.12,0.4906,0.5857,0.1764,0.0111,0.1467,0.5503,0.5998,0.2316,0.0105,0.2271,0.5503,0.473,0.311,0.0159,2494.0219,663.7285,3157.7504,55.1659,4.307401094,1.42453508,0.001991347,37788.615,1170.3912,125.5036,1295.8949,9.5854,0.741110793,0.245098661,0.000924403,0.008620575,0.000834878,6565.9944,5.048511887,1.669633741,44354.6094,1.009702377,0.025306841,0.837162695,0.890327969,0.027063585,0.981707748,1.040330616,0.1747,137,5
meta-llama__Llama-2-13b-chat-hf,FS_SA,0.1156,0.4801,0.6102,0.1697,0.009,0.1434,0.5022,0.6252,0.223,0.0116,0.215,0.5022,0.4902,0.2902,0.0241,2469.0219,637.7562,3106.7781,53.1204,4.096917771,1.354924453,0.001925114,36387.4457,1144.9635,124.6073,1269.5708,9.4885,0.72421772,0.239511842,0.000923394,0.008484673,0.000832763,6499.645,4.821135491,1.594436295,42887.0907,0.964227098,0.018134582,0.789355422,0.833522837,0.017752132,0.935598819,0.977288433,0.176,137,5
meta-llama__Llama-2-13b-chat-hf,ZS_COT_ROLE_SA,0.1243,0.722,0.3957,0.1934,0.0076,0.1366,0.7547,0.4031,0.2313,0.0101,0.2447,0.7547,0.3368,0.3514,0.0133,921.0219,709.2394,1630.2613,52.6926,4.120316734,1.362662899,0.00368963,36094.464,1217.2,124.6423,1341.8423,9.2316,0.722830831,0.239053157,0.00086693,0.008466044,0.000786402,6323.6133,4.843147565,1.601716056,42418.0773,0.968629513,0.021864069,0.807515775,0.86128289,0.023938798,0.95126291,1.009970837,0.1997,137,5
meta-llama__Llama-2-13b-chat-hf,ZS_COT_SA,0.1262,0.7524,0.4015,0.1983,0.0068,0.1402,0.7664,0.4122,0.237,0.0076,0.2386,0.7664,0.3161,0.3463,0.0066,896.0219,672.2467,1568.2686,51.5964,3.928623915,1.29926663,0.003657038,35343.5255,1177.8803,125.5825,1303.4628,9.6413,0.734780299,0.243005077,0.00091068,0.008541573,0.00082294,6604.2964,4.663404214,1.542271707,41947.8219,0.932680843,0.016812123,0.762658617,0.805823113,0.018599449,0.907276625,0.954737225,0.2126,137,5
