task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-25T15:46:59,meta-llama__CodeLlama-13b-Instruct-hf,05f436b3-874c-42b5-9e9e-3c0fa3cd3f93,30.699445600039326,0.001085272492541805,3.534743838186789e-05,42.5,272.28146007347385,70.0,0.0003624565879858791,0.00232212546881172,0.0005969825769441539,0.003281564633741753,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-25T15:47:05,meta-llama__CodeLlama-13b-Instruct-hf,05f436b3-874c-42b5-9e9e-3c0fa3cd3f93,5.089152900036424,0.00018003401696059995,3.534360121484588e-05,42.5,272.4872324955219,70.0,6.009554895822981e-05,0.0003853022526847383,9.89754013898265e-05,0.0005443732030327949,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-25T15:47:38,meta-llama__CodeLlama-13b-Instruct-hf,05f436b3-874c-42b5-9e9e-3c0fa3cd3f93,33.30832710000686,0.0012185012220475642,3.658112939578854e-05,42.5,285.7003304738814,70.0,0.0003932382436108633,0.002643492114792423,0.0006476812008331761,0.003684411559236462,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-25T15:47:43,meta-llama__CodeLlama-13b-Instruct-hf,05f436b3-874c-42b5-9e9e-3c0fa3cd3f93,5.069723500055261,0.0001851016041666152,3.647725763538157e-05,42.5,284.72956236627647,70.0,5.988287895921122e-05,0.00040118782094822336,9.862548888971406e-05,0.0005596961887971482,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-25T15:48:40,meta-llama__CodeLlama-13b-Instruct-hf,05f436b3-874c-42b5-9e9e-3c0fa3cd3f93,57.02446270000655,0.002115960951574289,3.710635735407529e-05,42.5,291.4188517934925,70.0,0.0006732011215277858,0.004616084803974019,0.0011087962822228696,0.006398082207724674,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-25T15:48:45,meta-llama__CodeLlama-13b-Instruct-hf,05f436b3-874c-42b5-9e9e-3c0fa3cd3f93,5.223767300019972,0.00019331794060692756,3.700846802786919e-05,42.5,290.73290726660326,70.0,6.160981451474885e-05,0.0004214603371721637,0.00010146997194387941,0.0005845401236307911,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-25T15:49:21,meta-llama__CodeLlama-13b-Instruct-hf,05f436b3-874c-42b5-9e9e-3c0fa3cd3f93,35.411196700064465,0.0013200563973248258,3.727752329757436e-05,42.5,293.28268271825067,70.0,0.0004180521224301224,0.002884883141238248,0.000688551130555182,0.0039914863942235555,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-25T15:49:26,meta-llama__CodeLlama-13b-Instruct-hf,05f436b3-874c-42b5-9e9e-3c0fa3cd3f93,5.144272000063211,0.00019000841186638754,3.693437855619284e-05,42.5,289.47397716036085,70.0,6.0744765972049405e-05,0.0004137433865487594,0.00010004486916651446,0.0005745330216873207,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-25T15:49:54,meta-llama__CodeLlama-13b-Instruct-hf,05f436b3-874c-42b5-9e9e-3c0fa3cd3f93,28.383124999934807,0.001055860939674188,3.719818800650287e-05,42.5,292.4145152187694,70.0,0.0003351003627072918,0.0023056068444802236,0.0005519250041653226,0.003192632211352839,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-25T15:49:59,meta-llama__CodeLlama-13b-Instruct-hf,05f436b3-874c-42b5-9e9e-3c0fa3cd3f93,5.0779019999317825,0.00018770800767043024,3.696538292716403e-05,42.5,289.88893105303254,70.0,5.9947481318845756e-05,0.0004088981048937512,9.873164777656884e-05,0.000567577233989168,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-25T15:50:31,meta-llama__CodeLlama-13b-Instruct-hf,05f436b3-874c-42b5-9e9e-3c0fa3cd3f93,31.183908800012432,0.0011614417588027984,3.724494778306034e-05,42.5,292.92705325364244,70.0,0.00036814280347219515,0.0025373898076921364,0.0006063468716663517,0.003511879482830684,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
