task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-25T19:08:43,meta-llama__CodeLlama-13b-Instruct-hf,08fda6cd-4980-427d-8ea7-09d865cf921a,26.575113800005056,0.0009385211591761197,3.5313768047002725e-05,42.5,271.9029753593569,70.0,0.000313753696458702,0.002007309939177304,0.00051676544888954,0.0028378290845255463,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-25T19:08:48,meta-llama__CodeLlama-13b-Instruct-hf,08fda6cd-4980-427d-8ea7-09d865cf921a,5.03641569998581,0.00018035709048681804,3.580003734616775e-05,42.5,277.20814424711483,70.0,5.9474115138760295e-05,0.00038792419922728527,9.795177388684055e-05,0.0005453500882528863,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-25T19:09:19,meta-llama__CodeLlama-13b-Instruct-hf,08fda6cd-4980-427d-8ea7-09d865cf921a,30.432367900037207,0.0011068813445416935,3.6371838842872925e-05,42.5,283.42405549835894,70.0,0.0003592698541665514,0.00239590108338561,0.0005917329036106821,0.003346903841162844,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-25T19:09:24,meta-llama__CodeLlama-13b-Instruct-hf,08fda6cd-4980-427d-8ea7-09d865cf921a,5.086401400039904,0.0001862552370886835,3.662545822092628e-05,42.5,285.8752569616031,70.0,6.0082861527270244e-05,0.0004041494899844622,9.895210500011063e-05,0.0005631844565118426,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-25T19:09:51,meta-llama__CodeLlama-13b-Instruct-hf,08fda6cd-4980-427d-8ea7-09d865cf921a,27.58123340003658,0.0010195089041444049,3.696262260381243e-05,42.5,289.90372804453943,70.0,0.00032558215479188616,0.0022208837211508126,0.0005362478080551633,0.0030827136839978618,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-25T19:09:56,meta-llama__CodeLlama-13b-Instruct-hf,08fda6cd-4980-427d-8ea7-09d865cf921a,5.044096400029957,0.0001850687696599144,3.669026176490544e-05,42.5,286.89404087382457,70.0,5.9547812500305606e-05,0.0004019772660264209,9.807182777989924e-05,0.0005595969063066242,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-25T19:10:25,meta-llama__CodeLlama-13b-Instruct-hf,08fda6cd-4980-427d-8ea7-09d865cf921a,28.91842630004976,0.0010732998624646646,3.71137131662657e-05,42.5,291.45598208445267,70.0,0.0003414432327077117,0.00234154715101198,0.0005623723194433195,0.0032453627031630104,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-25T19:10:30,meta-llama__CodeLlama-13b-Instruct-hf,08fda6cd-4980-427d-8ea7-09d865cf921a,5.063027800060809,0.00018676477608820484,3.688415611827638e-05,42.5,289.06895660202224,70.0,5.976805694372163e-05,0.000406521158552664,9.843594638837697e-05,0.0005647251618847628,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-25T19:11:10,meta-llama__CodeLlama-13b-Instruct-hf,08fda6cd-4980-427d-8ea7-09d865cf921a,39.604727800004184,0.00147701798406661,3.7294137769397974e-05,42.5,293.4633338988464,70.0,0.00046755256305558673,0.0032284617494333645,0.0007700806205555434,0.004466094933044496,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-25T19:11:15,meta-llama__CodeLlama-13b-Instruct-hf,08fda6cd-4980-427d-8ea7-09d865cf921a,5.150884400005452,0.00018938240566687345,3.676602225697802e-05,42.5,287.71727615839063,70.0,6.081027145806318e-05,0.00041167588489443574,0.00010015399527781282,0.0005726401516303117,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
