task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-25T12:14:12,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,25.075077199959196,0.0008808114454593049,3.512557462872188e-05,42.5,269.84675044273826,70.0,0.00029604467604230094,0.0018796895593062857,0.000487596594722062,0.0026633308300706487,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-25T12:14:17,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,5.058695700019598,0.00017757023649175234,3.5096304410329975e-05,42.5,269.547880444697,70.0,5.9729145833181153e-05,0.00037882196972205406,9.837229499923224e-05,0.0005369234105544675,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-25T12:15:08,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,50.917711200076155,0.0018560390865855964,3.645161350897367e-05,42.5,284.32445414942697,70.0,0.0006010630629864561,0.004021106272439567,0.0009899808547226712,0.005612150190148695,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-25T12:15:13,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,5.124101200024597,0.00018656578367853187,3.64090408788763e-05,42.5,283.772130605698,70.0,6.050244277818525e-05,0.000403975600953288,9.964542000056513e-05,0.0005641234637320369,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-25T12:15:56,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,42.555677699972875,0.0015747078801622758,3.700250815361615e-05,42.5,290.28748107122703,70.0,0.0005024067670135184,0.003431587745271969,0.000827487717778422,0.00476148223006391,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-25T12:16:01,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,5.150064300047234,0.00018893833324945108,3.6686491523568e-05,42.5,286.90565533731217,70.0,6.0791050833763124e-05,0.00041038477275279206,0.00010012157555546646,0.0005712973991420216,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-25T12:16:31,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,30.009315900038928,0.0011140660289165058,3.7124007045638296e-05,42.5,291.612766073264,70.0,0.0003542745753470323,0.0024308486113397976,0.000583505158055535,0.003368628344742365,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-25T12:16:36,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,5.07273059990257,0.00018784456276709112,3.70294585143684e-05,42.5,290.6878898456854,70.0,5.987223270923175e-05,0.00040951032761071815,9.860757861137638e-05,0.0005679901389313291,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-25T12:17:09,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,33.00104250002187,0.0012235505107481117,3.7075356466006296e-05,42.5,291.1012387868039,70.0,0.0003895837925688185,0.002668433245855084,0.0006416621769442118,0.003699679215368113,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-25T12:17:14,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,5.0639778999611735,0.00018809689993098434,3.713859047897445e-05,42.5,291.6708314380437,70.0,5.980682520870077e-05,0.0004104461616947219,9.850015000168518e-05,0.0005687531369051105,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-25T12:17:40,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,25.10501150006894,0.0009350601172191985,3.7245821912521854e-05,42.5,292.8766752059308,70.0,0.00029642331562540177,0.0020427196897294664,0.000488220843057368,0.0028273638484122357,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-25T12:17:45,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,4.999202199978754,0.0001846890977690637,3.694488858929074e-05,42.5,289.4393379329368,70.0,5.9049237916527445e-05,0.0004021467106056775,9.725293472292833e-05,0.0005584488832451363,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-25T12:18:12,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,27.456863700062968,0.0010231614921835542,3.726439638079888e-05,42.5,293.14180593914716,70.0,0.0003241403387498091,0.0022357451219292557,0.0005338726419447789,0.0030937581026238455,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-25T12:18:17,meta-llama__CodeLlama-13b-Instruct-hf,20a231bb-20b9-42b6-9532-7b4e866d52d0,4.987915100064129,0.00018421605093786077,3.691123316067759e-05,42.5,289.20632813063645,70.0,5.8932244860706185e-05,0.0004010267097065423,9.70595655552138e-05,0.0005570185201224619,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
