task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-26T21:48:00,meta-llama__CodeLlama-13b-Instruct-hf,578d6355-f256-4b3f-a07e-2017c9302ae2,47.25414340000134,0.0017185365067997687,3.636782448517403e-05,42.5,283.373904319033,70.0,0.0005578702704862129,0.00371967103129478,0.000918839018612117,0.00519638032039311,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-26T21:48:05,meta-llama__CodeLlama-13b-Instruct-hf,578d6355-f256-4b3f-a07e-2017c9302ae2,4.844969499972649,0.00017789250835868785,3.67192838988085e-05,42.5,287.21005468061634,70.0,5.71937197909897e-05,0.0003865108647644888,9.419328722255575e-05,0.0005378978717780342,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-26T21:48:24,meta-llama__CodeLlama-13b-Instruct-hf,578d6355-f256-4b3f-a07e-2017c9302ae2,18.71470750006847,0.000699764433621385,3.7391322532394715e-05,42.5,294.6239093369518,70.0,0.00022088048999948013,0.0015312176138628786,0.00036379650611165237,0.0021158946099740106,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-26T21:48:28,meta-llama__CodeLlama-13b-Instruct-hf,578d6355-f256-4b3f-a07e-2017c9302ae2,4.701526300050318,0.0001736606148668783,3.6937064805041774e-05,42.5,289.41303871731725,70.0,5.552705159781097e-05,0.00037812502472789333,9.144971694493307e-05,0.0005251017932706367,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-26T21:48:57,meta-llama__CodeLlama-13b-Instruct-hf,578d6355-f256-4b3f-a07e-2017c9302ae2,29.05618680000771,0.0010907053156304493,3.753789992585481e-05,42.5,296.1178554163852,70.0,0.00034302180784660666,0.0023899991342162252,0.0005649710499982272,0.0032979919920610584,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-26T21:49:02,meta-llama__CodeLlama-13b-Instruct-hf,578d6355-f256-4b3f-a07e-2017c9302ae2,4.78771720000077,0.0001782032539353615,3.7221580080196275e-05,42.5,292.6362520710703,70.0,5.65260931952151e-05,0.00038921531137248166,9.309607611180087e-05,0.0005388374806794965,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-26T21:49:39,meta-llama__CodeLlama-13b-Instruct-hf,578d6355-f256-4b3f-a07e-2017c9302ae2,36.308315200032666,0.0013634138801444894,3.755037342445322e-05,42.5,296.24538006891163,70.0,0.0004286535632630048,0.002987922945894894,0.000706010952499734,0.004122587461657633,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-26T21:49:43,meta-llama__CodeLlama-13b-Instruct-hf,578d6355-f256-4b3f-a07e-2017c9302ae2,4.855565499980003,0.0001821189602885043,3.7505406731428405e-05,42.5,296.2196357959987,70.0,5.7261709166939656e-05,0.00039910837483603245,9.430741250010533e-05,0.0005506774965030777,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-26T21:50:08,meta-llama__CodeLlama-13b-Instruct-hf,578d6355-f256-4b3f-a07e-2017c9302ae2,24.893675500061363,0.000934496006091805,3.753951954519368e-05,42.5,296.11226813450025,70.0,0.00029389875187512695,0.0020476966381579587,0.00048406274194583414,0.002825658131978919,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-26T21:50:13,meta-llama__CodeLlama-13b-Instruct-hf,578d6355-f256-4b3f-a07e-2017c9302ae2,4.764043299946934,0.00017869254937710483,3.750820237585526e-05,42.5,296.0853849349785,70.0,5.6202985764442284e-05,0.00039155170212978874,9.256228722386147e-05,0.0005403169751180929,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
