task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-26T20:03:34,meta-llama__CodeLlama-13b-Instruct-hf,c69f28b9-497d-4e2a-866e-1296192f72eb,35.009253799915314,0.0012366857359124525,3.5324925722516556e-05,42.5,272.0022709350531,70.0,0.0004133256820834908,0.002645310727359629,0.0006807601033334827,0.0037393965127766023,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-26T20:03:39,meta-llama__CodeLlama-13b-Instruct-hf,c69f28b9-497d-4e2a-866e-1296192f72eb,5.527508499915712,0.00019344218878936288,3.4994883212395374e-05,42.5,268.2681676423923,70.0,6.528668312514332e-05,0.0004121036630131414,0.00010752546972103629,0.0005849158158593212,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-26T20:04:20,meta-llama__CodeLlama-13b-Instruct-hf,c69f28b9-497d-4e2a-866e-1296192f72eb,40.64426469989121,0.0014844303414267655,3.652261316490311e-05,42.5,285.08789788855483,70.0,0.0004797976854853106,0.0032184611858845358,0.0007902489855558897,0.004488507856925735,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-26T20:04:25,meta-llama__CodeLlama-13b-Instruct-hf,c69f28b9-497d-4e2a-866e-1296192f72eb,5.2524688999401405,0.00019265655283329198,3.6669549850954424e-05,42.5,286.38093166731056,70.0,6.206902347201111e-05,0.0004182456123693612,0.00010222563361263984,0.0005825402694540124,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-26T20:05:00,meta-llama__CodeLlama-13b-Instruct-hf,c69f28b9-497d-4e2a-866e-1296192f72eb,34.957051199977286,0.001290654618094203,3.692273071471561e-05,42.5,289.37696717302697,70.0,0.0004127131909731057,0.002810113081419985,0.0006797572522236604,0.0039025835246167505,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-26T20:05:05,meta-llama__CodeLlama-13b-Instruct-hf,c69f28b9-497d-4e2a-866e-1296192f72eb,5.283342499984428,0.00019384090179651314,3.6683535033481645e-05,42.5,287.1661596256696,70.0,6.23278201384689e-05,0.00042114117025349174,0.00010265242361185518,0.0005861214140038158,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-26T20:05:35,meta-llama__CodeLlama-13b-Instruct-hf,c69f28b9-497d-4e2a-866e-1296192f72eb,29.95076300005894,0.001107651600419605,3.6982488529706366e-05,42.5,290.0501976998485,70.0,0.000353601967985176,0.0024132330416932746,0.0005823978727761037,0.0033492328824545527,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-26T20:05:41,meta-llama__CodeLlama-13b-Instruct-hf,c69f28b9-497d-4e2a-866e-1296192f72eb,5.193801999907009,0.00018578935504419934,3.576989189438405e-05,42.5,276.9739668678662,70.0,6.13022797913193e-05,0.0003995103196032801,0.00010096315833313082,0.0005617757577277283,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-26T20:06:11,meta-llama__CodeLlama-13b-Instruct-hf,c69f28b9-497d-4e2a-866e-1296192f72eb,30.562177999992855,0.0011341344486473486,3.710915744279528e-05,42.5,291.3960000232148,70.0,0.00036084990618069765,0.002474124757078755,0.0005943350466666741,0.0034293097099261267,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-26T20:06:16,meta-llama__CodeLlama-13b-Instruct-hf,c69f28b9-497d-4e2a-866e-1296192f72eb,5.178839599946514,0.0001918963551531044,3.7054749742149726e-05,42.5,291.2289587348685,70.0,6.108167763822087e-05,0.0004185603348503264,0.00010059962888901491,0.0005802416413775609,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-26T20:06:45,meta-llama__CodeLlama-13b-Instruct-hf,c69f28b9-497d-4e2a-866e-1296192f72eb,28.285342799965292,0.0010511969243490703,3.716414750018347e-05,42.5,292.0491049740267,70.0,0.0003339213843738739,0.002294624057920913,0.0005499840733320326,0.0031785295156268184,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
