task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-26T18:17:17,meta-llama__CodeLlama-13b-Instruct-hf,fd453c1a-1651-4aec-8212-d80cbaf156ff,39.18571649992373,0.001393905744173182,3.55671340941838e-05,42.5,274.65664238138925,70.0,0.0004626772688190815,0.00299005905871752,0.0007620501194459697,0.0042147864469825715,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-26T18:17:22,meta-llama__CodeLlama-13b-Instruct-hf,fd453c1a-1651-4aec-8212-d80cbaf156ff,5.259109999984503,0.00018790779584993106,3.573056715231017e-05,42.5,276.581073698284,70.0,6.206386326424162e-05,0.00040390032312132007,0.00010221715194477126,0.0005681813383303326,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-26T18:18:07,meta-llama__CodeLlama-13b-Instruct-hf,fd453c1a-1651-4aec-8212-d80cbaf156ff,44.20627159997821,0.001621477917762044,3.668126906678746e-05,42.5,286.80424372930236,70.0,0.0005218413417359342,0.003521565039473984,0.0008594955405543767,0.0049029019217642945,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-26T18:18:12,meta-llama__CodeLlama-13b-Instruct-hf,fd453c1a-1651-4aec-8212-d80cbaf156ff,5.232416599988937,0.00019215159460909828,3.669830288308043e-05,42.5,286.94805132643864,70.0,6.181837618076118e-05,0.00041738172279082164,0.00010181331611044389,0.0005810134150820278,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-26T18:18:43,meta-llama__CodeLlama-13b-Instruct-hf,fd453c1a-1651-4aec-8212-d80cbaf156ff,30.766663000104018,0.001139038660877962,3.702192486119552e-05,42.5,290.5012620052545,70.0,0.0003632148328470068,0.002482692819487653,0.000598231042498891,0.003444138694833551,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-26T18:18:48,meta-llama__CodeLlama-13b-Instruct-hf,fd453c1a-1651-4aec-8212-d80cbaf156ff,5.152057100087404,0.00018920466834987815,3.672483864711966e-05,42.5,287.3638746554975,70.0,6.080698715223761e-05,0.0004111481066964018,0.00010014762916576341,0.0005721027230144032,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-26T18:19:44,meta-llama__CodeLlama-13b-Instruct-hf,fd453c1a-1651-4aec-8212-d80cbaf156ff,55.582402499974705,0.002063501466553052,3.712513618094184e-05,42.5,291.65947219559786,70.0,0.0006561200610421818,0.004502676102138281,0.0010806630333345516,0.006239459196515014,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-26T18:19:49,meta-llama__CodeLlama-13b-Instruct-hf,fd453c1a-1651-4aec-8212-d80cbaf156ff,5.238904099911451,0.00019490136045395828,3.720174306297426e-05,42.5,292.572607189558,70.0,6.183237874962883e-05,0.0004256592294176187,0.00010183634027812827,0.0005893279484453784,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-26T18:20:21,meta-llama__CodeLlama-13b-Instruct-hf,fd453c1a-1651-4aec-8212-d80cbaf156ff,31.75107019999996,0.001181814528728474,3.722133486094746e-05,42.5,292.6718084034653,70.0,0.00037483629847208984,0.0025812728983503064,0.0006173719222230529,0.0035734811190454505,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-26T18:20:26,meta-llama__CodeLlama-13b-Instruct-hf,fd453c1a-1651-4aec-8212-d80cbaf156ff,5.179434800054878,0.00019116084353172982,3.690835531915321e-05,42.5,289.5853087234012,70.0,6.10963271523361e-05,0.0004162978330377598,0.00010062349694295921,0.0005780176571330564,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-26T18:20:49,meta-llama__CodeLlama-13b-Instruct-hf,fd453c1a-1651-4aec-8212-d80cbaf156ff,23.41362449992448,0.0008726103756460084,3.726944070863614e-05,42.5,293.2014690320949,70.0,0.000276404763749532,0.0019068790255012402,0.0004552492680548713,0.002638533057305645,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
