task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-24T21:43:12,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,26.031134300050326,0.00089240579489323,3.428263874804041e-05,42.5,260.68488874140616,70.0,0.00030730575583309274,0.0018849440079478086,0.0005061391805560562,0.0026983889443369575,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-24T21:43:17,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,5.582577500026673,0.00018966581524625993,3.395291388371219e-05,42.5,257.1016622965327,70.0,6.594768208378812e-05,0.0003989500413776881,0.00010859938055542042,0.0005734971040168967,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-24T21:43:47,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,29.752727199927904,0.0010518793033239217,3.5353854439462446e-05,42.5,272.29900608579516,70.0,0.00035128825972133195,0.0022507181894617645,0.0005785863922223345,0.0031805928414054313,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-24T21:43:53,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,5.820546100032516,0.00020843400201816208,3.5810193643221945e-05,42.5,277.3205237004146,70.0,6.871289972202959e-05,0.00044836591425045924,0.00011316810944311632,0.0006302469234156054,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-24T21:44:24,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,30.928970800014213,0.0011233839626919166,3.632161959000939e-05,42.5,282.87605207498734,70.0,0.00036513142347167665,0.0024302827775599667,0.0006013890049986206,0.0033968032060302635,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-24T21:44:29,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,5.192056700005196,0.00018881419186127322,3.634195584663082e-05,42.5,283.07171231449547,70.0,6.133998437588971e-05,0.0004085569935092792,0.0001010250519446951,0.000570922029829864,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-24T21:44:58,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,28.414449500036426,0.0010348871293720707,3.642222076238715e-05,42.5,283.9735170926968,70.0,0.0003354366215281414,0.0022412998485918934,0.0005524767247229142,0.0031292131948429495,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-24T21:45:03,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,5.227673299959861,0.00018996575548896073,3.63355348969069e-05,42.5,283.0405031207396,70.0,6.171896868108879e-05,0.00041103588438673455,0.00010164918750136479,0.0005744040405691875,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-24T21:45:32,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,28.710782999987714,0.0010470300112309277,3.6468412627544455e-05,42.5,284.4746436051322,70.0,0.00033894400486072607,0.0022687307038715687,0.0005582552111115849,0.0031659299198438795,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-24T21:45:37,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,5.296394300065003,0.00019247244491961413,3.634110961669196e-05,42.5,283.10654621696983,70.0,6.252285027811806e-05,0.00041648672207728055,0.00010297400555573386,0.0005819835779111333,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-24T21:46:15,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,37.99678029993083,0.0013940592579200087,3.668904878763757e-05,42.5,286.8766122121418,70.0,0.0004485698648617675,0.00302786575561953,0.0007388150097233145,0.004215250630204611,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-24T21:46:20,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,5.231218500062823,0.0001905377541962126,3.642381344060292e-05,42.5,283.98617070116927,70.0,6.175709118001055e-05,0.00041266394124406247,0.00010171257444405168,0.0005761336068681247,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-24T21:46:52,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,31.555408200016245,0.0011542528532177878,3.6578688139770245e-05,42.5,285.72010963430904,70.0,0.00037248548770884475,0.0025041570033206284,0.0006134997244465114,0.003490142215475986,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-24T21:46:57,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,5.2314546999987215,0.00019168371710759878,3.664137135241274e-05,42.5,286.03741431308276,70.0,6.180887506877005e-05,0.0004159931105736092,0.00010179669694399419,0.0005795986825863735,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-24T21:47:47,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,50.03933840000536,0.0018295022093476106,3.6561306342098435e-05,42.5,285.4865399501392,70.0,0.0005907394340274753,0.003968194007883952,0.0009729765519431869,0.005531909993854615,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-24T21:47:53,meta-llama__CodeLlama-13b-Instruct-hf,29da23fd-11e1-4122-a0f4-b632194ce496,5.387468999950215,0.00019405435235559515,3.6019047766211066e-05,42.5,279.642615159388,70.0,6.359364013874781e-05,0.0004184364458605927,0.00010473674361257714,0.0005867668296119163,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
