task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-26T00:13:59,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,48.72717610001564,0.0017238606624386196,3.537754357216565e-05,42.5,272.5980000329482,70.0,0.0005752573781935402,0.0036897446184624982,0.000947477101665249,0.005212479098321288,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-26T00:14:04,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.243161999969743,0.0001881670093819808,3.588868562685136e-05,42.5,278.1813092082749,70.0,6.18948608332074e-05,0.00040513087965621253,0.00010193938805508264,0.0005689651285445026,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-26T00:14:28,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,24.22163929999806,0.0008759837790561851,3.6163435576074266e-05,42.5,281.11070787298473,70.0,0.0002859964966668081,0.001891688180020168,0.0004710486219426254,0.0026487332986296023,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-26T00:14:33,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.062558299978264,0.00018476281707225425,3.649103718286758e-05,42.5,284.27786224083695,70.0,5.984136236058678e-05,0.00040027365355399525,9.855677416716296e-05,0.000558671790081745,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-26T00:14:59,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,25.728233200032264,0.0009415414073162031,3.659586723905867e-05,42.5,285.86523934518016,70.0,0.0003037312909718215,0.002042971634374169,0.0005002585563883058,0.002846961481734295,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-26T00:15:04,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.065131799899973,0.0001864204895413342,3.6804953359430044e-05,42.5,287.9807820484075,70.0,5.9819927013692606e-05,0.0004053431020523135,9.852110527604555e-05,0.0005636841343420514,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-26T00:15:31,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,26.950984199997038,0.0009870353425608233,3.662144184040952e-05,42.5,286.13890286815166,70.0,0.00031818870368078927,0.0021422644915922717,0.0005240693966657595,0.0029845225919388207,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-26T00:15:36,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.098644800018519,0.0001871146368382249,3.669126609615945e-05,42.5,286.8299592551492,70.0,6.021576611108491e-05,0.0004063939362239921,9.917334194502062e-05,0.0005657830442800972,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-26T00:16:04,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,27.163010200019926,0.0009989320245705766,3.677556690713319e-05,42.5,287.78664681561395,70.0,0.00032069809729210743,0.0021715931261638843,0.00052820365305686,0.0030204948765128505,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-26T00:16:09,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.059119199984707,0.0001868998603715465,3.6943616244708205e-05,42.5,289.1146484862166,70.0,5.9804429861105585e-05,0.00040683282546538635,9.849636416668856e-05,0.0005651336194931814,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-26T00:16:36,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,27.63899699994363,0.0010142249924169396,3.669557494504061e-05,42.5,286.94665359362494,70.0,0.00032629254347225954,0.0022030264846399916,0.0005374175644437657,0.003066736592556015,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-26T00:16:41,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.053209100035019,0.00018640731189017296,3.688927041077111e-05,42.5,289.0753798211119,70.0,5.9652622222104885e-05,0.0004057450468160084,9.824661972201651e-05,0.000563644288760129,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-26T00:17:10,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,28.96421799995005,0.0010674118491413248,3.6852884154527504e-05,42.5,288.72017119383906,70.0,0.0003418856518052054,0.002322573246949844,0.0005631000763878947,0.003227558975142944,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-26T00:17:15,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.072057800018229,0.00018588819617240855,3.664320541150241e-05,42.5,286.5940614922468,70.0,5.985645340309334e-05,0.0004036367117983275,9.858146083166139e-05,0.0005620746260330822,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-26T00:17:50,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,34.91007049998734,0.0012879505996219107,3.689176567156353e-05,42.5,289.00537963204584,70.0,0.0004122298738900602,0.0028032180759076653,0.0006789593688904362,0.0038944073186881617,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-26T00:17:56,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.154142600018531,0.00018956608166587063,3.677907257715026e-05,42.5,288.42020631167685,70.0,6.076269034747386e-05,0.000412358663222534,0.00010007418361233748,0.0005731955371823458,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-26T00:18:41,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,45.043717200052924,0.0016807863178851107,3.73146849564603e-05,42.5,293.6871423062638,70.0,0.0005317625712498233,0.003674633495258206,0.0008758380963893916,0.005082234162897423,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-26T00:18:46,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.155143800075166,0.00018908986443005697,3.668075645967444e-05,42.5,286.79614962972175,70.0,6.085653270711212e-05,0.00041067005075845486,0.00010022900416515809,0.000571755587630722,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-26T00:19:37,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,51.033984600100666,0.0019060577079975036,3.73489084825937e-05,42.5,294.0595765350532,70.0,0.0006024807496525881,0.0041685961126560755,0.0009923158408326948,0.005763392703141357,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_2.sol,2026-04-26T00:19:42,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.1382581000216305,0.00019029646904660837,3.7035533878885145e-05,42.5,290.61048254791075,70.0,6.0665335833052884e-05,0.00041482449852736636,9.991419277632484e-05,0.0005754040271367389,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_phishable.sol,2026-04-26T00:20:04,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,21.84970829996746,0.0008035669320471048,3.6776719596680374e-05,42.5,287.94077952146444,70.0,0.0002578785533336892,0.0017471488977136573,0.00042473727916723155,0.0024297647302145772,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_phishable.sol,2026-04-26T00:20:09,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.0350117000052705,0.000183698680187111,3.6452092575189216e-05,42.5,283.76552422916757,70.0,5.9573594652869745e-05,0.0003977644848731643,9.811605416826935e-05,0.0005554541336943025,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_proxy.sol,2026-04-26T00:20:47,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,37.697899500024505,0.0013855713192553448,3.6754592963727186e-05,42.5,287.57978201380155,70.0,0.0004450548976388949,0.0030115029647532765,0.0007330275827766557,0.004189585445168828,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_proxy.sol,2026-04-26T00:20:52,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.132128499913961,0.00018903820918103956,3.6818872488585224e-05,42.5,288.64833664132937,70.0,6.055904569430941e-05,0.00041130171793568593,9.973863277733079e-05,0.0005715993964073296,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_rubixi.sol,2026-04-26T00:21:40,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,48.04499220009893,0.0017792069616121113,3.7032189072344993e-05,42.5,290.67020021858957,70.0,0.0005671127301394236,0.003878655602918002,0.0009340627061122271,0.005379831039169655,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_rubixi.sol,2026-04-26T00:21:45,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.194305400014855,0.00019149428082195288,3.685749374500546e-05,42.5,288.7078098911346,70.0,6.133670951458028e-05,0.0004166692222220547,0.00010101994777990744,0.0005790258795165468,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_simple_suicide.sol,2026-04-26T00:22:30,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,44.305179900024086,0.0016285160773716091,3.6755375739403515e-05,42.5,287.5969503868301,70.0,0.0005230680770826847,0.003539596998347605,0.0008615182994438017,0.004924183374874089,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_simple_suicide.sol,2026-04-26T00:22:35,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.216850999975577,0.0001921942935673819,3.683896387868887e-05,42.5,288.87660325610386,70.0,6.153507117988809e-05,0.0004182611679404147,0.00010134628583263229,0.0005811425249529281,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_unprotected0.sol,2026-04-26T00:23:04,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,29.234676599968225,0.0010746015845191602,3.675782418667799e-05,42.5,287.6271545850596,70.0,0.00034512864381855846,0.0023357282574671956,0.0005684418502764962,0.0032492987515622407,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_unprotected0.sol,2026-04-26T00:23:09,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,5.057724899961613,0.00018582854398329143,3.670684605850866e-05,42.5,287.0437739002953,70.0,5.976997770849261e-05,0.00040368615628239013,9.843812027797438e-05,0.0005618942542688632,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_wallet_02_refund_nosub.sol,2026-04-26T00:23:34,meta-llama__CodeLlama-13b-Instruct-hf,18a601a5-4ea2-45f9-9cfa-d679d30cce41,24.752210599952377,0.0009091965186046672,3.6731999898808606e-05,42.5,287.3435692197189,70.0,0.0002922127520832065,0.0019756596360842593,0.0004812870727771146,0.002749159460944575,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
