task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-25T02:59:08,meta-llama__CodeLlama-13b-Instruct-hf,696883e1-8ace-4dd0-9bde-2e649f339744,62.66489279991947,0.0022165396739583436,3.537128492549051e-05,42.5,272.5270501782043,70.0,0.0007398021620142066,0.004743911572901993,0.0012184907836111961,0.006702204518527396,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-25T02:59:13,meta-llama__CodeLlama-13b-Instruct-hf,696883e1-8ace-4dd0-9bde-2e649f339744,5.391959199914709,0.0001961379929780985,3.6376605425923965e-05,42.5,283.13766854747485,70.0,6.370860618036306e-05,0.0004244322839905834,0.0001049262938894876,0.0005930671840604336,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-25T02:59:44,meta-llama__CodeLlama-13b-Instruct-hf,696883e1-8ace-4dd0-9bde-2e649f339744,31.259905599988997,0.0011367761948005615,3.636553815173529e-05,42.5,283.31660751363364,70.0,0.00036907320993171517,0.002460344746053167,0.0006078796655554068,0.0034372976215402895,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-25T02:59:50,meta-llama__CodeLlama-13b-Instruct-hf,696883e1-8ace-4dd0-9bde-2e649f339744,5.1405222999164835,0.000188218729381932,3.6618891495448603e-05,42.5,286.1213048213757,70.0,6.067899486176132e-05,0.00040850893791599674,9.993358277909752e-05,0.0005691215155568547,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-25T03:00:15,meta-llama__CodeLlama-13b-Instruct-hf,696883e1-8ace-4dd0-9bde-2e649f339744,25.67932410002686,0.0009393044653174302,3.657241959027372e-05,42.5,285.623863653625,70.0,0.0003031934699999207,0.002037632185659888,0.0004993719305539141,0.0028401975862137226,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-25T03:00:20,meta-llama__CodeLlama-13b-Instruct-hf,696883e1-8ace-4dd0-9bde-2e649f339744,5.105369199998677,0.00018754534913574712,3.67353405343102e-05,42.5,287.4025473172745,70.0,6.026794312508879e-05,0.00040755810382719915,9.92593524990499e-05,0.0005670853994513385,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-25T03:01:00,meta-llama__CodeLlama-13b-Instruct-hf,696883e1-8ace-4dd0-9bde-2e649f339744,39.83651639998425,0.0014623898327782176,3.6709896454304185e-05,42.5,287.13244359140003,70.0,0.000470255440277995,0.003177075041653765,0.0007745329569443129,0.0044218634388760725,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-25T03:01:06,meta-llama__CodeLlama-13b-Instruct-hf,696883e1-8ace-4dd0-9bde-2e649f339744,5.2997360000154,0.00019405271056081863,3.6597731979708e-05,42.5,285.9334858590604,70.0,6.258896257018516e-05,0.00042109033687331987,0.00010308256583391791,0.0005867618652774242,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-25T03:02:02,meta-llama__CodeLlama-13b-Instruct-hf,696883e1-8ace-4dd0-9bde-2e649f339744,56.20150480000302,0.0020549494200454614,3.656410553983255e-05,42.5,285.5191629802373,70.0,0.0006634810020142243,0.004457332732533459,0.0010927864324993507,0.006213600167047032,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-25T03:02:07,meta-llama__CodeLlama-13b-Instruct-hf,696883e1-8ace-4dd0-9bde-2e649f339744,5.3032471999758855,0.00019550348833429106,3.6865549709999885e-05,42.5,288.5014983108675,70.0,6.265310569433498e-05,0.0004253075624696123,0.0001031879488883232,0.0005911486170522701,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-25T03:03:00,meta-llama__CodeLlama-13b-Instruct-hf,696883e1-8ace-4dd0-9bde-2e649f339744,52.507895799935795,0.0019222020094429287,3.661103477837352e-05,42.5,286.0325433354032,70.0,0.0006198214013190917,0.0041715155594310716,0.0010208716563886912,0.005812208617138853,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
