task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-25T08:34:42,meta-llama__CodeLlama-13b-Instruct-hf,9e3a558a-e2cd-470a-9a11-97db3f1c0684,30.503675799933262,0.0010693731071709709,3.5056267204800716e-05,42.5,269.1229770639572,70.0,0.00036010258972172675,0.0022802821020029285,0.0005931045866665146,0.00323348927839117,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-25T08:34:47,meta-llama__CodeLlama-13b-Instruct-hf,9e3a558a-e2cd-470a-9a11-97db3f1c0684,5.0605311000254005,0.00018185993778129655,3.593721907939341e-05,42.5,278.70445332586957,70.0,5.9740237153245196e-05,0.00039176336896318276,9.839067777890403e-05,0.0005498942838953321,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-25T08:35:16,meta-llama__CodeLlama-13b-Instruct-hf,9e3a558a-e2cd-470a-9a11-97db3f1c0684,27.995963099994697,0.0010073774588749255,3.598045811216341e-05,42.5,279.1282642379886,70.0,0.0003305595257638844,0.0021710259034897206,0.0005444461108347038,0.003046031540088309,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-25T08:35:21,meta-llama__CodeLlama-13b-Instruct-hf,9e3a558a-e2cd-470a-9a11-97db3f1c0684,5.036060200072825,0.00018222682563318483,3.617294953757947e-05,42.5,281.3074328246209,70.0,5.946516888935647e-05,0.00039360114821462844,9.793733444562851e-05,0.0005510036515496133,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-25T08:35:50,meta-llama__CodeLlama-13b-Instruct-hf,9e3a558a-e2cd-470a-9a11-97db3f1c0684,29.264457699959166,0.001063823644834659,3.6352094875594286e-05,42.5,283.20985813373187,70.0,0.0003454810042355449,0.0023022057306505417,0.0005690225002769795,0.003216709235163066,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-25T08:35:56,meta-llama__CodeLlama-13b-Instruct-hf,9e3a558a-e2cd-470a-9a11-97db3f1c0684,5.6217049999395385,0.00020651253495868093,3.673386872018248e-05,42.5,287.03097905624196,70.0,6.642479180518418e-05,0.0004486125811133945,0.0001093995641658289,0.0006244369370844074,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-25T08:36:22,meta-llama__CodeLlama-13b-Instruct-hf,9e3a558a-e2cd-470a-9a11-97db3f1c0684,26.759461299981922,0.0009764429642615973,3.6488140112812154e-05,42.5,284.7086414684609,70.0,0.0003159074547917245,0.0021162741930211837,0.0005203125141667745,0.002952494161979683,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-25T08:36:27,meta-llama__CodeLlama-13b-Instruct-hf,9e3a558a-e2cd-470a-9a11-97db3f1c0684,5.0978846999350935,0.00018650261038799,3.6572557750566186e-05,42.5,285.86395679989107,70.0,6.016418527805302e-05,0.0004046783792936992,9.908988055669582e-05,0.0005639324451284476,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-25T08:36:58,meta-llama__CodeLlama-13b-Instruct-hf,9e3a558a-e2cd-470a-9a11-97db3f1c0684,30.527418500045314,0.001118853845120833,3.664802723505254e-05,42.5,286.45906571970824,70.0,0.0003603930524304611,0.0024291280544126437,0.0005935842733322512,0.0033831053801753556,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-25T08:37:03,meta-llama__CodeLlama-13b-Instruct-hf,9e3a558a-e2cd-470a-9a11-97db3f1c0684,5.101374999969266,0.00018694073577736527,3.664491427129717e-05,42.5,286.4068421196886,70.0,6.022352354161228e-05,0.00040584671356924673,9.918697833361662e-05,0.0005652572154444743,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
