task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-26T05:26:04,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,36.46416169998702,0.0012505646032924516,3.429046480259425e-05,42.5,260.67877926689675,70.0,0.0004306462926388324,0.0026414226686881648,0.0007092934177768055,0.003781362379103803,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-26T05:26:09,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,5.233915799995884,0.0001854930420779569,3.544093048243095e-05,42.5,273.3409361133252,70.0,6.178079201377438e-05,0.00039734809565672435,0.00010175090138832775,0.0005608797890588263,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-26T05:26:45,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,35.66394590004347,0.0012811073101252856,3.592171119633926e-05,42.5,278.52200306542096,70.0,0.0004210327099992558,0.002759222485156698,0.0006934599038869946,0.0038737150990429473,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-26T05:26:50,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,5.222141500096768,0.00019162786905551525,3.66957799183381e-05,42.5,286.95390134777665,70.0,6.164906798625854e-05,0.000416246999662917,0.0001015337458339571,0.0005794298134831344,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-26T05:27:17,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,26.762416300014593,0.0009654954152481816,3.6076663638494315e-05,42.5,280.2121298179146,70.0,0.0003159420639580478,0.002083079444243907,0.0005203702855564188,0.0029193917937583736,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-26T05:27:22,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,5.2350405000615865,0.00018822195979138626,3.59543223615531e-05,42.5,279.19516353944994,70.0,6.175273138950515e-05,0.00040567338009012133,0.0001017051719442762,0.0005691312834239012,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-26T05:27:53,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,30.91310930007603,0.0011236813039156145,3.63516719161217e-05,42.5,283.2092366298136,70.0,0.0003649207556936341,0.002431743612060444,0.0006010379161119797,0.003397702283866058,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-26T05:27:58,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,5.250710399937816,0.00018980404451867695,3.614613003743128e-05,42.5,281.2160464835708,70.0,6.195213548643446e-05,0.0004099292168291413,0.00010203371888912668,0.0005739150712047031,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-26T05:28:28,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,30.13024059997406,0.001094662676452092,3.633117353406629e-05,42.5,282.9809815608438,70.0,0.00035570190006926883,0.0023683988391596245,0.0005858572202776689,0.0033099579595065633,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-26T05:28:34,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,5.178057699929923,0.00019055302700104072,3.680083071380114e-05,42.5,288.10744966623946,70.0,6.112668749984644e-05,0.00041437894261520114,0.00010067415750171591,0.0005761797876167631,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-26T05:29:05,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,31.22961929999292,0.0011409430528349562,3.653414081372605e-05,42.5,285.25305435781314,70.0,0.0003686226272908645,0.002474136701529517,0.0006071377219447945,0.0034498970507651737,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-26T05:29:10,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,5.199760799994692,0.00019012334777602276,3.65646785076022e-05,42.5,285.53940822412915,70.0,6.138237930491518e-05,0.00041240338547865463,0.0001010947913882166,0.000574880556171789,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-26T05:30:00,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,49.5901417999994,0.0018134198811733913,3.656822503502525e-05,42.5,285.5612342251147,70.0,0.0005854364469442871,0.003933601202433579,0.0009642438205554049,0.005483281469933272,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-26T05:30:05,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,5.196684299968183,0.00019182047508029855,3.6902511274989305e-05,42.5,289.29699102342937,70.0,6.135111465183519e-05,0.00041761755631952724,0.00010104352999834327,0.000580012200969704,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-26T05:30:47,meta-llama__CodeLlama-13b-Instruct-hf,09780208-8995-459f-bc13-8040f57b7988,42.0184824001044,0.001534652655329878,3.6523355272193896e-05,42.5,285.0729402674834,70.0,0.0004960490857643888,0.003327300161835467,0.0008170170322212575,0.004640366279821111,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
