task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-26T09:11:45,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,62.66930339997634,0.002266147962405783,3.6160047304217136e-05,42.5,281.0748874502653,70.0,0.0007399326393751836,0.004893567803733845,0.0012187058547210958,0.006852206297830125,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-26T09:11:50,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,5.03817249997519,0.00018623699539117205,3.6965290332801016e-05,42.5,289.8815673124261,70.0,5.947889520749512e-05,0.00040569199122231225,9.795841222092145e-05,0.000563129298650729,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-26T09:12:19,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,29.73957239999436,0.0010964230938776847,3.686664817920344e-05,42.5,288.8192397687418,70.0,0.0003510911624310312,0.0023859285754070925,0.0005782612383339761,0.003315280976172101,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-26T09:12:24,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,4.807002699933946,0.00017843078925316308,3.709658870155379e-05,42.5,291.3188284778441,70.0,5.6783036389080905e-05,0.00038922420026921145,9.351824805425065e-05,0.0005395254847125434,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-26T09:12:50,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,25.331285499967635,0.0009431588050743305,3.723212875589883e-05,42.5,292.78275636673203,70.0,0.0002990601065281631,0.002060228870405467,0.0004925630694452491,0.00285185204637888,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-26T09:12:54,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,4.786346299923025,0.00017895666476890146,3.7385290712912235e-05,42.5,294.75817890921456,70.0,5.646942416610216e-05,0.00039164447998274454,9.300168305506097e-05,0.000541115587203907,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-26T09:13:17,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,22.94298729998991,0.0008540079838239871,3.7221932430034756e-05,42.5,292.6590650503636,70.0,0.000270874576388855,0.0018652701033232688,0.00044613987638699153,0.0025822845560991153,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-26T09:13:22,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,4.768220699974336,0.0001779181241966729,3.73120354822464e-05,42.5,293.8833864060482,70.0,5.6262655763890087e-05,0.0003890522556844189,9.26604155573941e-05,0.0005379753270057033,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-26T09:13:57,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,35.18012379994616,0.0013147546785954433,3.737183803598437e-05,42.5,294.3023853210086,70.0,0.00041532945319429707,0.002876059800847486,0.0006840662052783756,0.0039754554593201576,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-26T09:14:02,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,4.875592800090089,0.0001817826945085168,3.7284836630727374e-05,42.5,293.41685546424344,70.0,5.7550833125100554e-05,0.0003973280956444114,9.478179277729298e-05,0.0005496607215468054,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-26T09:14:27,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,24.28119909996167,0.0009055990789871102,3.7295192373268046e-05,42.5,293.51394018653565,70.0,0.0002866334642363656,0.0019795529725286087,0.000472095359167239,0.0027382817959322146,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-26T09:14:31,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,4.800790600012988,0.00017974522698442977,3.743456576214477e-05,42.5,294.6191649342287,70.0,5.673762631882304e-05,0.0003933189257701031,9.344342972164837e-05,0.0005434999818105767,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-26T09:15:15,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,43.594750899937935,0.0016273173949426806,3.732788052249201e-05,42.5,293.7706502624586,70.0,0.0005147404665276152,0.003558017290849591,0.0008478011325008181,0.004920558889878024,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-26T09:15:20,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,4.939298400073312,0.00018319430865922082,3.7085705168698575e-05,42.5,290.9453293931989,70.0,5.835288486220327e-05,0.00039947198624545877,9.610418222243122e-05,0.000553929053330092,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-26T09:15:56,meta-llama__CodeLlama-13b-Instruct-hf,93891a0e-649c-42e3-849b-16830713d6aa,36.46393299999181,0.0013599200160772842,3.72893443840422e-05,42.5,293.3550771070751,70.0,0.0004305999794449438,0.002972206544423983,0.0007092164566682184,0.0041120229805371444,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
