task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-26T12:57:22,meta-llama__CodeLlama-13b-Instruct-hf,9763ed51-1c37-4ad6-b791-a8e1c8fe5cdf,51.06591320002917,0.0018114390770349578,3.5470505836358346e-05,42.5,273.59516251732083,70.0,0.0006029213743057174,0.0038813294939501475,0.0009930411963882055,0.00547729206464407,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-26T12:57:27,meta-llama__CodeLlama-13b-Instruct-hf,9763ed51-1c37-4ad6-b791-a8e1c8fe5cdf,5.177659400040284,0.00018834430118704428,3.6375209381068205e-05,42.5,283.49844053084206,70.0,6.112133722118514e-05,0.0004077147706134099,0.00010066510222063191,0.0005695012100552267,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-26T12:57:54,meta-llama__CodeLlama-13b-Instruct-hf,9763ed51-1c37-4ad6-b791-a8e1c8fe5cdf,27.417574700084515,0.0009974671257575044,3.6380512515293396e-05,42.5,283.5733902896069,70.0,0.0003236343160406655,0.002159392005292915,0.0005330391052761117,0.003016065426609693,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-26T12:57:59,meta-llama__CodeLlama-13b-Instruct-hf,9763ed51-1c37-4ad6-b791-a8e1c8fe5cdf,5.020626700017601,0.0001826615003378499,3.6382932846862586e-05,42.5,283.55724615090077,70.0,5.92684115975216e-05,0.0003954364274605382,9.761314888892232e-05,0.0005523179879469813,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-26T12:58:35,meta-llama__CodeLlama-13b-Instruct-hf,9763ed51-1c37-4ad6-b791-a8e1c8fe5cdf,35.44343109999318,0.001299661428410875,3.666881948240642e-05,42.5,286.69496423593455,70.0,0.00041838543930474174,0.002822331424532365,0.0006891007705549582,0.003929817634392065,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-26T12:58:40,meta-llama__CodeLlama-13b-Instruct-hf,9763ed51-1c37-4ad6-b791-a8e1c8fe5cdf,5.105390999931842,0.0001859509822392377,3.6422529002430366e-05,42.5,283.9836435170675,70.0,6.0270844930750654e-05,0.00040272921107131765,9.926441777691544e-05,0.0005622644737789829,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-26T12:59:11,meta-llama__CodeLlama-13b-Instruct-hf,9763ed51-1c37-4ad6-b791-a8e1c8fe5cdf,30.91294900001958,0.0011338943614205817,3.668032598309594e-05,42.5,286.7678805739451,70.0,0.0003649554309715717,0.002462531136689705,0.0006010971847216651,0.0034285837523829413,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-26T12:59:16,meta-llama__CodeLlama-13b-Instruct-hf,9763ed51-1c37-4ad6-b791-a8e1c8fe5cdf,5.10412430006545,0.00018802873610700155,3.6837390715257836e-05,42.5,288.59975909122255,70.0,6.024288465309325e-05,0.0004090856050424918,9.921853860950149e-05,0.0005685470283050865,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-26T12:59:40,meta-llama__CodeLlama-13b-Instruct-hf,9763ed51-1c37-4ad6-b791-a8e1c8fe5cdf,24.41905989998486,0.0009005092752801527,3.68769024157548e-05,42.5,288.91919560755224,70.0,0.00028828478520865437,0.0019597901789438765,0.0004748166694451355,0.0027228916335976655,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-26T12:59:45,meta-llama__CodeLlama-13b-Instruct-hf,9763ed51-1c37-4ad6-b791-a8e1c8fe5cdf,5.031010600039735,0.00018314283321794588,3.640346581252398e-05,42.5,283.5805808195409,70.0,5.942100666620192e-05,0.0003964869838526397,9.786541527686881e-05,0.00055377340579571,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
