task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-26T07:16:36,meta-llama__CodeLlama-13b-Instruct-hf,f282ae5a-d6a1-41a0-b9ec-ceb67f31df08,38.24515870003961,0.0013345886025216962,3.489544292427056e-05,42.5,267.35157685506783,70.0,0.0004515074766654935,0.0028402669944362913,0.0007436533027771577,0.004035427773878943,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-26T07:16:41,meta-llama__CodeLlama-13b-Instruct-hf,f282ae5a-d6a1-41a0-b9ec-ceb67f31df08,5.17067549994681,0.00018341078615537556,3.5472943472960966e-05,42.5,273.6521356460707,70.0,6.103791798620171e-05,0.0003930172588511027,0.00010052844472358837,0.000554583621560893,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-26T07:17:18,meta-llama__CodeLlama-13b-Instruct-hf,f282ae5a-d6a1-41a0-b9ec-ceb67f31df08,36.495145500055514,0.001309018017559744,3.5868438798552225e-05,42.5,277.9837316904965,70.0,0.00043079853354089823,0.0028177661431030288,0.0007095447022218853,0.0039581093788658124,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-26T07:17:23,meta-llama__CodeLlama-13b-Instruct-hf,f282ae5a-d6a1-41a0-b9ec-ceb67f31df08,5.303448499995284,0.0001911705024724682,3.6032212353602465e-05,42.5,279.8456836836788,70.0,6.261608465388735e-05,0.0004123033853957736,0.00010312739305566847,0.000578046863105329,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-26T07:17:55,meta-llama__CodeLlama-13b-Instruct-hf,f282ae5a-d6a1-41a0-b9ec-ceb67f31df08,32.3889191999333,0.0011668739874169617,3.6027030323348e-05,42.5,279.670446843457,70.0,0.00038236726069549665,0.0025161625684830824,0.0006297752144445742,0.0035283050436231526,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-26T07:18:01,meta-llama__CodeLlama-13b-Instruct-hf,f282ae5a-d6a1-41a0-b9ec-ceb67f31df08,5.136452800012194,0.00018694665428844234,3.6396630237612154e-05,42.5,283.92977256265965,70.0,6.060175583269393e-05,0.0004048636572235864,9.980969833300662e-05,0.0005652751113892872,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-26T07:18:52,meta-llama__CodeLlama-13b-Instruct-hf,f282ae5a-d6a1-41a0-b9ec-ceb67f31df08,51.347603599890135,0.00187747808231975,3.656418031484062e-05,42.5,285.5160557928671,70.0,0.0006061856375688675,0.004072372424566595,0.0009984177369433585,0.005676975799078823,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-26T07:18:57,meta-llama__CodeLlama-13b-Instruct-hf,f282ae5a-d6a1-41a0-b9ec-ceb67f31df08,5.3476017999928445,0.00019644230242960806,3.6733939706713e-05,42.5,287.5101871114308,70.0,6.311002673537597e-05,0.0004269372859937448,0.00010394001916574783,0.0005939873318948699,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-26T07:19:29,meta-llama__CodeLlama-13b-Instruct-hf,f282ae5a-d6a1-41a0-b9ec-ceb67f31df08,31.38775190000888,0.0011449630015127193,3.64781501662316e-05,42.5,284.58194349320144,70.0,0.0003705466436101741,0.002481199207178264,0.0006103064158336363,0.0034620522666220753,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-26T07:19:34,meta-llama__CodeLlama-13b-Instruct-hf,f282ae5a-d6a1-41a0-b9ec-ceb67f31df08,5.144427599967457,0.0001902422251913085,3.6980816987966626e-05,42.5,290.3063887760089,70.0,6.069383090232623e-05,0.00041458505389257994,9.996112388713924e-05,0.0005752400086820458,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
