task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-11T22:38:40,meta-llama__Llama-2-13b-chat-hf,1e9004d4-7a79-4438-a8d0-a267b358f8f5,46.03450290020555,0.0016890601311635239,3.6691050839850564e-05,42.5,286.859633906556,70.0,0.0005435158459016951,0.0036685398792730695,0.0008951961666591363,0.0051072518918339,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-11T22:38:49,meta-llama__Llama-2-13b-chat-hf,1e9004d4-7a79-4438-a8d0-a267b358f8f5,9.50482610007748,0.00035036878063356256,3.6862506993369474e-05,42.5,288.9767132359274,70.0,0.00011214957610872157,0.0007625575544913943,0.0001847114091635579,0.0010594185397636733,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-11T22:39:42,meta-llama__Llama-2-13b-chat-hf,1e9004d4-7a79-4438-a8d0-a267b358f8f5,52.56724120024592,0.0019704066826689948,3.7483586579695996e-05,42.5,295.52544200332164,70.0,0.000620583429856601,0.004315254007753566,0.0010221288136038414,0.005957966251214009,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-11T22:39:52,meta-llama__Llama-2-13b-chat-hf,1e9004d4-7a79-4438-a8d0-a267b358f8f5,9.828619599808007,0.0003694713988275202,3.7591965007752614e-05,42.5,296.89073855815593,70.0,0.00011597798909772079,0.0008101848148154289,0.00019101678361314227,0.001117179587526291,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-11T22:40:51,meta-llama__Llama-2-13b-chat-hf,1e9004d4-7a79-4438-a8d0-a267b358f8f5,59.341874399688095,0.0022372184047999523,3.77005385825355e-05,42.5,297.92215671488833,70.0,0.0007005011830588856,0.004910468928370548,0.0011537611847200124,0.006764731296149445,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-11T22:41:01,meta-llama__Llama-2-13b-chat-hf,1e9004d4-7a79-4438-a8d0-a267b358f8f5,9.894180100411177,0.00037138108301026755,3.751938403387837e-05,42.5,295.89933567529715,70.0,0.00011686040479075418,0.0008136231508988345,0.00019247038999908699,0.0011229539456886761,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-11T22:41:58,meta-llama__Llama-2-13b-chat-hf,1e9004d4-7a79-4438-a8d0-a267b358f8f5,56.71167520014569,0.002141942409959235,3.7770918512933693e-05,42.5,298.6565472994948,70.0,0.0006694711220127324,0.00470452376361763,0.0011026480849948709,0.006476642970625231,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-11T22:42:07,meta-llama__Llama-2-13b-chat-hf,1e9004d4-7a79-4438-a8d0-a267b358f8f5,9.931775500066578,0.00037033366658587204,3.728608841021187e-05,42.5,293.42973694016035,70.0,0.00011723980701580216,0.0008094520364512192,0.0001930950038949962,0.0011197868473620184,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-11T22:43:00,meta-llama__Llama-2-13b-chat-hf,1e9004d4-7a79-4438-a8d0-a267b358f8f5,52.0781576000154,0.0019174909792421032,3.6818405856974255e-05,42.5,288.2922584194846,70.0,0.0006148161963857196,0.004170514169739903,0.0010126333952726174,0.005797963761398243,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-11T22:43:10,meta-llama__Llama-2-13b-chat-hf,1e9004d4-7a79-4438-a8d0-a267b358f8f5,9.936346299946308,0.00036841515781849653,3.706483623944822e-05,42.5,290.8352326521444,70.0,0.00011738260819660774,0.0008032720315043207,0.00019333116638914002,0.0011139858060900676,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
