task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-11T20:12:17,meta-llama__Llama-2-13b-chat-hf,28458712-f091-456e-bbb2-34b564a049ba,82.33775509987026,0.0030430467159345705,3.695732078333063e-05,42.5,289.8170763159615,70.0,0.0009720112607657534,0.006628368080465741,0.0016009544716682287,0.009201333812899722,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-11T20:12:27,meta-llama__Llama-2-13b-chat-hf,28458712-f091-456e-bbb2-34b564a049ba,9.867944299941882,0.0003698244391431792,3.748803758018549e-05,42.5,295.607569657212,70.0,0.00011645622743057592,0.0008100134257880143,0.0001917774308324118,0.0011182470840510016,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-11T20:13:09,meta-llama__Llama-2-13b-chat-hf,28458712-f091-456e-bbb2-34b564a049ba,42.403172800084576,0.001586125947479697,3.740157314213475e-05,42.5,294.62869315205876,70.0,0.0005006536278493717,0.0034707533321549633,0.0008246003558348297,0.004796007315839165,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-11T20:13:19,meta-llama__Llama-2-13b-chat-hf,28458712-f091-456e-bbb2-34b564a049ba,9.607015199959278,0.00036086431612700545,3.758011060650483e-05,42.5,296.6151768813492,70.0,0.00011335262007034744,0.0007911103551112575,0.00018669116861161046,0.0010911541437932173,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-11T20:14:05,meta-llama__Llama-2-13b-chat-hf,28458712-f091-456e-bbb2-34b564a049ba,45.8738593000453,0.0017419748607126143,3.7975145621774196e-05,42.5,300.9105767977278,70.0,0.000541491533124483,0.003833902511566123,0.0008918573922212496,0.0052672514369118545,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-11T20:14:15,meta-llama__Llama-2-13b-chat-hf,28458712-f091-456e-bbb2-34b564a049ba,9.57695629983209,0.0003601026900186474,3.7595352995888415e-05,42.5,296.7264988112568,70.0,0.000113082379096401,0.0007895200760588139,0.0001862487413888123,0.001088851196544026,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-11T20:15:07,meta-llama__Llama-2-13b-chat-hf,28458712-f091-456e-bbb2-34b564a049ba,52.45056029991247,0.001996722217000044,3.80686178562748e-05,42.5,301.9241906792812,70.0,0.0006191613987500508,0.004398586018868222,0.001019789749998988,0.006037537167617259,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-11T20:15:17,meta-llama__Llama-2-13b-chat-hf,28458712-f091-456e-bbb2-34b564a049ba,9.79656790010631,0.00036815475746269054,3.757969261705641e-05,42.5,296.81587233976137,70.0,0.00011558579201308844,0.0008072414791238103,0.0001903711561113599,0.0011131984272482569,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-11T20:16:02,meta-llama__Llama-2-13b-chat-hf,28458712-f091-456e-bbb2-34b564a049ba,45.63652649987489,0.001722923338939376,3.775324171556685e-05,42.5,298.4594574512479,70.0,0.000538763715486534,0.003783511082363411,0.0008873700927800703,0.005209644890630014,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-11T20:16:12,meta-llama__Llama-2-13b-chat-hf,28458712-f091-456e-bbb2-34b564a049ba,9.88504740013741,0.0003694925348735837,3.73793258057598e-05,42.5,294.3967715534652,70.0,0.00011669545875063513,0.0008083489800130295,0.00019219905833532582,0.0011172434970989908,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
