task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-19T20:50:35,meta-llama__Llama-2-13b-chat-hf,11f512cb-da7c-46fa-9d5e-8545dd89479a,31.57698569999775,0.0011329186947256938,3.5873818903160086e-05,42.5,277.9701987089652,70.0,0.00037285708645859916,0.0024386652842647294,0.0006141112347220769,0.0034256336054454056,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-19T20:50:44,meta-llama__Llama-2-13b-chat-hf,11f512cb-da7c-46fa-9d5e-8545dd89479a,9.44757199997548,0.00034174572970340237,3.6173023263294246e-05,42.5,281.26957840697105,70.0,0.00011153048451350417,0.000738122534940544,0.00018369179305510546,0.001033344812509154,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-19T20:51:15,meta-llama__Llama-2-13b-chat-hf,11f512cb-da7c-46fa-9d5e-8545dd89479a,30.420162900001742,0.001118944896553661,3.6782051570617244e-05,42.5,287.92645062850414,70.0,0.0003591017525000805,0.002432822779590893,0.0005914561624997684,0.0033833806945907418,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-19T20:51:21,meta-llama__Llama-2-13b-chat-hf,11f512cb-da7c-46fa-9d5e-8545dd89479a,6.354282499989495,0.00023174210190386388,3.64661969657348e-05,42.5,284.64230533102455,70.0,7.498795034710688e-05,0.0005022306795634535,0.0001235055577776317,0.0007007241876881929,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-19T20:51:57,meta-llama__Llama-2-13b-chat-hf,11f512cb-da7c-46fa-9d5e-8545dd89479a,35.91055510001024,0.0013349181709161372,3.717155672969546e-05,42.5,292.12647399544346,70.0,0.0004239668309024839,0.0029141651091091347,0.0006982923577772454,0.004036424297788863,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-19T20:52:07,meta-llama__Llama-2-13b-chat-hf,11f512cb-da7c-46fa-9d5e-8545dd89479a,9.487913799996022,0.0003512244109647091,3.701817087111571e-05,42.5,290.4723052020023,70.0,0.00011200622243058111,0.0007655239457537988,0.0001844755616661536,0.0010620057298505337,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-19T20:52:50,meta-llama__Llama-2-13b-chat-hf,11f512cb-da7c-46fa-9d5e-8545dd89479a,42.89134919998469,0.0016045828625095597,3.741039510264346e-05,42.5,294.72929285656716,70.0,0.0005063543086810467,0.003511471420287293,0.0008339902063891512,0.0048518159353574935,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-19T20:52:59,meta-llama__Llama-2-13b-chat-hf,11f512cb-da7c-46fa-9d5e-8545dd89479a,9.57648050005082,0.00035578037906738164,3.7148225801723325e-05,42.5,291.8950092710473,70.0,0.00011306004770788919,0.0007765111767632504,0.0001862104961106929,0.0010757817205818317,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-19T20:54:06,meta-llama__Llama-2-13b-chat-hf,11f512cb-da7c-46fa-9d5e-8545dd89479a,66.93560339999385,0.002495173445079538,3.727727162857619e-05,42.5,293.29953039456245,70.0,0.0007901698234032664,0.005453095195804281,0.0013014511591665926,0.007544716178374138,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-19T20:54:16,meta-llama__Llama-2-13b-chat-hf,11f512cb-da7c-46fa-9d5e-8545dd89479a,9.742867399996612,0.00036196071169713843,3.716133460651978e-05,42.5,292.05562926473664,70.0,0.00011497834777765082,0.0007901250765449674,0.00018936591722255522,0.0010944693415451748,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-19T20:55:15,meta-llama__Llama-2-13b-chat-hf,11f512cb-da7c-46fa-9d5e-8545dd89479a,58.78965429996606,0.002198833575417629,3.740173240209767e-05,42.5,294.60055403504583,70.0,0.0006940998082645418,0.004811348015742567,0.0011432183369446038,0.006648666160951715,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
