task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-19T16:00:00,meta-llama__Llama-2-13b-chat-hf,1e789187-cfbc-4f80-a9cb-3fee0b726d4c,40.503889599989634,0.0014687755659278181,3.626153514110326e-05,42.5,282.251433336678,70.0,0.00047814875395848106,0.003175489484835481,0.0007875338955555992,0.004441172134349561,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-19T16:00:09,meta-llama__Llama-2-13b-chat-hf,1e789187-cfbc-4f80-a9cb-3fee0b726d4c,9.570040800026618,0.00034907221426500393,3.647718372892888e-05,42.5,284.6006319664042,70.0,0.00011296589722227908,0.0007564769940699989,0.00018605518944419196,0.0010554980807364698,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-19T16:00:56,meta-llama__Llama-2-13b-chat-hf,1e789187-cfbc-4f80-a9cb-3fee0b726d4c,46.804881200019736,0.0017347657086511867,3.706389640908349e-05,42.5,290.983737431544,70.0,0.0005525176681941554,0.0037829119152146262,0.0009100233663888907,0.005245452949797672,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-19T16:01:06,meta-llama__Llama-2-13b-chat-hf,1e789187-cfbc-4f80-a9cb-3fee0b726d4c,9.62057609995827,0.0003589363449797221,3.730780707133811e-05,42.5,293.6597661439135,70.0,0.00011356723090304708,0.0007847109055472146,0.00018704635444446484,0.0010853244908947263,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-19T16:01:47,meta-llama__Llama-2-13b-chat-hf,1e789187-cfbc-4f80-a9cb-3fee0b726d4c,41.42050879995804,0.0015510978349809832,3.744351729458324e-05,42.5,295.08530782050286,70.0,0.0004890486864584092,0.0033955568831096627,0.000805486396944131,0.004690091966512204,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-19T16:01:57,meta-llama__Llama-2-13b-chat-hf,1e789187-cfbc-4f80-a9cb-3fee0b726d4c,9.646364799991716,0.0003584237165121292,3.7155772474639504e-05,42.5,291.7999207967397,70.0,0.00011392675138902422,0.0007822089590998615,0.00018763873333373354,0.0010837744438226202,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-19T16:02:46,meta-llama__Llama-2-13b-chat-hf,1e789187-cfbc-4f80-a9cb-3fee0b726d4c,48.788588499999605,0.0018342821335576038,3.7596616201021344e-05,42.5,296.7825667859282,70.0,0.0005759359544443823,0.004021831550796051,0.0009485956608333958,0.005546363166073827,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-19T16:02:56,meta-llama__Llama-2-13b-chat-hf,1e789187-cfbc-4f80-a9cb-3fee0b726d4c,9.709880199981853,0.00036096885156006175,3.717320903047131e-05,42.5,292.43049215183703,70.0,0.00011455713618084302,0.0007882395194798164,0.00018867357444493464,0.001091470230105595,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-19T16:03:42,meta-llama__Llama-2-13b-chat-hf,1e789187-cfbc-4f80-a9cb-3fee0b726d4c,46.29907279997133,0.0017372550977603658,3.752220734740936e-05,42.5,295.94619713870316,70.0,0.0005465880138894137,0.0038061349893503404,0.0009002571725001971,0.005252980175739951,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-19T16:03:52,meta-llama__Llama-2-13b-chat-hf,1e789187-cfbc-4f80-a9cb-3fee0b726d4c,9.676896299992222,0.0003607588693979452,3.728052663182663e-05,42.5,293.38758211348426,70.0,0.00011422041340293726,0.0007884920196818967,0.00018812286888828054,0.001090835301973115,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
