task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-19T18:25:24,meta-llama__Llama-2-13b-chat-hf,489ab9f2-b3ba-4962-9631-310b75e7fa1d,52.44497080001747,0.0019323878643559337,3.684593119288522e-05,42.5,288.5839953241557,70.0,0.0006191420364580053,0.004204108918841598,0.001019756877222163,0.005843007832521767,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-19T18:25:34,meta-llama__Llama-2-13b-chat-hf,489ab9f2-b3ba-4962-9631-310b75e7fa1d,9.363838799996302,0.0003458929140512134,3.6939534963276944e-05,42.5,289.5962344875549,70.0,0.00011054625770856444,0.0007532672692800446,0.00018207122694439016,0.001045884753932999,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-19T18:26:03,meta-llama__Llama-2-13b-chat-hf,489ab9f2-b3ba-4962-9631-310b75e7fa1d,29.443975500005763,0.0010989241614814877,3.7322623757101816e-05,42.5,293.79970474389114,70.0,0.0003475784193745817,0.002402788588897309,0.0005724765063885974,0.0033228435146604885,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-19T18:26:11,meta-llama__Llama-2-13b-chat-hf,489ab9f2-b3ba-4962-9631-310b75e7fa1d,8.262307700002566,0.0003094343600383671,3.743758665725861e-05,42.5,295.22875957252995,70.0,9.752819958315138e-05,0.0006774869308756593,0.00016062901361066102,0.000935644144069471,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-19T18:27:09,meta-llama__Llama-2-13b-chat-hf,489ab9f2-b3ba-4962-9631-310b75e7fa1d,57.94868040003348,0.0021925272432395428,3.7835456499149774e-05,42.5,299.3355163106303,70.0,0.0006841518580554598,0.004818613299335084,0.0011268323947219569,0.0066295975521125025,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-19T18:27:19,meta-llama__Llama-2-13b-chat-hf,489ab9f2-b3ba-4962-9631-310b75e7fa1d,9.329114899970591,0.0003529633221604307,3.783468142327365e-05,42.5,299.1179222797108,70.0,0.00011019643548610888,0.0007755720093456375,0.0001814952727779099,0.001067263717609658,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-19T18:28:00,meta-llama__Llama-2-13b-chat-hf,489ab9f2-b3ba-4962-9631-310b75e7fa1d,41.173380199994426,0.0015586988594927312,3.785661952592612e-05,42.5,299.597100006338,70.0,0.0004860645477779246,0.0034264382967030826,0.0008005725233330551,0.004713075367814061,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-19T18:28:09,meta-llama__Llama-2-13b-chat-hf,489ab9f2-b3ba-4962-9631-310b75e7fa1d,9.537921099981759,0.0003578045686865776,3.7516297303134705e-05,42.5,295.9830808967712,70.0,0.0001125652072222795,0.0007839411827070819,0.00018539592166715805,0.0010819023115965186,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-19T18:28:56,meta-llama__Llama-2-13b-chat-hf,489ab9f2-b3ba-4962-9631-310b75e7fa1d,46.834619499975815,0.0017606948101206894,3.759403115714502e-05,42.5,296.7769937497574,70.0,0.0005528383106247121,0.0038604655883709427,0.0009105515008334701,0.005323855399829127,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-19T18:29:06,meta-llama__Llama-2-13b-chat-hf,489ab9f2-b3ba-4962-9631-310b75e7fa1d,9.647884499980137,0.0003567368989525477,3.698459365366756e-05,42.5,290.09354295235556,70.0,0.00011387132076387269,0.0007772586773615586,0.0001875439747231816,0.001078673972848613,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-19T18:30:13,meta-llama__Llama-2-13b-chat-hf,489ab9f2-b3ba-4962-9631-310b75e7fa1d,67.10650609998265,0.002510932790177377,3.7417173360001096e-05,42.5,294.79229202043086,70.0,0.0007922461018748037,0.005495250785084949,0.001304871203610997,0.007592368090570751,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
