task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-19T11:16:23,meta-llama__Llama-2-13b-chat-hf,6451c555-eafa-417b-8376-90a87b719d99,61.750535500003025,0.0020190225965993048,3.269670913344371e-05,42.5,243.4414373860455,70.0,0.0007289437236801153,0.004175418062553504,0.0012006055775001493,0.006104967363733769,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-19T11:16:32,meta-llama__Llama-2-13b-chat-hf,6451c555-eafa-417b-8376-90a87b719d99,9.635707399982493,0.0003234138811975783,3.3548592973233495e-05,42.5,252.5772909441782,70.0,0.0001138431409025846,0.0006765708190341613,0.00018750039972187057,0.0009779143596586161,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-19T11:17:36,meta-llama__Llama-2-13b-chat-hf,6451c555-eafa-417b-8376-90a87b719d99,64.01611560001038,0.0022253452509577525,3.476206483832249e-05,42.5,265.90177570163866,70.0,0.0007557458079862249,0.0047283362826666675,0.001244748063610718,0.0067288301542636104,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-19T11:17:47,meta-llama__Llama-2-13b-chat-hf,6451c555-eafa-417b-8376-90a87b719d99,10.289236800046638,0.000360110010888484,3.4999128679959986e-05,42.5,268.58534195914046,70.0,0.00012143598194452355,0.0007674353361686315,0.0002000020147217181,0.0010888733328348731,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-19T11:18:22,meta-llama__Llama-2-13b-chat-hf,6451c555-eafa-417b-8376-90a87b719d99,35.30219000001671,0.0012594085922243486,3.5675093560417795e-05,42.5,275.8421359875705,70.0,0.0004167580163191207,0.002704930497275271,0.0006864156483331399,0.00380810416192753,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-19T11:18:32,meta-llama__Llama-2-13b-chat-hf,6451c555-eafa-417b-8376-90a87b719d99,10.025841399969067,0.0003581542835424077,3.5723477908250046e-05,42.5,276.31075023246456,70.0,0.00011837650020857455,0.0007696186712502495,0.0001949645813892455,0.00108295975284807,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-19T11:19:16,meta-llama__Llama-2-13b-chat-hf,6451c555-eafa-417b-8376-90a87b719d99,43.72574580000946,0.0015877445568686166,3.631117853068691e-05,42.5,282.7704374665556,70.0,0.0005161996520832166,0.0034344963587047417,0.0008502055333330649,0.004800901544121022,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-19T11:19:25,meta-llama__Llama-2-13b-chat-hf,6451c555-eafa-417b-8376-90a87b719d99,9.52998639998259,0.00034481856302634104,3.617991275002159e-05,42.5,281.583457578491,70.0,0.00011244370208381366,0.0007449964293320122,0.00018519608138885778,0.0010426362128046866,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-19T11:20:16,meta-llama__Llama-2-13b-chat-hf,6451c555-eafa-417b-8376-90a87b719d99,50.534919400000945,0.001862796001108202,3.6860289832366985e-05,42.5,288.73830878594936,70.0,0.0005966151038883255,0.004053311298201301,0.0009826548336102862,0.005632581235699909,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-19T11:20:26,meta-llama__Llama-2-13b-chat-hf,6451c555-eafa-417b-8376-90a87b719d99,9.574098700017203,0.00035168862386462593,3.673444014412166e-05,42.5,287.38351783731764,70.0,0.00011302065493045028,0.0007642436669499375,0.00018614505972153802,0.001063409381601925,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
