task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-10T18:22:26,meta-llama__Llama-2-13b-chat-hf,2ba6e4c0-c63b-4f54-bf16-c759dd694122,58.18646340002306,0.002149666256783123,3.694467897126479e-05,42.5,289.6409667510031,70.0,0.0006869482435418629,0.0046816137452889706,0.0011314357638863536,0.006499997752717188,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-10T18:22:35,meta-llama__Llama-2-13b-chat-hf,2ba6e4c0-c63b-4f54-bf16-c759dd694122,9.468647700035945,0.00035424576950646245,3.7415661478470746e-05,42.5,294.80256654036765,70.0,0.00011176870882093981,0.000775288953563269,0.00018408382222340962,0.001071141484607619,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-10T18:23:16,meta-llama__Llama-2-13b-chat-hf,2ba6e4c0-c63b-4f54-bf16-c759dd694122,40.403976700035855,0.0015286664283879637,3.783454804334919e-05,42.5,299.3459230727925,70.0,0.0004769901059724766,0.0033596501877175555,0.0007856252872216927,0.004622265580911725,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-10T18:23:25,meta-llama__Llama-2-13b-chat-hf,2ba6e4c0-c63b-4f54-bf16-c759dd694122,9.246499500004575,0.00035279565133862663,3.8154841494813366e-05,42.5,302.9223165561965,70.0,0.00010913553749883754,0.0007778745111881591,0.0001797466786112637,0.0010667567272982601,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-10T18:24:17,meta-llama__Llama-2-13b-chat-hf,2ba6e4c0-c63b-4f54-bf16-c759dd694122,51.74372090003453,0.0019726722738034625,3.8123807171884305e-05,42.5,302.494243822969,70.0,0.0006108635452781324,0.0043478307004836125,0.0010061225280560194,0.005964816773817763,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-10T18:24:26,meta-llama__Llama-2-13b-chat-hf,2ba6e4c0-c63b-4f54-bf16-c759dd694122,9.389725000131875,0.0003595779551268151,3.8295061444145126e-05,42.5,304.3547132447536,70.0,0.00011085137347173349,0.000793840079515995,0.00018257308999697353,0.0010872645429847033,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-10T18:24:56,meta-llama__Llama-2-13b-chat-hf,2ba6e4c0-c63b-4f54-bf16-c759dd694122,30.050144099863246,0.0011474862984677961,3.818567201779028e-05,42.5,303.1671574225736,70.0,0.00035475888881968164,0.002530619524494959,0.0005843036072218739,0.003469682020536515,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-10T18:25:05,meta-llama__Llama-2-13b-chat-hf,2ba6e4c0-c63b-4f54-bf16-c759dd694122,9.13246320001781,0.0003469977102139917,3.799514379654726e-05,42.5,301.1435988591188,70.0,0.00010780352138778371,0.0007638683888711029,0.00017755344250084196,0.0010492253527597285,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-10T18:25:39,meta-llama__Llama-2-13b-chat-hf,2ba6e4c0-c63b-4f54-bf16-c759dd694122,33.94034230010584,0.0012978961269944442,3.8239899726839694e-05,42.5,303.7920639472767,70.0,0.00040065757958363977,0.0028639220133577226,0.000659900256944174,0.003924479849885535,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-10T18:25:48,meta-llama__Llama-2-13b-chat-hf,2ba6e4c0-c63b-4f54-bf16-c759dd694122,9.137699899962172,0.0003509888885870234,3.841090317008101e-05,42.5,305.32233154285456,70.0,0.00010795299861023934,0.0007755417315440383,0.00017779884499743472,0.0010612935751517123,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
