task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-10T23:04:05,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,41.681532100075856,0.0015021446131294604,3.6040874928684224e-05,42.5,279.8261413607521,70.0,0.0004920348497912832,0.003239638702819292,0.0008103973752780197,0.004542070927888595,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-10T23:04:15,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,9.537319800117984,0.00035146808169865475,3.685159694831047e-05,42.5,288.62735749079883,70.0,0.00011259939256867961,0.0007646906117519947,0.00018545251861020612,0.0010627425229308802,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-10T23:05:05,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,50.45537200011313,0.001864500346415563,3.695346646193645e-05,42.5,289.7538393527572,70.0,0.00059565327694258,0.0040610099154729795,0.0009810715133324267,0.005637734705747987,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-10T23:05:14,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,8.479301699902862,0.0003156974770349777,3.722637461896156e-05,42.5,292.54278858762683,70.0,0.000100162101667148,0.0006894533293397842,0.00016496665111432468,0.0009545820821212567,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-10T23:06:14,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,60.5051814999897,0.002276239542103881,3.761784449582873e-05,42.5,296.9942582246852,70.0,0.0007143342058326299,0.004991841493469984,0.0011765447516673402,0.006882720450969954,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-10T23:06:24,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,9.700309599982575,0.00036621131711398,3.775280799610349e-05,42.5,298.4614719228407,70.0,0.0001145152819462562,0.0008041992544693954,0.00018860746333634274,0.0011073219997519944,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-10T23:07:10,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,46.06289199995808,0.0017321280128845618,3.760359290984766e-05,42.5,296.8337900490924,70.0,0.0005437931395132589,0.003798029982865714,0.0008956541630562344,0.0052374772854352075,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-10T23:07:20,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,9.61350669991225,0.00036180772779253155,3.761799068391586e-05,42.5,296.92600477205747,70.0,0.0001135624295834632,0.0007934048013895634,0.00018703952944682314,0.0010940067604198501,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-10T23:08:09,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,49.53405319992453,0.0018606918819651808,3.756401282263529e-05,42.5,296.3997994295794,70.0,0.0005847750808341923,0.004078289929296375,0.0009631539497239935,0.005626218959854559,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-10T23:08:19,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,9.664598099887371,0.00036449321398120127,3.77147391490219e-05,42.5,297.9626557307955,70.0,0.00011411634979174596,0.0008000584178233794,0.00018795216221996133,0.0011021269298350928,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-10T23:09:16,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,57.35879940004088,0.002151379481245868,3.7505692851456066e-05,42.5,295.80681385267604,70.0,0.0006771138686796699,0.004712823492479146,0.001115240709722922,0.006505178070881738,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-10T23:09:26,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,9.702324400190264,0.00036777073221254397,3.790589172392439e-05,42.5,300.1250782055842,70.0,0.00011453923069445083,0.0008088509248578291,0.00018864708527689764,0.0011120372408291793,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-10T23:10:05,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,38.79397310013883,0.0014525882143313802,3.743945857763836e-05,42.5,294.9946553383256,70.0,0.00045809130513953245,0.003179636988152268,0.0007544977552794282,0.0043922260485712294,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-10T23:10:15,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,9.60741059994325,0.0003581826784826315,3.728212475243542e-05,42.5,293.31717287132363,70.0,0.00011342444978977746,0.000782809515136762,0.00018681164638773094,0.0010830456113142678,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-10T23:11:07,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,52.23790970002301,0.001954262224519294,3.7410869116837224e-05,42.5,294.7313907244439,70.0,0.0006166985886805277,0.00427671842137034,0.0010157328533351474,0.005909149863386011,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-10T23:11:16,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,9.538939699996263,0.0003581254057318725,3.7533252928733514e-05,42.5,296.10819786986656,70.0,0.00011263171736047503,0.000784735072231868,0.0001855056447229199,0.001082872434315256,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-10T23:14:33,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,196.31955750007182,0.0074005291214211365,3.7696657334766134e-05,42.5,297.8445848573738,70.0,0.002317635482292745,0.016242249660455954,0.0038172734074999534,0.02237715855024866,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-10T23:14:33,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,0.6196517001371831,2.3928144094551712e-05,3.8620946262519946e-05,42.5,307.99193304888973,70.0,7.313226457660027e-06,5.299920906676192e-05,1.20396713900843e-05,7.235210691450278e-05,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-10T23:17:45,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,191.25870570004918,0.007201843969286463,3.765501085112928e-05,42.5,297.3892471454217,70.0,0.002257918659096079,0.015799551250742283,0.003718919549720723,0.021776389459559092,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_2.sol,2026-04-10T23:17:52,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,6.818938700016588,0.00025927455578945297,3.802336359242712e-05,42.5,301.1248014238467,70.0,8.055396402859363e-05,0.0005707496232636444,0.0001326711458322187,0.0007839747331244568,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_phishable.sol,2026-04-10T23:18:51,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,59.54785369988531,0.0021968962783972742,3.6892948847506186e-05,42.5,289.0448516242917,70.0,0.0007030831985401966,0.004781709936477085,0.0011580151741683968,0.006642808309185677,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_phishable.sol,2026-04-10T23:19:02,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,10.233636799966916,0.0003763360175667446,3.676676353850458e-05,42.5,287.7242682719553,70.0,0.00012083826312559234,0.0008180745433490344,0.00019902349444261488,0.0011379363009172416,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_proxy.sol,2026-04-10T23:19:48,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,46.083360500168055,0.0016955444279744061,3.6793009580967745e-05,42.5,288.01010052595734,70.0,0.0005440353174976844,0.0036867707271905914,0.0008960525719410133,0.005126858616629287,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_proxy.sol,2026-04-10T23:19:58,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,10.03397800005041,0.0003690623975508428,3.678084905877127e-05,42.5,287.9500252614486,70.0,0.00011843613242995717,0.0008024411975089407,0.00019506555055397515,0.0011159428804928678,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_rubixi.sol,2026-04-10T23:21:10,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,72.42076239991002,0.0026881412468811594,3.711839114764667e-05,42.5,291.54904970946296,70.0,0.0008549668356950865,0.005865056080929243,0.0014081746622228025,0.008128197578847127,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_rubixi.sol,2026-04-10T23:21:21,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,10.324085699860007,0.00038259587198762046,3.705714832640427e-05,42.5,290.87668619588646,70.0,0.00012188839090360691,0.0008342248340458269,0.00020075114889057596,0.001156864373840008,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_simple_suicide.sol,2026-04-10T23:22:09,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,48.525584100047126,0.0017858138987537284,3.680153659409096e-05,42.5,288.10191988806156,70.0,0.000572867964444352,0.003883398940050853,0.0009435416899983666,0.005399808594493571,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_simple_suicide.sol,2026-04-10T23:22:18,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,9.00917030009441,0.00033257914818431156,3.691592284178296e-05,42.5,289.2887028446462,70.0,0.00010637259361279128,0.0007240578014675592,0.00017519720361192787,0.0010056275986922714,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_unprotected0.sol,2026-04-10T23:22:56,meta-llama__Llama-2-13b-chat-hf,50202076-3cf5-4595-a443-948845161d17,38.28544390015304,0.0014059521522304524,3.6722934313009845e-05,42.5,287.2437316308482,70.0,0.0004519810435415512,0.0030547954993904725,0.0007444349188887936,0.0042512114618208086,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
