task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-10T16:04:00,meta-llama__Llama-2-13b-chat-hf,76b7eeb3-a346-4aef-8663-de02b85c74bb,61.92303770012222,0.002286155266009538,3.6920488189844445e-05,42.5,289.3940484114781,70.0,0.000731013530349042,0.004977673148800932,0.0012040161855551156,0.006912702864705089,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-10T16:04:09,meta-llama__Llama-2-13b-chat-hf,76b7eeb3-a346-4aef-8663-de02b85c74bb,9.516632799990475,0.00035797958775040783,3.7616348483200596e-05,42.5,296.9929766491379,70.0,0.00011234260874965309,0.0007850600724919055,0.00018502883972315544,0.0010824315209647132,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-10T16:05:13,meta-llama__Llama-2-13b-chat-hf,76b7eeb3-a346-4aef-8663-de02b85c74bb,64.08838040009141,0.0024354839270783833,3.800198880639502e-05,42.5,301.1751320317125,70.0,0.0007565839504844108,0.005361515400319039,0.0012461321911095488,0.0073642315419129994,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-10T16:05:23,meta-llama__Llama-2-13b-chat-hf,76b7eeb3-a346-4aef-8663-de02b85c74bb,9.458119899965823,0.00036351559703946216,3.843459035761239e-05,42.5,305.89511960350836,70.0,0.00011165260354415894,0.0008036248095666387,0.0001838934727782745,0.0010991708858890704,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-10T16:06:16,meta-llama__Llama-2-13b-chat-hf,76b7eeb3-a346-4aef-8663-de02b85c74bb,53.25096709979698,0.002034153027165606,3.8199367179156286e-05,42.5,303.34087641583073,70.0,0.0006286194077772152,0.004486730811604112,0.0010353673924983014,0.006150717611879627,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-10T16:06:26,meta-llama__Llama-2-13b-chat-hf,76b7eeb3-a346-4aef-8663-de02b85c74bb,9.387423699954525,0.0003583633733460906,3.817531157004196e-05,42.5,303.0275951882047,70.0,0.00011082975277758008,0.0007902245210691383,0.00018253770888808883,0.0010835919827348085,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-10T16:07:10,meta-llama__Llama-2-13b-chat-hf,76b7eeb3-a346-4aef-8663-de02b85c74bb,43.97958360007033,0.001681086288605459,3.822424599747917e-05,42.5,303.58668371226315,70.0,0.0005192034812485672,0.0037087849114700866,0.0008551527988870577,0.005083141191605713,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-10T16:07:18,meta-llama__Llama-2-13b-chat-hf,76b7eeb3-a346-4aef-8663-de02b85c74bb,8.80718190013431,0.00033591997689109976,3.814056001807675e-05,42.5,302.94079843377995,70.0,0.00010391055444504459,0.0007406778147633908,0.00017114097389082147,0.0010157293430992573,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-10T16:07:51,meta-llama__Llama-2-13b-chat-hf,76b7eeb3-a346-4aef-8663-de02b85c74bb,32.53376390016638,0.0012416653084055228,3.816745037029581e-05,42.5,302.97552593296905,70.0,0.00038405466770798525,0.002737866079179696,0.0006325326194411094,0.0037544533663287846,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-10T16:07:59,meta-llama__Llama-2-13b-chat-hf,76b7eeb3-a346-4aef-8663-de02b85c74bb,8.21694690012373,0.00031505475836393973,3.8331673843866315e-05,42.5,304.75503935029434,70.0,9.703256930467148e-05,0.0006957936121900765,0.00015981249666591722,0.0009526386781606652,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-10T16:08:33,meta-llama__Llama-2-13b-chat-hf,76b7eeb3-a346-4aef-8663-de02b85c74bb,33.50947169982828,0.0012767033635143511,3.8098126355747195e-05,42.5,302.2135352846602,70.0,0.00039561541381861196,0.002813186417214286,0.0006515969483330587,0.0038603987793659617,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-10T16:08:42,meta-llama__Llama-2-13b-chat-hf,76b7eeb3-a346-4aef-8663-de02b85c74bb,9.178917800076306,0.0003513737233472036,3.8286629470219166e-05,42.5,304.4044444424586,70.0,0.00010831194534871927,0.0007757825650691608,0.0001783626988879402,0.0010624572093058254,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-10T16:09:23,meta-llama__Llama-2-13b-chat-hf,76b7eeb3-a346-4aef-8663-de02b85c74bb,41.083413100102916,0.0015669033487745333,3.813680246566677e-05,42.5,302.5857186050217,70.0,0.00048510494736110545,0.0034537863741390673,0.0007989921586083557,0.004737883480108528,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
