task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-18T22:35:49,meta-llama__Llama-2-13b-chat-hf,b1b2d084-a9a2-4675-8e94-1de8a7a8e525,45.04587919998448,0.0016073327521804875,3.5681993171930574e-05,42.5,275.91324072399107,70.0,0.0005317937084026199,0.0034524483175122356,0.0008758888172218577,0.004860130843136713,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-18T22:35:58,meta-llama__Llama-2-13b-chat-hf,b1b2d084-a9a2-4675-8e94-1de8a7a8e525,9.633826499979477,0.0003499460901683722,3.6324629137532876e-05,42.5,282.9235623262547,70.0,0.00011372904611073157,0.0007570992167904578,0.00018731217749930998,0.001058140440400499,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-18T22:36:29,meta-llama__Llama-2-13b-chat-hf,b1b2d084-a9a2-4675-8e94-1de8a7a8e525,30.14918820001185,0.0011117161697125288,3.6874378310324303e-05,42.5,288.95357989230206,70.0,0.0003558691659029138,0.0024195244356173262,0.0005861294172224006,0.003361523018742641,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-18T22:36:38,meta-llama__Llama-2-13b-chat-hf,b1b2d084-a9a2-4675-8e94-1de8a7a8e525,9.705870100005995,0.0003547088850074428,3.6546402718934764e-05,42.5,285.2461350717731,70.0,0.00011460387083352553,0.0007691858931266893,0.00018875205416714184,0.0010725418181273556,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-18T22:37:30,meta-llama__Llama-2-13b-chat-hf,b1b2d084-a9a2-4675-8e94-1de8a7a8e525,51.7810543999658,0.0018612997951939956,3.5945659048699344e-05,42.5,278.7865961182593,70.0,0.0006112981868748144,0.004009930985718668,0.001006827949165826,0.00562805712175931,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-18T22:37:39,meta-llama__Llama-2-13b-chat-hf,b1b2d084-a9a2-4675-8e94-1de8a7a8e525,8.408017600013409,0.00030984147170566665,3.6853883645591026e-05,42.5,288.6634267164394,70.0,9.925481756957498e-05,0.0006741488726529354,0.00016347144722288556,0.0009368751374453956,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-18T22:38:19,meta-llama__Llama-2-13b-chat-hf,b1b2d084-a9a2-4675-8e94-1de8a7a8e525,40.53922540001804,0.0014844106424283937,3.661763654623112e-05,42.5,286.100279987453,70.0,0.00047857268555538506,0.0032216450773114857,0.000788230529721962,0.004488448292588834,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-18T22:38:29,meta-llama__Llama-2-13b-chat-hf,b1b2d084-a9a2-4675-8e94-1de8a7a8e525,10.028819900006056,0.00036723002962924314,3.660770516509701e-05,42.5,285.96825666243296,70.0,0.00011843441118059364,0.0007969075819724836,0.00019506031222263137,0.0011104023053757073,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-18T22:39:21,meta-llama__Llama-2-13b-chat-hf,b1b2d084-a9a2-4675-8e94-1de8a7a8e525,51.3876040999894,0.001857013318996562,3.6138340080341375e-05,42.5,280.8826207721209,70.0,0.0006066403202780852,0.004009291540763016,0.0009991641391662092,0.00561509600020731,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-18T22:39:31,meta-llama__Llama-2-13b-chat-hf,b1b2d084-a9a2-4675-8e94-1de8a7a8e525,10.07303359999787,0.00036869980298338996,3.66002692541861e-05,42.5,286.11521055281685,70.0,0.00011886454659745327,0.0008002128623925131,0.00019576908555641714,0.0011148464945463857,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
