task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-19T00:56:52,meta-llama__Llama-2-13b-chat-hf,b8d12bbf-3e96-446b-9ab0-5a9505598cd9,40.41068789997371,0.0014376462280132744,3.557081610651154e-05,42.5,274.6841829722139,70.0,0.0004771619452781226,0.003083975522735649,0.0007859081358338396,0.004347045603847612,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-19T00:57:02,meta-llama__Llama-2-13b-chat-hf,b8d12bbf-3e96-446b-9ab0-5a9505598cd9,9.403297299984843,0.0003425431275665763,3.642927527913911e-05,42.5,284.0564972548415,70.0,0.0001110050251388101,0.0007419244824262705,0.00018282641611181642,0.0010357559236768973,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-19T00:57:51,meta-llama__Llama-2-13b-chat-hf,b8d12bbf-3e96-446b-9ab0-5a9505598cd9,49.476691799995024,0.0018116115447414565,3.6616822730017655e-05,42.5,286.09068101592715,70.0,0.0005840757881947664,0.003931734812050003,0.0009620029591667441,0.0054778135594115126,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-19T00:58:01,meta-llama__Llama-2-13b-chat-hf,b8d12bbf-3e96-446b-9ab0-5a9505598cd9,9.754840299952775,0.00035842993115565037,3.674412966781424e-05,42.5,287.48667497611814,70.0,0.0001151571795134968,0.0007789697898434866,0.00018966626583326904,0.0010837932351902523,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-19T00:58:37,meta-llama__Llama-2-13b-chat-hf,b8d12bbf-3e96-446b-9ab0-5a9505598cd9,35.83623060001992,0.0013219127596369624,3.6886778974531024e-05,42.5,288.99806728907095,70.0,0.0004231075517361104,0.002877114246133239,0.0006968777238892574,0.0039970995217586056,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-19T00:58:47,meta-llama__Llama-2-13b-chat-hf,b8d12bbf-3e96-446b-9ab0-5a9505598cd9,9.547854600008577,0.0003528660244766918,3.696062685533097e-05,42.5,289.7684917723811,70.0,0.00011272663166653533,0.0007685825593100049,0.00018566032527806862,0.0010669695162546095,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-19T00:59:13,meta-llama__Llama-2-13b-chat-hf,b8d12bbf-3e96-446b-9ab0-5a9505598cd9,25.95278289995622,0.0009592458425026042,3.696464333599052e-05,42.5,289.8869838458088,70.0,0.0003063497714586752,0.002089576949438232,0.000504568088888482,0.002900494809785388,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-19T00:59:22,meta-llama__Llama-2-13b-chat-hf,b8d12bbf-3e96-446b-9ab0-5a9505598cd9,9.405388600018341,0.000349419522320594,3.7150300977719834e-05,42.5,291.7965539924724,70.0,0.00011106565611092561,0.0007625561655988378,0.00018292642277827108,0.0010565482444880349,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-19T01:00:09,meta-llama__Llama-2-13b-chat-hf,b8d12bbf-3e96-446b-9ab0-5a9505598cd9,47.40536420000717,0.001756047413854567,3.704297824938895e-05,42.5,290.7300776393754,70.0,0.0005596474953474778,0.0038283872293725096,0.0009217682308329841,0.0053098029555529724,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-19T01:00:16,meta-llama__Llama-2-13b-chat-hf,b8d12bbf-3e96-446b-9ab0-5a9505598cd9,6.463908699981403,0.0002388603346030263,3.693422354336628e-05,42.5,289.53907181137623,70.0,7.635003166659663e-05,0.0005201501383425011,0.0001257475897228381,0.0007222477597319359,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
