task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-11T01:34:53,meta-llama__Llama-2-13b-chat-hf,716a408c-835a-4f53-a327-510383f87562,48.66743819997646,0.0017292843188514546,3.553144555293099e-05,42.5,274.2487149517194,70.0,0.0005746044636804274,0.003707874355185936,0.0009463999202753055,0.005228878739141669,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-11T01:35:03,meta-llama__Llama-2-13b-chat-hf,716a408c-835a-4f53-a327-510383f87562,9.999179100152105,0.00035669614423385195,3.566152888523184e-05,42.5,275.8050288147089,70.0,0.00011804794923728982,0.0007660775573059553,0.00019442523527864576,0.0010785507418218905,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-11T01:35:44,meta-llama__Llama-2-13b-chat-hf,716a408c-835a-4f53-a327-510383f87562,41.32702829991467,0.0015169639167025286,3.670703345960806e-05,42.5,287.09146059477155,70.0,0.00048785475520853646,0.0032955076364036273,0.000803518022222367,0.0045868804138345315,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-11T01:35:53,meta-llama__Llama-2-13b-chat-hf,716a408c-835a-4f53-a327-510383f87562,9.455860499991104,0.00035471562602656416,3.751229523479583e-05,42.5,295.9711344286946,70.0,0.00011159686715416471,0.0007771650661760887,0.00018380026777934603,0.0010725622011095986,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-11T01:36:27,meta-llama__Llama-2-13b-chat-hf,716a408c-835a-4f53-a327-510383f87562,33.47478869999759,0.0012507656416139096,3.736445960797432e-05,42.5,294.2084485688253,70.0,0.0003952065815267917,0.002735839966448772,0.0006509237155538157,0.0037819702635293797,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-11T01:36:36,meta-llama__Llama-2-13b-chat-hf,716a408c-835a-4f53-a327-510383f87562,9.45627379999496,0.0003560094482303955,3.765376362825801e-05,42.5,297.40485985553147,70.0,0.00011161210576586512,0.0007810381248294362,0.00018382413194437206,0.0010764743625396728,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-11T01:37:14,meta-llama__Llama-2-13b-chat-hf,716a408c-835a-4f53-a327-510383f87562,37.34598400001414,0.0014017733910703179,3.753450532445998e-05,42.5,296.1138763038092,70.0,0.0004408554927075683,0.0030716121795100193,0.0007261083686096958,0.004238576040827283,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-11T01:37:23,meta-llama__Llama-2-13b-chat-hf,716a408c-835a-4f53-a327-510383f87562,9.452445299830288,0.0003551266690092489,3.7569347082656106e-05,42.5,296.5841916701947,70.0,0.00011155869388959324,0.0007785084005842435,0.00018373798722491792,0.001073805081698756,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-11T01:38:00,meta-llama__Llama-2-13b-chat-hf,716a408c-835a-4f53-a327-510383f87562,36.54199399985373,0.0013674997114943733,3.7422842333607245e-05,42.5,294.84582581939424,70.0,0.00043141518139018465,0.0029929660054826,0.0007105607016678226,0.004134941888540609,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-11T01:38:09,meta-llama__Llama-2-13b-chat-hf,716a408c-835a-4f53-a327-510383f87562,9.5084275000263,0.0003569717628995987,3.754300003772167e-05,42.5,296.1678221829976,70.0,0.0001122524875005991,0.0007822503480205967,0.00018488130111363708,0.0010793841366348346,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
