task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-11T08:18:25,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,32.70649760006927,0.0011803478842165552,3.608872920839615e-05,42.5,280.34417668508536,70.0,0.0003861190827784918,0.00254697314868757,0.0006359541591644909,0.003569046390630553,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-11T08:18:34,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,9.200085799908265,0.00033859109382778307,3.6798409178826065e-05,42.5,287.90568393482766,70.0,0.00010866964659847635,0.0007361572555923956,0.00017897916166952608,0.0010238060638603978,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-11T08:19:09,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,35.481510899960995,0.001315700547386171,3.708014576328583e-05,42.5,291.1747720012804,70.0,0.000418848449653726,0.0028696042401259447,0.0006898628158359013,0.0039783155056155725,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-11T08:19:19,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,9.220701600192115,0.00034461849265126493,3.737258420915675e-05,42.5,294.32070695054546,70.0,0.00010886001708147687,0.0007538781031017905,0.00017929313499868548,0.0010420312551819525,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-11T08:19:51,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,32.62409359985031,0.001224047725350968,3.7514856149742606e-05,42.5,295.8611340464525,70.0,0.00038519932021057086,0.0026815432563438435,0.0006344400786109166,0.0037011826551653308,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-11T08:20:00,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,9.189891999820247,0.00034526542957666675,3.757081314777252e-05,42.5,296.3257783362467,70.0,0.00010852937416768534,0.0007567086609228113,0.0001787493788895922,0.0010439874139800895,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-11T08:20:41,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,40.23442899994552,0.00152014226315445,3.7781028211746134e-05,42.5,298.7623324767715,70.0,0.00047500340097354223,0.0033391343379722827,0.0007823531177793891,0.004596490856725213,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-11T08:20:50,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,9.31921420013532,0.00035141522158056975,3.770842111290117e-05,42.5,298.04143128406696,70.0,0.00011000088944387648,0.0007714092282373741,0.00018117257083455742,0.0010625826885158063,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-11T08:21:20,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,29.803434800123796,0.0011249627998743518,3.774603401308219e-05,42.5,298.36199907506295,70.0,0.00035186308048626696,0.002470180031698632,0.000579534061946389,0.0034015771741312886,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-11T08:21:29,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,9.15744819981046,0.000346584797162576,3.7847328728605086e-05,42.5,299.2894595868556,70.0,0.00010816004798543891,0.0007616758871167306,0.00017814088249643728,0.001047976817598606,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-11T08:22:01,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,32.4111975999549,0.001222822538978905,3.772732718286738e-05,42.5,298.17843724572543,70.0,0.0003826424352074455,0.00268460742546317,0.0006302281688859998,0.0036974780295566147,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-11T08:22:11,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,9.220613700104877,0.00034953298292959845,3.789562899376426e-05,42.5,300.044973458154,70.0,0.00010887919284707304,0.0007686867260590091,0.00017932539916429117,0.0010568913180703764,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-11T08:22:54,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,42.73617870011367,0.0016104876380136773,3.7683711181462616e-05,42.5,297.6729167945138,70.0,0.0005045704514590197,0.0035340481050152306,0.0008310517911139566,0.004869670347588208,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-11T08:23:03,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,9.269843300106004,0.0003496086250407114,3.771314562041782e-05,42.5,298.15511882897874,70.0,0.00010940510909681006,0.0007675236695741106,0.0001801912602768024,0.0010571200389477217,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-11T08:23:46,meta-llama__Llama-2-13b-chat-hf,72908686-45d2-496c-a720-aa5a825e7ee8,42.976365600014105,0.0016172513849639029,3.762997836464869e-05,42.5,297.11788113541695,70.0,0.0005073761231946666,0.003547073115433008,0.0008356728138880698,0.0048901220525157454,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
