task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-11T10:27:06,meta-llama__Llama-2-13b-chat-hf,af013fbc-437b-4566-b957-327b27d8b306,66.63795150001533,0.002390310954809674,3.586738185564624e-05,42.5,277.9149924766108,70.0,0.0007867906956243032,0.0051449666159708585,0.0012958836236114926,0.007227640935206654,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-11T10:27:16,meta-llama__Llama-2-13b-chat-hf,af013fbc-437b-4566-b957-327b27d8b306,10.094491200055927,0.00037084912964457624,3.6738139098306474e-05,42.5,287.4766211506674,70.0,0.00011915032486043255,0.0008059550892083323,0.00019624005138692974,0.001121345465455694,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-11T10:28:04,meta-llama__Llama-2-13b-chat-hf,af013fbc-437b-4566-b957-327b27d8b306,47.377904900116846,0.001744865819327865,3.6828599294797646e-05,42.5,288.48038762650754,70.0,0.0005592039641657418,0.0037957522032661117,0.0009210367308315152,0.005275992898263368,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-11T10:28:14,meta-llama__Llama-2-13b-chat-hf,af013fbc-437b-4566-b957-327b27d8b306,9.888705699937418,0.00036643426529547104,3.705622846809505e-05,42.5,290.97372153115157,70.0,0.00011671134902571786,0.0007990589725803687,0.00019222581194416194,0.001107996133550249,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-11T10:28:49,meta-llama__Llama-2-13b-chat-hf,af013fbc-437b-4566-b957-327b27d8b306,35.308490599971265,0.0013034230112309213,3.691533652523033e-05,42.5,289.34055127493554,70.0,0.00041683383513866127,0.0028378122702488184,0.0006865455177806627,0.0039411916231681405,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-11T10:28:59,meta-llama__Llama-2-13b-chat-hf,af013fbc-437b-4566-b957-327b27d8b306,9.796512400032952,0.0003649153403009024,3.724670805593607e-05,42.5,292.8789260799253,70.0,0.00011568153506927433,0.0007971948044236399,0.00019052698388501675,0.0011034033233779314,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-11T10:29:36,meta-llama__Llama-2-13b-chat-hf,af013fbc-437b-4566-b957-327b27d8b306,36.83346260013059,0.0013673121795356388,3.7121829872581e-05,42.5,291.5907374898443,70.0,0.0004348307788900759,0.00298336072001959,0.0007161833447203712,0.004134374843630037,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-11T10:29:45,meta-llama__Llama-2-13b-chat-hf,af013fbc-437b-4566-b957-327b27d8b306,9.170262000057846,0.000344793865352579,3.759754986037702e-05,42.5,296.9430621745678,70.0,0.00010821856340238224,0.0007561156048936368,0.00017822736555632868,0.0010425615338523452,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-11T10:30:28,meta-llama__Llama-2-13b-chat-hf,af013fbc-437b-4566-b957-327b27d8b306,42.77369820000604,0.001605359817144986,3.753141159333177e-05,42.5,296.0457980807223,70.0,0.0005049670331273874,0.0035174930917678537,0.0008317051069487609,0.004854165231844003,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-11T10:30:37,meta-llama__Llama-2-13b-chat-hf,af013fbc-437b-4566-b957-327b27d8b306,9.552460000151768,0.00035935215520248656,3.7619048652527896e-05,42.5,297.13395335437684,70.0,0.00011273450243057172,0.0007881720194280462,0.00018567526444417636,0.0010865817863027934,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
