task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-11T06:04:30,meta-llama__Llama-2-13b-chat-hf,f06db469-8d00-483e-9ab0-3df2bed64f7b,55.94165459997021,0.0019863813079073027,3.5507937629889547e-05,42.5,274.04952866757725,70.0,0.0006603721423608174,0.004258235351030315,0.001087661617777,0.006006269111168133,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-11T06:04:41,meta-llama__Llama-2-13b-chat-hf,f06db469-8d00-483e-9ab0-3df2bed64f7b,10.365146599942818,0.00037476592458751115,3.614832339940572e-05,42.5,280.92073749472684,70.0,0.00012241511583318545,0.0008091534250986854,0.0002016202319426359,0.0011331887728745068,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-11T06:05:37,meta-llama__Llama-2-13b-chat-hf,f06db469-8d00-483e-9ab0-3df2bed64f7b,56.34458569996059,0.00205031729892404,3.638784676490105e-05,42.5,283.592897410866,70.0,0.0006652047795843425,0.004438763551007696,0.0010956255800026057,0.006199593910594645,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-11T06:05:47,meta-llama__Llama-2-13b-chat-hf,f06db469-8d00-483e-9ab0-3df2bed64f7b,10.166975399944931,0.000373851769488287,3.6771374457759373e-05,42.5,287.7774097286538,70.0,0.00012002483791487381,0.0008127175946182064,0.0001976821875005648,0.0011304246200336456,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-11T06:06:39,meta-llama__Llama-2-13b-chat-hf,f06db469-8d00-483e-9ab0-3df2bed64f7b,51.8339656998869,0.0019073330126052144,3.679849001762289e-05,42.5,288.07118467153003,70.0,0.0006118968288904097,0.004147531095799906,0.0010078209477787218,0.005767248872469035,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-11T06:06:49,meta-llama__Llama-2-13b-chat-hf,f06db469-8d00-483e-9ab0-3df2bed64f7b,10.156450800132006,0.0003757450354973822,3.6993729738330875e-05,42.5,290.2001225700052,70.0,0.00011990691694356613,0.0008187545438920196,0.00019748787333244552,0.0011361493341680295,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-11T06:07:28,meta-llama__Llama-2-13b-chat-hf,f06db469-8d00-483e-9ab0-3df2bed64f7b,38.53599000000395,0.00141511961534349,3.672208707358134e-05,42.5,287.2593227923809,70.0,0.0004549105909720918,0.003074762182029289,0.0007492585683332035,0.004278931341334582,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-11T06:07:38,meta-llama__Llama-2-13b-chat-hf,f06db469-8d00-483e-9ab0-3df2bed64f7b,9.967421500012279,0.000369976134925034,3.7118223964439895e-05,42.5,291.5807458189128,70.0,0.00011766244944446964,0.0008072520346908973,0.0001937912861131024,0.0011187057702484703,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-11T06:08:15,meta-llama__Llama-2-13b-chat-hf,f06db469-8d00-483e-9ab0-3df2bed64f7b,36.922598199918866,0.001361047700085211,3.686262815898843e-05,42.5,288.7658073942804,70.0,0.00043588561826408186,0.0029616229248512482,0.0007179242427784224,0.004115432785893755,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-11T06:08:24,meta-llama__Llama-2-13b-chat-hf,f06db469-8d00-483e-9ab0-3df2bed64f7b,9.714997000060976,0.00035626262666239167,3.6673877653225966e-05,42.5,286.81362412267,70.0,0.00011465395472170896,0.0007737508967791129,0.00018883505277529633,0.0010772399042761234,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
