task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-20T11:44:09,meta-llama__Llama-2-13b-chat-hf,3467deb5-d3ae-426d-b112-66e1c42e845b,47.76689450000413,0.0017077908661199302,3.575247127759054e-05,42.5,276.6773284833434,70.0,0.0005639213047916403,0.0036711618258156165,0.0009288053366667656,0.005163888467274023,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-20T11:44:16,meta-llama__Llama-2-13b-chat-hf,3467deb5-d3ae-426d-b112-66e1c42e845b,7.745454000018071,0.00028271318956371865,3.6499402185814035e-05,42.5,284.8245239871302,70.0,9.143948312525434e-05,0.0006128066013530997,0.00015060061138857331,0.0008548466958669277,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-20T11:45:03,meta-llama__Llama-2-13b-chat-hf,3467deb5-d3ae-426d-b112-66e1c42e845b,46.86633280001115,0.0017187643034444634,3.667330660711519e-05,42.5,286.6841134635026,70.0,0.0005533174650694694,0.00373240993036994,0.0009113417191671841,0.005197069114606593,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-20T11:45:13,meta-llama__Llama-2-13b-chat-hf,3467deb5-d3ae-426d-b112-66e1c42e845b,9.706832400057465,0.0003592553331244271,3.701089978497397e-05,42.5,290.1740812719811,70.0,0.00011465202569436051,0.0007828025706864139,0.00018883442666734092,0.0010862890230481162,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-20T11:45:50,meta-llama__Llama-2-13b-chat-hf,3467deb5-d3ae-426d-b112-66e1c42e845b,36.80769629997667,0.0013606783298599238,3.696534342560031e-05,42.5,289.8393185918437,70.0,0.0004346047024997258,0.0029638968155616396,0.0007158143941657425,0.004114315912227107,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-20T11:45:59,meta-llama__Llama-2-13b-chat-hf,3467deb5-d3ae-426d-b112-66e1c42e845b,9.395656400010921,0.0003459607774649893,3.6816721371636234e-05,42.5,288.26637963930125,70.0,0.00011093498277760868,0.0007524444908426631,0.0001827104805551547,0.0010460899541754262,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-20T11:46:29,meta-llama__Llama-2-13b-chat-hf,3467deb5-d3ae-426d-b112-66e1c42e845b,29.269323599990457,0.0010838767850072963,3.703106175913486e-05,42.5,290.60125924505263,70.0,0.00034553924930595605,0.002362687445705447,0.0005691177041664357,0.003277344399177838,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-20T11:46:38,meta-llama__Llama-2-13b-chat-hf,3467deb5-d3ae-426d-b112-66e1c42e845b,9.536168099963106,0.0003543855341087178,3.715803945728059e-05,42.5,292.04675629415436,70.0,0.00011257451590293696,0.000773578396639607,0.00018541118166677832,0.0010715640942093214,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-20T11:47:07,meta-llama__Llama-2-13b-chat-hf,3467deb5-d3ae-426d-b112-66e1c42e845b,28.92688080004882,0.0010722542223128824,3.706784865775617e-05,42.5,290.9960890983672,70.0,0.00034149943659714244,0.0023382371483648967,0.0005624643908326917,0.0032422009757947304,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-20T11:47:16,meta-llama__Llama-2-13b-chat-hf,3467deb5-d3ae-426d-b112-66e1c42e845b,9.194759700039867,0.00034160223437933006,3.715176733524014e-05,42.5,291.91938954344664,70.0,0.00010854787465311043,0.0007455833742469054,0.00017877967333382316,0.0010329109222338394,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
