task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-17T02:15:52,microsoft__phi-4,2758504d-fd27-443d-a19f-1bd8789950cb,56.40747320000082,0.001701457176847194,3.0163762734691828e-05,42.5,215.8481437631697,70.0,0.0006659143383333382,0.00338203659451608,0.0010967862052779108,0.005144737138127329,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-17T02:15:59,microsoft__phi-4,2758504d-fd27-443d-a19f-1bd8789950cb,6.185706200019922,0.00019229698110821594,3.108688824811293e-05,42.5,226.11848829881507,70.0,7.297879118060434e-05,0.00038828031062365653,0.00012019392194472151,0.000581453023748982,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-17T02:16:40,microsoft__phi-4,2758504d-fd27-443d-a19f-1bd8789950cb,41.37030589999631,0.0014041106767045005,3.3940179253800365e-05,42.5,256.9285568023122,70.0,0.000488430117847444,0.002952746528861905,0.0008044667011111518,0.004245643347820501,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-17T02:16:45,microsoft__phi-4,2758504d-fd27-443d-a19f-1bd8789950cb,5.479254100006074,0.00019562693042111598,3.57039872396438e-05,42.5,276.16082412605624,70.0,6.468324923619858e-05,0.0004203067251338233,0.0001065318975000183,0.0005915218718700408,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-17T02:17:22,microsoft__phi-4,2758504d-fd27-443d-a19f-1bd8789950cb,36.56321240001125,0.0012115807179000318,3.314068380160652e-05,42.5,248.22843261634355,70.0,0.0004316222047919332,0.00252096812788416,0.0007108955311112774,0.003663485863787371,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-17T02:17:28,microsoft__phi-4,2758504d-fd27-443d-a19f-1bd8789950cb,5.606595699995523,0.000191917181544223,3.423120118941601e-05,42.5,260.11743265142803,70.0,6.618890027782777e-05,0.0004051044907500412,0.00010901122361125712,0.0005803046146391263,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-17T02:18:02,microsoft__phi-4,2758504d-fd27-443d-a19f-1bd8789950cb,33.955381600011606,0.0011716510062953298,3.450572330066189e-05,42.5,263.1290391764221,70.0,0.00040083972277760865,0.0024817092075881675,0.0006602005005552202,0.0035427494309209964,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-17T02:18:07,microsoft__phi-4,2758504d-fd27-443d-a19f-1bd8789950cb,5.485927400004584,0.00019921824127456557,3.631357312895599e-05,42.5,282.6381901588254,70.0,6.479089937499018e-05,0.00043088090026000003,0.00010670920555542899,0.0006023810051904201,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-17T02:18:46,microsoft__phi-4,2758504d-fd27-443d-a19f-1bd8789950cb,38.72084280001582,0.0013752120784696134,3.551615925648749e-05,42.5,274.1102400779731,70.0,0.0004571174506946287,0.0029482506919311646,0.0007528938161113024,0.004158261958737093,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-17T02:18:51,microsoft__phi-4,2758504d-fd27-443d-a19f-1bd8789950cb,5.491416200005915,0.00019892242499279858,3.6224848783747576e-05,42.5,281.8340554112249,70.0,6.482667611105867e-05,0.0004298922883583245,0.00010676757388897,0.0006014865383583527,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
