task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-17T04:21:36,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,49.80485290000797,0.0015233077877677302,3.0585184853292185e-05,42.5,220.42902073154067,70.0,0.0005879865874302697,0.0030496332730383102,0.0009684426694443069,0.004606062529912887,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-17T04:21:42,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,5.828910999989603,0.00018851397680282132,3.2367215839437676e-05,42.5,239.8866451658927,70.0,6.874787604152109e-05,0.0003880455882137035,0.00011322079805532769,0.0005700142623105524,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-17T04:22:20,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,37.511318800010486,0.0011701666192302962,3.119249620389412e-05,42.5,227.06359797859227,70.0,0.00044285152999982535,0.0023660124483644296,0.0007293970755556883,0.003538261053919944,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-17T04:22:25,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,5.848012100002961,0.00018649677149624186,3.190088384529714e-05,42.5,234.63039404802254,70.0,6.904194416654523e-05,0.00038116363826379285,0.00011370920750018243,0.0005639147899305207,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-17T04:23:00,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,35.04025989997899,0.0011061615570944908,3.156768614365903e-05,42.5,231.1603430646847,70.0,0.0004136381656946672,0.0022498073553998132,0.000681281881388875,0.003344727402483356,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-17T04:23:06,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,5.643255599978147,0.00017488233745888235,3.098998795739351e-05,42.5,224.8414405681215,70.0,6.662089979167334e-05,0.0003524513930721618,0.0001097236525001385,0.0005287959453639732,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-17T04:23:41,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,34.49938330001896,0.001109956862349961,3.2173354637078965e-05,42.5,237.72309057041292,70.0,0.00040727979499996644,0.002278114878045745,0.0006708086855557569,0.00335620335860147,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-17T04:23:46,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,5.735664700012421,0.0001775839333246999,3.0960817532511863e-05,42.5,224.90952011066517,70.0,6.7636411319634e-05,0.00035793223079050307,0.00011139618388875117,0.0005369648259988882,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-17T04:24:50,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,63.08238720000372,0.0019850723521615855,3.146797394505769e-05,42.5,230.0290240474922,70.0,0.000744749804236259,0.004030921558067835,0.0012266398277780456,0.006002311190082141,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-17T04:24:55,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,5.831203299982008,0.0001997235852234415,3.425117621802959e-05,42.5,260.50285256862145,70.0,6.880989180554041e-05,0.00042177005963717207,0.00011332907444472438,0.0006039090258874343,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mapping_write.sol,2026-04-17T04:25:32,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,36.17114620000939,0.001132739681496426,3.131616127020617e-05,42.5,228.37722133666793,70.0,0.0004270352163888878,0.0022947101691004335,0.0007033469333334423,0.0034250923188227644,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mapping_write.sol,2026-04-17T04:25:37,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,5.7448848000203725,0.00017701847018049277,3.0813804122265876e-05,42.5,223.031828206056,70.0,6.779831152796574e-05,0.0003557936179672261,0.00011166309194450118,0.0005352550214396921,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_multiowned_vulnerable.sol,2026-04-17T04:26:24,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,46.44599229999585,0.0014847988010869648,3.1968360071345024e-05,42.5,235.49056408470852,70.0,0.000548316905624941,0.0030382007638922737,0.0009031043077775396,0.004489621977294751,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_multiowned_vulnerable.sol,2026-04-17T04:26:30,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,5.704660499992315,0.00018994115855955167,3.32964426330691e-05,42.5,249.97559499737733,70.0,6.73402052083676e-05,0.0003960814279757585,0.00011090803305584523,0.0005743296662399713,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_mycontract.sol,2026-04-17T04:27:10,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,40.12134280000464,0.0012864113085228994,3.206307660279556e-05,42.5,236.51885176274925,70.0,0.0004736553729861653,0.002635964608769914,0.0007801329452781329,0.0038897529270342096,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_mycontract.sol,2026-04-17T04:27:15,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,5.703039899992291,0.0001762914818551585,3.091469351613184e-05,42.5,224.15524169570284,70.0,6.729466173603389e-05,0.0003549300061660432,0.00011083214138909395,0.0005330568092911728,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_1.sol,2026-04-17T04:28:16,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,60.1588991000026,0.0022073349213381933,3.668976030003127e-05,42.5,286.85601992390974,70.0,0.0007102959207640298,0.004794182724233043,0.0011698932408337392,0.00667437188583081,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_1.sol,2026-04-17T04:28:22,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,5.704699499998242,0.0001933276813446006,3.3889512368993e-05,42.5,256.44564597521924,70.0,6.733884520831925e-05,0.000406324769504085,0.00011090596222202223,0.0005845695769344308,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_parity_wallet_bug_2.sol,2026-04-17T04:29:21,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,59.38698820001446,0.0022011701626350154,3.7064890459008446e-05,42.5,290.9563451070315,70.0,0.0007011133790277907,0.004799847728763851,0.001154770248333565,0.006655731356125204,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_parity_wallet_bug_2.sol,2026-04-17T04:29:27,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,5.689930600026855,0.00019425226765691292,3.414006720566697e-05,42.5,259.2426943471787,70.0,6.715177319448293e-05,0.0004096156054691491,0.0001105978922224804,0.0005873652708861116,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_phishable.sol,2026-04-17T04:30:07,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,40.54183619999094,0.001274782749040266,3.144368833634684e-05,42.5,229.74855133413723,70.0,0.0004786587929165968,0.002587558458934769,0.0007883741191664333,0.0038545913710177973,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_phishable.sol,2026-04-17T04:30:13,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,5.716387200023746,0.00017600108139151707,3.0789425953022047e-05,42.5,222.6671607007454,70.0,6.74819769444484e-05,0.00035355444950990744,0.00011114229194475467,0.0005321787183991122,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_proxy.sol,2026-04-17T04:30:51,microsoft__phi-4,3712fade-3736-426c-87fe-695c9603b71b,37.64851840000483,0.0012074475429990662,3.2071638424657424e-05,42.5,236.6433335217702,70.0,0.0004444225247918444,0.002474581146329591,0.0007319846119447099,0.003650988283066141,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
