task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-17T06:26:02,microsoft__phi-4,a4c45767-2b17-4507-9e92-90c77b4bcfbb,56.87602379999589,0.0017466700048155938,3.0707219626641054e-05,42.5,221.7385026423407,70.0,0.0006715613227774965,0.003503791691919833,0.0011060952427776,0.00528144825747493,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-17T06:26:14,microsoft__phi-4,a4c45767-2b17-4507-9e92-90c77b4bcfbb,11.895339200011222,0.00037816576261072606,3.179108933880318e-05,42.5,233.56314207026892,70.0,0.00014042976555558395,0.000771747839620307,0.0002312913400001385,0.0011434689451760294,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-17T06:27:06,microsoft__phi-4,a4c45767-2b17-4507-9e92-90c77b4bcfbb,52.103280499984976,0.0016359406915785065,3.139808491336012e-05,42.5,229.28196867059503,70.0,0.0006151057925693549,0.0033184173769535974,0.0010131101905557444,0.004946633360078697,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-17T06:27:12,microsoft__phi-4,a4c45767-2b17-4507-9e92-90c77b4bcfbb,5.8270465999958105,0.0001816263466428102,3.114674487201893e-05,42.5,226.43562401892524,70.0,6.886460465260215e-05,0.00036690446018949885,0.00011341890388899241,0.0005491879687310932,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-17T06:27:47,microsoft__phi-4,a4c45767-2b17-4507-9e92-90c77b4bcfbb,34.28089949997957,0.0010779737125228145,3.144543996259298e-05,42.5,229.79441662585353,70.0,0.0004047062736111508,0.0021882189727970847,0.0006665698900004727,0.0032594951364087084,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-17T06:27:52,microsoft__phi-4,a4c45767-2b17-4507-9e92-90c77b4bcfbb,5.746199000015622,0.00017732250871121177,3.08594524298126e-05,42.5,223.4260949995699,70.0,6.783514368049115e-05,0.0003566161186259187,0.00011172308777798517,0.0005361743500843976,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-17T06:28:26,microsoft__phi-4,a4c45767-2b17-4507-9e92-90c77b4bcfbb,33.824245800002245,0.0010756722949439544,3.180192506336852e-05,42.5,233.66345347727136,70.0,0.0003993284570139523,0.0021954948119504714,0.0006577130155557827,0.0032525362845202063,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-17T06:28:32,microsoft__phi-4,a4c45767-2b17-4507-9e92-90c77b4bcfbb,5.72247709997464,0.00017525692448826756,3.062519792891385e-05,42.5,220.9525861462714,70.0,6.754228562484872e-05,0.0003511455586937551,0.00011124074888850619,0.0005299285932071074,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-17T06:29:08,microsoft__phi-4,a4c45767-2b17-4507-9e92-90c77b4bcfbb,35.89737469999818,0.0011313160865620824,3.151540810664356e-05,42.5,230.5595148547178,70.0,0.0004237854090279546,0.0022990076725375452,0.000697994678889275,0.0034207877604547736,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-17T06:29:14,microsoft__phi-4,a4c45767-2b17-4507-9e92-90c77b4bcfbb,5.680407900013961,0.0001759696176122441,3.097874048056544e-05,42.5,224.7261923272691,70.0,6.705800638891462e-05,0.00035458195033255535,0.00011044362388872974,0.0005320835806102014,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
