task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
vd_access_control_FibonacciBalance.sol,2026-04-17T00:08:26,microsoft__phi-4,eb46d941-f49a-4ec8-90a1-cdda58e4edfa,64.9871170000115,0.0020178691284599877,3.10505400496904e-05,42.5,225.50744424670913,70.0,0.0007671813774304812,0.004070713534346293,0.001263584682499883,0.006101479594276657,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_FibonacciBalance.sol,2026-04-17T00:08:32,microsoft__phi-4,eb46d941-f49a-4ec8-90a1-cdda58e4edfa,5.736444700014545,0.00019275169607929328,3.3597390418130195e-05,42.5,253.23152805366234,70.0,6.772815937529234e-05,0.00040355226728605587,0.00011154752972231813,0.000582827956383666,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_arbitrary_location_write_simple.sol,2026-04-17T00:09:10,microsoft__phi-4,eb46d941-f49a-4ec8-90a1-cdda58e4edfa,38.29601329998695,0.0013739309735287765,3.5875243258998886e-05,42.5,278.01808764317116,70.0,0.00045212167250008653,0.0029576018105239577,0.0007446647677780778,0.004154388250802122,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_arbitrary_location_write_simple.sol,2026-04-17T00:09:16,microsoft__phi-4,eb46d941-f49a-4ec8-90a1-cdda58e4edfa,5.523880399996415,0.00018905370573428677,3.42252517510668e-05,42.5,260.35013814676483,70.0,6.516063520832375e-05,0.00039916781933468926,0.00010731779916645307,0.0005716462537094652,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name1.sol,2026-04-17T00:10:22,microsoft__phi-4,eb46d941-f49a-4ec8-90a1-cdda58e4edfa,66.51284569999552,0.0022791051341308024,3.426521422234e-05,42.5,260.4915072620747,70.0,0.000785229772152484,0.004812841905826204,0.0012933135327773118,0.006891385210755998,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name1.sol,2026-04-17T00:10:28,microsoft__phi-4,eb46d941-f49a-4ec8-90a1-cdda58e4edfa,5.921752599999309,0.00022015989345603153,3.716976317582671e-05,42.5,292.0959419144704,70.0,6.992787909706165e-05,0.00048060482892875456,0.00011517007638879801,0.0006657027844146138,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name2.sol,2026-04-17T00:11:06,microsoft__phi-4,eb46d941-f49a-4ec8-90a1-cdda58e4edfa,37.91832970001269,0.0013569557323433344,3.578632929606028e-05,42.5,277.008071006449,70.0,0.0004476933731945489,0.0029179942788375435,0.0007373721522220874,0.00410305980425418,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name2.sol,2026-04-17T00:11:12,microsoft__phi-4,eb46d941-f49a-4ec8-90a1-cdda58e4edfa,5.588871799991466,0.00019590988821095723,3.505048575494781e-05,42.5,269.1478270656577,70.0,6.596715062526844e-05,0.00041776394532222483,0.00010864636222217457,0.0005923774581696704,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
vd_access_control_incorrect_constructor_name3.sol,2026-04-17T00:11:45,microsoft__phi-4,eb46d941-f49a-4ec8-90a1-cdda58e4edfa,33.24729060000391,0.0011600510059588433,3.489087510308845e-05,42.5,267.305795900575,70.0,0.00039250688354168246,0.0024686936416200567,0.0006464737047224643,0.0035076742298842008,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
sa_access_control_incorrect_constructor_name3.sol,2026-04-17T00:11:51,microsoft__phi-4,eb46d941-f49a-4ec8-90a1-cdda58e4edfa,5.9690616999869235,0.00018231210792016284,3.054189891310877e-05,42.5,219.8426753053237,70.0,7.049629770822848e-05,0.0003646622361737073,0.00011610298777749335,0.0005512615216594317,0.0,Italy,ITA,campania,,,Windows-11-10.0.26200-SP0,3.14.3,3.0.9,112,Intel(R) Xeon(R) w9-3495X,2,2 x NVIDIA RTX 5000 Ada Generation,14.7798,40.8118,511.00018310546875,machine,N
